municipality,group,variable,month,Curaciones y/o suturas,TOTAL
ACACIO,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,64,64
ACHACACHI,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,278,278
ACHOCALLA,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,183,183
AIQUILE,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,206,206
ALALAY,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,6,6
ALCALA,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,82,82
ALTO BENI,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,149,149
ANCORAIMES,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,61,61
ANDAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,47,47
ANTEQUERA,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,7,7
ANZALDO,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,67,67
APOLO,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,104,104
ARAMPAMPA,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,28,28
ARANI,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,106,106
ARBIETO,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,154,154
ARQUE,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,43,43
ASCENCION DE GUARAYOS,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,654,654
ATOCHA,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,405,405
AUCAPATA,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,30,30
AYATA,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,56,56
AYO AYO,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,101,101
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,85,85
AZURDUY,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,61,61
BATALLAS,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,74,74
BAURES,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,219,219
BELEN DE ANDAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,4,4
BELEN DE URMIRI,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,4,4
BELLA FLOR,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,25,25
BERMEJO,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,1413,1413
BETANZOS,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,254,254
BOLIVAR,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,3,3
BOLPEBRA,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,25,25
BOYUIBE,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,21,21
BUENA VISTA,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,109,109
CABEZAS,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,289,289
CAIROMA,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,117,117
"CAIZA ""D""",otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,88,88
CAJUATA,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,105,105
CALACOTO,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,24,24
CALAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,57,57
CAMARGO,otras actividades de enfermeria,curaciones y/o suturas,2023-01-01,189,189
