municipality,group,variable,month,Otras actividades,TOTAL
ACACIO,otras actividades de enfermeria,otras actividades,2023-01-01,2,2
ACHACACHI,otras actividades de enfermeria,otras actividades,2023-01-01,142,142
ACHOCALLA,otras actividades de enfermeria,otras actividades,2023-01-01,44,44
AIQUILE,otras actividades de enfermeria,otras actividades,2023-01-01,787,787
ALALAY,otras actividades de enfermeria,otras actividades,2023-01-01,3,3
ALCALA,otras actividades de enfermeria,otras actividades,2023-01-01,155,155
ALTO BENI,otras actividades de enfermeria,otras actividades,2023-01-01,32,32
ANCORAIMES,otras actividades de enfermeria,otras actividades,2023-01-01,11,11
ANDAMARCA,otras actividades de enfermeria,otras actividades,2023-01-01,48,48
ANTEQUERA,otras actividades de enfermeria,otras actividades,2023-01-01,1,1
ANZALDO,otras actividades de enfermeria,otras actividades,2023-01-01,6,6
APOLO,otras actividades de enfermeria,otras actividades,2023-01-01,1858,1858
ARAMPAMPA,otras actividades de enfermeria,otras actividades,2023-01-01,4,4
ARANI,otras actividades de enfermeria,otras actividades,2023-01-01,44,44
ARBIETO,otras actividades de enfermeria,otras actividades,2023-01-01,2,2
ARQUE,otras actividades de enfermeria,otras actividades,2023-01-01,23,23
ASCENCION DE GUARAYOS,otras actividades de enfermeria,otras actividades,2023-01-01,1457,1457
ATOCHA,otras actividades de enfermeria,otras actividades,2023-01-01,14106,14106
AUCAPATA,otras actividades de enfermeria,otras actividades,2023-01-01,2,2
AYATA,otras actividades de enfermeria,otras actividades,2023-01-01,5,5
AYO AYO,otras actividades de enfermeria,otras actividades,2023-01-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,otras actividades,2023-01-01,282,282
AZURDUY,otras actividades de enfermeria,otras actividades,2023-01-01,398,398
BATALLAS,otras actividades de enfermeria,otras actividades,2023-01-01,15,15
BAURES,otras actividades de enfermeria,otras actividades,2023-01-01,170,170
BELEN DE URMIRI,otras actividades de enfermeria,otras actividades,2023-01-01,2,2
BELLA FLOR,otras actividades de enfermeria,otras actividades,2023-01-01,258,258
BERMEJO,otras actividades de enfermeria,otras actividades,2023-01-01,139435,139435
BETANZOS,otras actividades de enfermeria,otras actividades,2023-01-01,1412,1412
BOLIVAR,otras actividades de enfermeria,otras actividades,2023-01-01,1,1
BOLPEBRA,otras actividades de enfermeria,otras actividades,2023-01-01,11,11
BOYUIBE,otras actividades de enfermeria,otras actividades,2023-01-01,67,67
BUENA VISTA,otras actividades de enfermeria,otras actividades,2023-01-01,83,83
CABEZAS,otras actividades de enfermeria,otras actividades,2023-01-01,199,199
CAIROMA,otras actividades de enfermeria,otras actividades,2023-01-01,18,18
"CAIZA ""D""",otras actividades de enfermeria,otras actividades,2023-01-01,1140,1140
CAJUATA,otras actividades de enfermeria,otras actividades,2023-01-01,161,161
CALACOTO,otras actividades de enfermeria,otras actividades,2023-01-01,1,1
CALAMARCA,otras actividades de enfermeria,otras actividades,2023-01-01,30,30
CAMARGO,otras actividades de enfermeria,otras actividades,2023-01-01,8831,8831
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,otras actividades,2023-01-01,53,53
CAMIRI,otras actividades de enfermeria,otras actividades,2023-01-01,2130,2130
CAPINOTA,otras actividades de enfermeria,otras actividades,2023-01-01,53,53
CAQUIAVIRI,otras actividades de enfermeria,otras actividades,2023-01-01,51,51
CARACOLLO,otras actividades de enfermeria,otras actividades,2023-01-01,393,393
CARANAVI,otras actividades de enfermeria,otras actividades,2023-01-01,35368,35368
CARAPARI,otras actividades de enfermeria,otras actividades,2023-01-01,45,45
CARIPUYO,otras actividades de enfermeria,otras actividades,2023-01-01,43,43
CARMEN RIVERO TORREZ,otras actividades de enfermeria,otras actividades,2023-01-01,242,242
CATACORA,otras actividades de enfermeria,otras actividades,2023-01-01,3,3
CHACARILLA,otras actividades de enfermeria,otras actividades,2023-01-01,2,2
CHALLAPATA,otras actividades de enfermeria,otras actividades,2023-01-01,16393,16393
CHAQUI,otras actividades de enfermeria,otras actividades,2023-01-01,8,8
CHARAGUA,otras actividades de enfermeria,otras actividades,2023-01-01,2526,2526
CHARAÑA,otras actividades de enfermeria,otras actividades,2023-01-01,2,2
CHAYANTA,otras actividades de enfermeria,otras actividades,2023-01-01,139,139
CHIMORE,otras actividades de enfermeria,otras actividades,2023-01-01,236,236
CHIPAYA,otras actividades de enfermeria,otras actividades,2023-01-01,20,20
CHOQUE COTA,otras actividades de enfermeria,otras actividades,2023-01-01,1,1
CHUA COCANI,otras actividades de enfermeria,otras actividades,2023-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),otras actividades de enfermeria,otras actividades,2023-01-01,1858,1858
CHUMA,otras actividades de enfermeria,otras actividades,2023-01-01,170,170
CHUQUIHUTA AYLLU JUCUMANI,otras actividades de enfermeria,otras actividades,2023-01-01,20,20
CKOCHAS,otras actividades de enfermeria,otras actividades,2023-01-01,9,9
CLIZA,otras actividades de enfermeria,otras actividades,2023-01-01,749,749
COBIJA,otras actividades de enfermeria,otras actividades,2023-01-01,43330,43330
COCAPATA,otras actividades de enfermeria,otras actividades,2023-01-01,47,47
COCHABAMBA,otras actividades de enfermeria,otras actividades,2023-01-01,455367,455367
COIPASA,otras actividades de enfermeria,otras actividades,2023-01-01,68,68
COLCAPIRHUA,otras actividades de enfermeria,otras actividades,2023-01-01,3259,3259
"COLCHA ""K""",otras actividades de enfermeria,otras actividades,2023-01-01,16,16
COLLANA,otras actividades de enfermeria,otras actividades,2023-01-01,1,1
COLOMI,otras actividades de enfermeria,otras actividades,2023-01-01,101,101
COLPA BELGICA,otras actividades de enfermeria,otras actividades,2023-01-01,310,310
COLQUECHACA,otras actividades de enfermeria,otras actividades,2023-01-01,6,6
COLQUIRI,otras actividades de enfermeria,otras actividades,2023-01-01,222,222
COMANCHE,otras actividades de enfermeria,otras actividades,2023-01-01,4,4
COMARAPA,otras actividades de enfermeria,otras actividades,2023-01-01,87,87
COMBAYA,otras actividades de enfermeria,otras actividades,2023-01-01,2,2
CONCEPCION,otras actividades de enfermeria,otras actividades,2023-01-01,481,481
COPACABANA,otras actividades de enfermeria,otras actividades,2023-01-01,23,23
CORIPATA,otras actividades de enfermeria,otras actividades,2023-01-01,63,63
CORO CORO,otras actividades de enfermeria,otras actividades,2023-01-01,5,5
COROICO,otras actividades de enfermeria,otras actividades,2023-01-01,16576,16576
CORQUE,otras actividades de enfermeria,otras actividades,2023-01-01,460,460
COTAGAITA,otras actividades de enfermeria,otras actividades,2023-01-01,2945,2945
COTOCA,otras actividades de enfermeria,otras actividades,2023-01-01,6925,6925
CRUZ DE MACHACAMARCA,otras actividades de enfermeria,otras actividades,2023-01-01,2,2
CUATRO CAÑADAS,otras actividades de enfermeria,otras actividades,2023-01-01,220,220
CUCHUMUELA (V. G. VILLARROEL),otras actividades de enfermeria,otras actividades,2023-01-01,3,3
CUEVO,otras actividades de enfermeria,otras actividades,2023-01-01,2,2
CULPINA,otras actividades de enfermeria,otras actividades,2023-01-01,239,239
CURAHUARA DE CARANGAS,otras actividades de enfermeria,otras actividades,2023-01-01,53,53
CURVA,otras actividades de enfermeria,otras actividades,2023-01-01,12,12
DESAGUADERO,otras actividades de enfermeria,otras actividades,2023-01-01,3,3
EL ALTO,otras actividades de enfermeria,otras actividades,2023-01-01,528129,528129
EL CHORO,otras actividades de enfermeria,otras actividades,2023-01-01,26,26
EL PUENTE(STC),otras actividades de enfermeria,otras actividades,2023-01-01,104,104
EL PUENTE(TJA),otras actividades de enfermeria,otras actividades,2023-01-01,5,5
EL TORNO,otras actividades de enfermeria,otras actividades,2023-01-01,392,392
EL VILLAR,otras actividades de enfermeria,otras actividades,2023-01-01,441,441
ENTRE RIOS TRJ,otras actividades de enfermeria,otras actividades,2023-01-01,12857,12857
ENTRE RIOS CBBA,otras actividades de enfermeria,otras actividades,2023-01-01,460,460
ESCOMA,otras actividades de enfermeria,otras actividades,2023-01-01,15,15
EUCALIPTUS,otras actividades de enfermeria,otras actividades,2023-01-01,10,10
EXALTACION,otras actividades de enfermeria,otras actividades,2023-01-01,34,34
FERNANDEZ ALONSO,otras actividades de enfermeria,otras actividades,2023-01-01,32,32
FILADELFIA,otras actividades de enfermeria,otras actividades,2023-01-01,102,102
GAIOC JATUN AYLLU YURA,otras actividades de enfermeria,otras actividades,2023-01-01,12,12
GENERAL SAAVEDRA,otras actividades de enfermeria,otras actividades,2023-01-01,13,13
GRAL. J.J. PEREZ (CHARAZANI),otras actividades de enfermeria,otras actividades,2023-01-01,49,49
GUANAY,otras actividades de enfermeria,otras actividades,2023-01-01,365,365
GUAQUI,otras actividades de enfermeria,otras actividades,2023-01-01,26,26
GUAYARAMERIN,otras actividades de enfermeria,otras actividades,2023-01-01,217749,217749
GUTIERREZ,otras actividades de enfermeria,otras actividades,2023-01-01,124,124
HUACARAJE,otras actividades de enfermeria,otras actividades,2023-01-01,362,362
HUACARETA,otras actividades de enfermeria,otras actividades,2023-01-01,137,137
HUACAYA (VILLA DE HUACAYA),otras actividades de enfermeria,otras actividades,2023-01-01,134,134
HUACHACALLA,otras actividades de enfermeria,otras actividades,2023-01-01,7,7
HUANUNI,otras actividades de enfermeria,otras actividades,2023-01-01,84969,84969
HUARINA,otras actividades de enfermeria,otras actividades,2023-01-01,27,27
HUAYLLAMARCA,otras actividades de enfermeria,otras actividades,2023-01-01,133,133
HUMANATA,otras actividades de enfermeria,otras actividades,2023-01-01,8,8
ICHOCA,otras actividades de enfermeria,otras actividades,2023-01-01,6,6
ICLA,otras actividades de enfermeria,otras actividades,2023-01-01,788,788
INCAHUASI,otras actividades de enfermeria,otras actividades,2023-01-01,452,452
INQUISIVI,otras actividades de enfermeria,otras actividades,2023-01-01,22,22
IRUPANA (VILLA DE LANZA),otras actividades de enfermeria,otras actividades,2023-01-01,262,262
IXIAMAS,otras actividades de enfermeria,otras actividades,2023-01-01,232,232
JESUS DE MACHACA,otras actividades de enfermeria,otras actividades,2023-01-01,28,28
LA ASUNTA,otras actividades de enfermeria,otras actividades,2023-01-01,100,100
LA GUARDIA,otras actividades de enfermeria,otras actividades,2023-01-01,4864,4864
LA PAZ,otras actividades de enfermeria,otras actividades,2023-01-01,166992,166992
LA RIVERA,otras actividades de enfermeria,otras actividades,2023-01-01,5,5
LAGUNILLAS,otras actividades de enfermeria,otras actividades,2023-01-01,54,54
LAJA,otras actividades de enfermeria,otras actividades,2023-01-01,12,12
LAS CARRERAS,otras actividades de enfermeria,otras actividades,2023-01-01,37,37
LICOMA PAMPA,otras actividades de enfermeria,otras actividades,2023-01-01,3,3
LLALLAGUA,otras actividades de enfermeria,otras actividades,2023-01-01,4859,4859
LLICA,otras actividades de enfermeria,otras actividades,2023-01-01,194,194
LORETO,otras actividades de enfermeria,otras actividades,2023-01-01,46,46
LURIBAY,otras actividades de enfermeria,otras actividades,2023-01-01,6,6
MACHACAMARCA,otras actividades de enfermeria,otras actividades,2023-01-01,319,319
MACHARETI,otras actividades de enfermeria,otras actividades,2023-01-01,436,436
