municipality,group,variable,month,Tratamientos iniciados con esquema l,TOTAL
APOLO,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
ARAMPAMPA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
ASCENCION DE GUARAYOS,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
ATOCHA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
AZURDUY,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
BAURES,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
BERMEJO,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,5,5
BUENA VISTA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
"CAIZA ""D""",tuberculosis,tratamientos iniciados con esquema l,2005-01-01,2,2
CAJUATA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,4,4
CAMARGO,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
CAMATAQUI (C. VILLA ABECIA),tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,6,6
CAPINOTA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,2,2
CARANAVI,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,15,15
CARAPARI,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,2,2
CHARAGUA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
CHAYANTA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
CHIMORE,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,tratamientos iniciados con esquema l,2005-01-01,10,10
CLIZA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
COBIJA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,5,5
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,35,35
COLCAPIRHUA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,2,2
COLPA BELGICA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
COMARAPA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,2,2
CORIPATA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,3,3
COROICO,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,5,5
CORQUE,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
COTOCA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,5,5
CUATRO CAÑADAS,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,2,2
EL ALTO,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,37,37
EL TORNO,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,10,10
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,12,12
GUANAY,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,2,2
GUAQUI,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
ICHOCA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
INCAHUASI,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
LA ASUNTA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,5,5
LA GUARDIA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,3,3
LA PAZ,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,89,89
LAGUNILLAS,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
LICOMA PAMPA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,2,2
LLALLAGUA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
MAIRANA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
MAPIRI,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,4,4
MINEROS,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,4,4
MONTEAGUDO,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,3,3
MONTERO,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,9,9
OKINAWA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
ORURO,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,6,6
PALOS BLANCOS,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,4,4
PATACAMAYA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,2,2
PAZÑA,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
PORONGO,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
PORTACHUELO,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema l,2005-01-01,11,11
