municipality,group,variable,month,Tratamientos iniciados con esquema ll,TOTAL
ACHOCALLA,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,3,3
APOLO,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,1,1
ASCENCION DE GUARAYOS,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,2,2
BUENA VISTA,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,1,1
CABEZAS,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,1,1
"CAIZA ""D""",tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,1,1
CAMATAQUI (C. VILLA ABECIA),tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,3,3
CARANAVI,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,2,2
CARAPARI,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,2,2
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,2,2
COPACABANA,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,1,1
CORIPATA,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,1,1
COROICO,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,1,1
COTAGAITA,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,1,1
CUATRO CAÑADAS,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,1,1
EL PUENTE(STC),tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,1,1
EL TORNO,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,13,13
MACHACAMARCA,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,1,1
PUERTO PEREZ,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,1,1
PUNA,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,2,2
SAN BORJA,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,2,2
SAN JAVIER(BNI),tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,9,9
SANTA ROSA DEL SARA,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,1,1
SIPE SIPE,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,1,1
SUCRE,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,1,1
TACOBAMBA,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,2,2
TAPACARI,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,1,1
TARATA,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,1,1
TARIJA,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,2,2
TEOPONTE,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,2,2
TIQUIPAYA,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,1,1
TRINIDAD,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,2,2
UNCIA,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,6,6
VIACHA,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,1,1
WARNES,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,3,3
YAPACANI,tuberculosis,tratamientos iniciados con esquema ll,2005-01-01,1,1
APOLO,tuberculosis,tratamientos iniciados con esquema ll,2005-02-01,1,1
BERMEJO,tuberculosis,tratamientos iniciados con esquema ll,2005-02-01,1,1
"CAIZA ""D""",tuberculosis,tratamientos iniciados con esquema ll,2005-02-01,1,1
CARANAVI,tuberculosis,tratamientos iniciados con esquema ll,2005-02-01,1,1
CHARAGUA,tuberculosis,tratamientos iniciados con esquema ll,2005-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,tratamientos iniciados con esquema ll,2005-02-01,1,1
COBIJA,tuberculosis,tratamientos iniciados con esquema ll,2005-02-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema ll,2005-02-01,1,1
COLPA BELGICA,tuberculosis,tratamientos iniciados con esquema ll,2005-02-01,1,1
CULPINA,tuberculosis,tratamientos iniciados con esquema ll,2005-02-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema ll,2005-02-01,6,6
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema ll,2005-02-01,1,1
EUCALIPTUS,tuberculosis,tratamientos iniciados con esquema ll,2005-02-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema ll,2005-02-01,8,8
LAGUNILLAS,tuberculosis,tratamientos iniciados con esquema ll,2005-02-01,2,2
MONTERO,tuberculosis,tratamientos iniciados con esquema ll,2005-02-01,2,2
ORURO,tuberculosis,tratamientos iniciados con esquema ll,2005-02-01,2,2
POSTRER VALLE,tuberculosis,tratamientos iniciados con esquema ll,2005-02-01,2,2
POTOSI,tuberculosis,tratamientos iniciados con esquema ll,2005-02-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema ll,2005-02-01,2,2
RIBERALTA,tuberculosis,tratamientos iniciados con esquema ll,2005-02-01,2,2
SAMAIPATA,tuberculosis,tratamientos iniciados con esquema ll,2005-02-01,1,1
SAN BORJA,tuberculosis,tratamientos iniciados con esquema ll,2005-02-01,1,1
SAN JULIAN,tuberculosis,tratamientos iniciados con esquema ll,2005-02-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema ll,2005-02-01,16,16
SORATA,tuberculosis,tratamientos iniciados con esquema ll,2005-02-01,1,1
TIPUANI,tuberculosis,tratamientos iniciados con esquema ll,2005-02-01,3,3
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema ll,2005-02-01,1,1
TRINIDAD,tuberculosis,tratamientos iniciados con esquema ll,2005-02-01,1,1
UNCIA,tuberculosis,tratamientos iniciados con esquema ll,2005-02-01,5,5
WARNES,tuberculosis,tratamientos iniciados con esquema ll,2005-02-01,1,1
ACHACACHI,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,2,2
BETANZOS,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,4,4
CARANAVI,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,4,4
CHUMA,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,1,1
COBIJA,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,4,4
COLPA BELGICA,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,1,1
COTAGAITA,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,2,2
COTOCA,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,1,1
CUATRO CAÑADAS,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,4,4
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,1,1
GUAYARAMERIN,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,1,1
INCAHUASI,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,1,1
INQUISIVI,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,1,1
LA GUARDIA,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,12,12
LAGUNILLAS,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,3,3
MINEROS,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,1,1
MONTERO,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,1,1
ORURO,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,3,3
PALCA,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,4,4
PUERTO GONZALO MORENO,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,1,1
PUNATA,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,1,1
RIBERALTA,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,1,1
SACABA,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,2,2
SAN ANDRES,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,1,1
SAN JUAN DE YAPACANI,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,1,1
SAN LORENZO(TJA),tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,25,25
SUCRE,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,3,3
TACACOMA,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,2,2
TARIJA,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,1,1
TIPUANI,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,2,2
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,1,1
TRINIDAD,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,2,2
TUPIZA,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,3,3
UNCIA,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,5,5
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,4,4
WARNES,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,1,1
YACUIBA,tuberculosis,tratamientos iniciados con esquema ll,2005-03-01,1,1
BERMEJO,tuberculosis,tratamientos iniciados con esquema ll,2005-04-01,1,1
CARANAVI,tuberculosis,tratamientos iniciados con esquema ll,2005-04-01,2,2
CHARAGUA,tuberculosis,tratamientos iniciados con esquema ll,2005-04-01,1,1
COBIJA,tuberculosis,tratamientos iniciados con esquema ll,2005-04-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema ll,2005-04-01,3,3
COLQUECHACA,tuberculosis,tratamientos iniciados con esquema ll,2005-04-01,1,1
CURAHUARA DE CARANGAS,tuberculosis,tratamientos iniciados con esquema ll,2005-04-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema ll,2005-04-01,1,1
EL TORNO,tuberculosis,tratamientos iniciados con esquema ll,2005-04-01,1,1
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema ll,2005-04-01,2,2
GUANAY,tuberculosis,tratamientos iniciados con esquema ll,2005-04-01,1,1
INQUISIVI,tuberculosis,tratamientos iniciados con esquema ll,2005-04-01,1,1
LA GUARDIA,tuberculosis,tratamientos iniciados con esquema ll,2005-04-01,1,1
