municipality,group,variable,month,Tratamientos iniciados con esquema lll,TOTAL
CAMIRI,tuberculosis,tratamientos iniciados con esquema lll,2005-01-01,1,1
CHARAGUA,tuberculosis,tratamientos iniciados con esquema lll,2005-01-01,1,1
CLIZA,tuberculosis,tratamientos iniciados con esquema lll,2005-01-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2005-01-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2005-01-01,1,1
GUAYARAMERIN,tuberculosis,tratamientos iniciados con esquema lll,2005-01-01,1,1
LA GUARDIA,tuberculosis,tratamientos iniciados con esquema lll,2005-01-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2005-01-01,8,8
ORURO,tuberculosis,tratamientos iniciados con esquema lll,2005-01-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema lll,2005-01-01,9,9
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema lll,2005-01-01,1,1
SACABA,tuberculosis,tratamientos iniciados con esquema lll,2005-01-01,1,1
SAN JOSE DE CHIQUITOS,tuberculosis,tratamientos iniciados con esquema lll,2005-01-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2005-01-01,8,8
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2005-01-01,5,5
TRINIDAD,tuberculosis,tratamientos iniciados con esquema lll,2005-01-01,2,2
YAPACANI,tuberculosis,tratamientos iniciados con esquema lll,2005-01-01,1,1
CHARAGUA,tuberculosis,tratamientos iniciados con esquema lll,2005-02-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2005-02-01,2,2
COLCAPIRHUA,tuberculosis,tratamientos iniciados con esquema lll,2005-02-01,1,1
COLPA BELGICA,tuberculosis,tratamientos iniciados con esquema lll,2005-02-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2005-02-01,2,2
FERNANDEZ ALONSO,tuberculosis,tratamientos iniciados con esquema lll,2005-02-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2005-02-01,5,5
MAPIRI,tuberculosis,tratamientos iniciados con esquema lll,2005-02-01,1,1
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2005-02-01,3,3
OKINAWA,tuberculosis,tratamientos iniciados con esquema lll,2005-02-01,1,1
POTOSI,tuberculosis,tratamientos iniciados con esquema lll,2005-02-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema lll,2005-02-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema lll,2005-02-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2005-02-01,6,6
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2005-02-01,3,3
WARNES,tuberculosis,tratamientos iniciados con esquema lll,2005-02-01,1,1
BETANZOS,tuberculosis,tratamientos iniciados con esquema lll,2005-03-01,1,1
BOYUIBE,tuberculosis,tratamientos iniciados con esquema lll,2005-03-01,1,1
COBIJA,tuberculosis,tratamientos iniciados con esquema lll,2005-03-01,3,3
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema lll,2005-03-01,2,2
LA GUARDIA,tuberculosis,tratamientos iniciados con esquema lll,2005-03-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2005-03-01,7,7
MINEROS,tuberculosis,tratamientos iniciados con esquema lll,2005-03-01,1,1
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2005-03-01,4,4
OKINAWA,tuberculosis,tratamientos iniciados con esquema lll,2005-03-01,1,1
PAILON,tuberculosis,tratamientos iniciados con esquema lll,2005-03-01,1,1
POSTRER VALLE,tuberculosis,tratamientos iniciados con esquema lll,2005-03-01,2,2
POTOSI,tuberculosis,tratamientos iniciados con esquema lll,2005-03-01,9,9
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema lll,2005-03-01,1,1
RIBERALTA,tuberculosis,tratamientos iniciados con esquema lll,2005-03-01,1,1
SACABA,tuberculosis,tratamientos iniciados con esquema lll,2005-03-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2005-03-01,3,3
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2005-03-01,6,6
