,group,variable,month,OTROS EN MENORES DE 5 AÑOS CANTIDAD,OTROS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AIQUILE,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,2,4,6
ASCENCION DE GUARAYOS,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,18,18,36
BERMEJO,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,81,78,159
BETANZOS,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,2,0,2
CAMIRI,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,30,18,48
CAPINOTA,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,0,3,3
CARANAVI,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,6,11,17
CARMEN RIVERO TORREZ,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,8,5,13
CHALLAPATA,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,7,11,18
CHARAGUA,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,10,9,19
CLIZA,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,2,0,2
COBIJA,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,124,142,266
COCAPATA,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,1,1,2
COCHABAMBA,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,415,305,720
COLCAPIRHUA,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,5,3,8
COMARAPA,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,1,0,1
CONCEPCION,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,1,1,2
COROICO,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,1,1,2
COTOCA,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,2,6,8
EL ALTO,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,214,198,412
EL TORNO,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,3,1,4
ENTRE RIOS TRJ,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,3,4,7
FERNANDEZ ALONSO,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,32,34,66
GUAYARAMERIN,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,46,42,88
GUTIERREZ,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,0,1,1
HUANUNI,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,5,4,9
LA GUARDIA,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,8,8,16
LA PAZ,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,470,518,988
LLALLAGUA,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,22,5,27
MAGDALENA,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,1,2,3
MAIRANA,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,0,1,1
MONTEAGUDO,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,6,6,12
MONTERO,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,207,159,366
ORURO,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,25,43,68
PADILLA,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,2,2,4
PAILON,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,3,0,3
PATACAMAYA,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,1,0,1
PORTACHUELO,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,56,59,115
POTOSI,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,45,32,77
PUERTO RICO,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,1,0,1
PUERTO SUAREZ,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,4,6,10
PUERTO VILLARROEL,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,9,6,15
PUNATA,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,17,5,22
QUILLACOLLO,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,15,8,23
RIBERALTA,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,68,43,111
ROBORE,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,3,2,5
RURRENABAQUE,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,4,11,15
SACABA,diagnostico de egreso,otros en menores de 5 anos,2013-01-01,39,35,74
