,group,variable,month,DIARREAS EN MENORES DE 5 AÑOS CANTIDAD,DIARREAS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AIQUILE,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,2,0,2
ASCENCION DE GUARAYOS,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,1,0,1
ATOCHA,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,0,1,1
AZURDUY,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,10,7,17
BERMEJO,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,33,34,67
BOYUIBE,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,0,1,1
CABEZAS,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,1,1,2
CAMIRI,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,8,6,14
CAPINOTA,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,0,1,1
CARANAVI,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,4,2,6
CARMEN RIVERO TORREZ,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,4,2,6
CHALLAPATA,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,2,1,3
CHARAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,9,11,20
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,1,0,1
CLIZA,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,1,0,1
COBIJA,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,15,11,26
COCAPATA,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,8,7,15
COCHABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,80,59,139
COLCAPIRHUA,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,0,1,1
COTAGAITA,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,3,0,3
COTOCA,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,5,2,7
EL ALTO,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,59,33,92
EL TORNO,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,7,6,13
ENTRE RIOS TRJ,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,2,1,3
FERNANDEZ ALONSO,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,28,16,44
GUAYARAMERIN,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,36,19,55
GUTIERREZ,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,2,1,3
HUACARETA,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,1,0,1
LA GUARDIA,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,2,2,4
LA PAZ,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,27,40,67
LLALLAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,7,9,16
MAGDALENA,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,0,1,1
MOJOCOYA,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,5,4,9
MONTEAGUDO,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,1,3,4
MONTERO,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,147,123,270
ORURO,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,13,17,30
PAILON,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,2,1,3
PATACAMAYA,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,0,1,1
PORTACHUELO,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,8,4,12
POTOSI,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,22,12,34
PUERTO RICO,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,0,2,2
PUERTO SILES,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,0,1,1
PUERTO SUAREZ,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,0,1,1
PUERTO VILLARROEL,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,5,2,7
PUNATA,diagnostico de egreso,diarreas en menores de 5 anos,2013-01-01,2,2,4
