,group,variable,month,NEUMONÍAS EN MENORES DE 5 AÑOS CANTIDAD,NEUMONÍAS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AIQUILE,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,2,0,2
ASCENCION DE GUARAYOS,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,19,11,30
AZURDUY,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,1,0,1
BERMEJO,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,7,15,22
BUENA VISTA,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,0,1,1
CAMIRI,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,3,0,3
CARANAVI,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,0,1,1
CHARAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,5,10,15
COBIJA,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,25,22,47
COCAPATA,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,9,5,14
COCHABAMBA,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,44,47,91
COROICO,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,1,0,1
COTOCA,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,1,0,1
EL ALTO,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,26,17,43
EL TORNO,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,4,1,5
GUAYARAMERIN,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,60,75,135
LA GUARDIA,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,2,0,2
LA PAZ,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,37,36,73
LLALLAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,5,0,5
MAGDALENA,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,4,0,4
MAIRANA,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,1,0,1
MONTEAGUDO,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,3,2,5
MONTERO,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,81,48,129
ORURO,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,6,3,9
PADILLA,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,1,2,3
PAILON,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,1,0,1
PORTACHUELO,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,1,0,1
POTOSI,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,21,6,27
PUERTO RICO,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,9,18,27
PUERTO SILES,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,1,1,2
PUERTO SUAREZ,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,2,5,7
PUERTO VILLARROEL,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,1,2,3
PUNATA,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,0,4,4
QUILLACOLLO,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,11,5,16
RIBERALTA,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,3,4,7
ROBORE,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,0,2,2
RURRENABAQUE,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,4,3,7
SACABA,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,2,6,8
SAN BORJA,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,1,2,3
SAN CARLOS,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,3,4,7
SAN IGNACIO,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,1,1,2
SAN IGNACIO DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,16,13,29
SAN JOAQUIN,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,1,0,1
SAN JULIAN,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,3,5,8
SAN PEDRO,diagnostico de egreso,neumonias en menores de 5 anos,2013-01-01,2,1,3
