,group,variable,month,INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,1,6,1,6,7
AIQUILE,internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,2,7,2,7,9
ARQUE,internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,5,19,5,19,24
ATOCHA,internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,0,3,0,3,3
AZURDUY,internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,1,2,1,2,3
BERMEJO,internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,5,4,5,4,9
BETANZOS,internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,0,2,0,2,2
CABEZAS,internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,0,2,0,2,2
CAMARGO,internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,0,2,0,2,2
CAMIRI,internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,10,24,10,24,34
CARACOLLO,internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,0,2,0,2,2
CARANAVI,internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,4,21,4,21,25
CHALLAPATA,internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,3,7,3,7,10
CHARAGUA,internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,4,9,4,9,13
CKOCHAS,internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,1,0,1,0,1
CLIZA,internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,1,3,1,3,4
COBIJA,internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,8,56,8,56,64
COCHABAMBA,internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,21,295,21,295,316
COLCAPIRHUA,internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,0,1,0,1,1
"COLCHA ""K""",internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,0,1,0,1,1
COMARAPA,internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,1,4,1,4,5
CONCEPCION,internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,0,1,0,1,1
COROICO,internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,7,10,7,10,17
CUEVO,internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,0,1,0,1,1
CULPINA,internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,1,7,1,7,8
EL ALTO,internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,57,229,57,229,286
EL PUENTE(TJA),internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,0,1,0,1,1
EL TORNO,internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,2,3,2,3,5
ESCOMA,internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,1,3,1,3,4
GUANAY,internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,0,1,0,1,1
GUAYARAMERIN,internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,10,36,10,36,46
GUTIERREZ,internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,1,5,1,5,6
HUACARETA,internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,1,1,1,1,2
HUACAYA (VILLA DE HUACAYA),internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,0,3,0,3,3
INGAVI (HUMAITA),internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,1,1,1,1,2
INQUISIVI,internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),internaciones,ingresos referidos de otros establecimientos de salud,2013-01-01,2,1,2,1,3
