,group,variable,month,REPETIDAS A. < 15,REPETIDAS A. < 15,REPETIDAS B. 15 A 19,REPETIDAS B. 15 A 19,REPETIDAS C. 20 - 34,REPETIDAS C. 20 - 34,REPETIDAS D. 35 - 49,REPETIDAS D. 35 - 49,REPETIDAS E. 50 Y +,REPETIDAS E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,consultas prenatales,repetidas,2019-01-01,1,0,7,0,8,3,1,0,0,0,20
ACHACACHI,consultas prenatales,repetidas,2019-01-01,0,0,30,2,108,4,16,3,0,0,163
ACHOCALLA,consultas prenatales,repetidas,2019-01-01,0,0,17,0,86,0,17,0,0,0,120
AIQUILE,consultas prenatales,repetidas,2019-01-01,0,0,43,2,107,3,33,1,0,0,189
ALALAY,consultas prenatales,repetidas,2019-01-01,0,0,0,0,3,2,2,0,0,0,7
ALCALA,consultas prenatales,repetidas,2019-01-01,0,0,2,0,5,0,0,0,0,0,7
ALTO BENI,consultas prenatales,repetidas,2019-01-01,2,0,12,0,32,0,4,0,0,0,50
ANCORAIMES,consultas prenatales,repetidas,2019-01-01,0,0,4,1,22,1,3,0,0,0,31
ANDAMARCA,consultas prenatales,repetidas,2019-01-01,0,0,3,1,8,0,1,0,0,0,13
ANTEQUERA,consultas prenatales,repetidas,2019-01-01,0,0,4,0,10,0,1,0,0,0,15
ANZALDO,consultas prenatales,repetidas,2019-01-01,1,0,15,2,14,1,7,1,0,0,41
APOLO,consultas prenatales,repetidas,2019-01-01,3,0,21,3,75,15,19,0,0,0,136
ARAMPAMPA,consultas prenatales,repetidas,2019-01-01,0,0,0,0,4,4,1,0,0,0,9
ARANI,consultas prenatales,repetidas,2019-01-01,0,0,8,0,35,3,1,0,0,0,47
ARBIETO,consultas prenatales,repetidas,2019-01-01,0,0,28,0,85,0,25,0,0,0,138
ARQUE,consultas prenatales,repetidas,2019-01-01,0,0,16,0,21,1,8,0,0,0,46
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2019-01-01,1,0,66,1,176,7,33,0,0,0,284
ATOCHA,consultas prenatales,repetidas,2019-01-01,0,0,10,2,32,1,6,0,0,0,51
AUCAPATA,consultas prenatales,repetidas,2019-01-01,0,0,9,0,22,0,6,0,0,0,37
AYATA,consultas prenatales,repetidas,2019-01-01,0,0,5,0,5,0,2,0,0,0,12
AYO AYO,consultas prenatales,repetidas,2019-01-01,0,0,6,0,15,0,6,0,0,0,27
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2019-01-01,1,0,23,0,62,2,17,2,0,0,107
AZURDUY,consultas prenatales,repetidas,2019-01-01,0,1,11,5,19,6,8,3,0,0,53
BATALLAS,consultas prenatales,repetidas,2019-01-01,0,0,14,1,50,1,13,2,0,0,81
BAURES,consultas prenatales,repetidas,2019-01-01,0,0,11,0,26,0,3,0,0,0,40
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2019-01-01,0,0,0,0,2,0,0,0,0,0,2
BELEN DE URMIRI,consultas prenatales,repetidas,2019-01-01,0,0,0,1,0,2,0,0,0,0,3
BELLA FLOR,consultas prenatales,repetidas,2019-01-01,1,0,11,0,11,0,3,0,0,0,26
BERMEJO,consultas prenatales,repetidas,2019-01-01,0,0,62,0,229,0,50,1,0,0,342
BETANZOS,consultas prenatales,repetidas,2019-01-01,0,0,19,7,79,14,19,4,0,0,142
BOLIVAR,consultas prenatales,repetidas,2019-01-01,0,0,3,0,13,2,1,2,0,0,21
BOLPEBRA,consultas prenatales,repetidas,2019-01-01,1,0,0,1,4,1,0,0,0,0,7
BOYUIBE,consultas prenatales,repetidas,2019-01-01,0,0,6,0,13,1,5,0,0,0,25
BUENA VISTA,consultas prenatales,repetidas,2019-01-01,1,0,13,1,41,1,7,0,0,0,64
CABEZAS,consultas prenatales,repetidas,2019-01-01,2,0,46,0,89,7,12,0,0,0,156
CAIROMA,consultas prenatales,repetidas,2019-01-01,1,0,13,0,35,1,3,0,0,0,53
"CAIZA ""D""",consultas prenatales,repetidas,2019-01-01,1,0,9,0,28,2,3,0,0,0,43
CAJUATA,consultas prenatales,repetidas,2019-01-01,0,0,12,0,46,0,9,0,0,0,67
CALACOTO,consultas prenatales,repetidas,2019-01-01,0,0,2,0,3,1,1,0,0,0,7
