,group,variable,month,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO E. 50 Y +,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2019-01-01,0,0,0,0,1,0,0,0,0,0,1
ACHACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2019-01-01,1,0,5,0,6,0,1,0,0,0,13
ACHOCALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2019-01-01,0,0,0,0,4,0,1,0,0,0,5
AIQUILE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2019-01-01,0,0,2,0,1,0,1,0,0,0,4
ALALAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2019-01-01,0,0,1,0,1,0,1,0,0,0,3
ALCALA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2019-01-01,1,0,0,0,0,0,0,0,0,0,1
ALTO BENI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2019-01-01,0,0,0,0,1,0,0,0,0,0,1
ANCORAIMES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2019-01-01,0,0,0,0,1,0,0,0,0,0,1
ANDAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2019-01-01,0,0,0,0,1,0,1,0,0,0,2
ANZALDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2019-01-01,0,0,2,0,1,0,0,0,1,0,4
APOLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2019-01-01,2,1,4,1,1,1,0,1,0,0,11
ARAMPAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2019-01-01,0,0,1,0,0,0,0,0,0,0,1
ARANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2019-01-01,0,0,2,0,0,1,0,0,0,0,3
ARBIETO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2019-01-01,0,0,2,0,2,0,0,0,0,0,4
ARQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2019-01-01,0,0,2,0,1,0,1,0,0,0,4
ASCENCION DE GUARAYOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2019-01-01,0,0,5,0,20,0,5,0,0,0,30
ATOCHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2019-01-01,0,0,0,0,1,0,1,0,0,0,2
AUCAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2019-01-01,0,0,1,0,1,0,0,0,0,0,2
AYATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2019-01-01,0,0,2,0,1,0,0,0,0,0,3
AYO AYO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2019-01-01,0,0,1,0,3,0,2,0,0,0,6
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2019-01-01,0,0,2,0,4,2,1,0,0,0,9
BATALLAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2019-01-01,0,0,2,0,13,1,2,0,0,0,18
BAURES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2019-01-01,0,0,1,0,2,0,0,0,0,0,3
BELEN DE ANDAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2019-01-01,0,0,0,0,0,1,0,0,0,0,1
BERMEJO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2019-01-01,0,0,5,0,12,0,2,0,0,0,19
BETANZOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2019-01-01,0,0,0,1,9,1,1,1,0,0,13
BOLIVAR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2019-01-01,0,0,2,0,2,1,0,0,0,0,5
