,group,variable,month,NUEVAS ANTES DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS ANTES DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS ANTES DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS ANTES DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS ANTES DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS ANTES DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS ANTES DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS ANTES DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS ANTES DEL 5TO MES DE EMBARAZO E. 50 Y +,NUEVAS ANTES DEL 5TO MES DE EMBARAZO E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,consultas prenatales,nuevas antes del 5to mes de embarazo,2019-01-01,0,0,0,0,2,0,1,0,0,0,3
ACHACACHI,consultas prenatales,nuevas antes del 5to mes de embarazo,2019-01-01,0,0,6,0,27,2,7,0,0,0,42
ACHOCALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2019-01-01,0,0,4,0,25,1,5,0,0,0,35
AIQUILE,consultas prenatales,nuevas antes del 5to mes de embarazo,2019-01-01,0,0,9,0,21,0,4,1,0,0,35
ALALAY,consultas prenatales,nuevas antes del 5to mes de embarazo,2019-01-01,0,0,1,0,1,0,0,0,0,0,2
ALCALA,consultas prenatales,nuevas antes del 5to mes de embarazo,2019-01-01,0,0,2,0,1,0,2,0,0,0,5
ALTO BENI,consultas prenatales,nuevas antes del 5to mes de embarazo,2019-01-01,0,0,1,0,9,0,3,0,0,0,13
ANCORAIMES,consultas prenatales,nuevas antes del 5to mes de embarazo,2019-01-01,1,0,2,0,8,0,2,0,0,0,13
ANDAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2019-01-01,0,0,0,0,1,0,0,0,0,0,1
ANTEQUERA,consultas prenatales,nuevas antes del 5to mes de embarazo,2019-01-01,0,0,0,0,1,0,1,0,0,0,2
ANZALDO,consultas prenatales,nuevas antes del 5to mes de embarazo,2019-01-01,0,0,2,0,3,1,2,0,0,0,8
APOLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2019-01-01,0,0,7,1,9,0,3,1,0,0,21
ARAMPAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2019-01-01,0,0,0,1,1,1,0,0,0,0,3
ARANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2019-01-01,0,0,0,0,4,0,1,0,0,0,5
ARBIETO,consultas prenatales,nuevas antes del 5to mes de embarazo,2019-01-01,0,0,5,0,16,1,5,0,0,0,27
ARQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2019-01-01,0,0,2,0,7,0,3,0,0,0,12
ASCENCION DE GUARAYOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2019-01-01,0,0,18,0,29,0,1,0,0,0,48
ATOCHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2019-01-01,0,0,0,0,9,0,4,0,0,0,13
AUCAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2019-01-01,1,0,1,0,2,0,1,0,0,0,5
AYATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2019-01-01,0,0,1,0,2,1,0,0,0,0,4
AYO AYO,consultas prenatales,nuevas antes del 5to mes de embarazo,2019-01-01,0,0,3,0,11,0,1,0,0,0,15
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas antes del 5to mes de embarazo,2019-01-01,0,0,7,0,18,0,3,0,0,0,28
AZURDUY,consultas prenatales,nuevas antes del 5to mes de embarazo,2019-01-01,0,0,2,0,7,0,1,2,0,0,12
BATALLAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2019-01-01,1,0,1,0,12,1,1,0,0,0,16
BAURES,consultas prenatales,nuevas antes del 5to mes de embarazo,2019-01-01,0,0,4,0,6,0,2,0,0,0,12
BELEN DE ANDAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2019-01-01,0,0,0,0,1,0,0,0,0,0,1
BELEN DE URMIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2019-01-01,0,0,0,0,0,1,0,0,0,0,1
