,group,variable,month,MUJERES CON 4TA CONSULTA PRENATAL A. < 15,MUJERES CON 4TA CONSULTA PRENATAL A. < 15,MUJERES CON 4TA CONSULTA PRENATAL B. 15 A 19,MUJERES CON 4TA CONSULTA PRENATAL B. 15 A 19,MUJERES CON 4TA CONSULTA PRENATAL C. 20 - 34,MUJERES CON 4TA CONSULTA PRENATAL C. 20 - 34,MUJERES CON 4TA CONSULTA PRENATAL D. 35 - 49,MUJERES CON 4TA CONSULTA PRENATAL D. 35 - 49,MUJERES CON 4TA CONSULTA PRENATAL E. 50 Y +,MUJERES CON 4TA CONSULTA PRENATAL E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,consultas prenatales,mujeres con 4ta consulta prenatal,2019-01-01,1,0,1,0,1,0,0,0,0,0,3
ACHACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2019-01-01,0,0,6,0,19,0,3,0,0,0,28
ACHOCALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2019-01-01,0,0,3,0,19,0,5,0,0,0,27
AIQUILE,consultas prenatales,mujeres con 4ta consulta prenatal,2019-01-01,0,0,5,0,15,0,6,0,0,0,26
ALALAY,consultas prenatales,mujeres con 4ta consulta prenatal,2019-01-01,0,0,0,0,2,0,1,0,0,0,3
ALTO BENI,consultas prenatales,mujeres con 4ta consulta prenatal,2019-01-01,1,0,2,0,7,0,0,0,0,0,10
ANCORAIMES,consultas prenatales,mujeres con 4ta consulta prenatal,2019-01-01,0,0,0,1,6,0,1,0,0,0,8
ANDAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2019-01-01,0,0,0,0,1,0,0,0,0,0,1
ANTEQUERA,consultas prenatales,mujeres con 4ta consulta prenatal,2019-01-01,0,0,0,0,2,0,0,0,0,0,2
APOLO,consultas prenatales,mujeres con 4ta consulta prenatal,2019-01-01,1,0,2,0,12,3,4,0,0,0,22
ARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2019-01-01,0,0,0,0,2,1,0,0,0,0,3
ARBIETO,consultas prenatales,mujeres con 4ta consulta prenatal,2019-01-01,0,0,2,0,6,0,1,0,0,0,9
ARQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2019-01-01,0,0,3,0,2,0,1,0,0,0,6
ASCENCION DE GUARAYOS,consultas prenatales,mujeres con 4ta consulta prenatal,2019-01-01,0,0,17,0,40,1,4,0,0,0,62
ATOCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2019-01-01,0,0,1,0,5,1,0,0,0,0,7
AUCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2019-01-01,0,0,1,0,6,0,2,0,0,0,9
AYO AYO,consultas prenatales,mujeres con 4ta consulta prenatal,2019-01-01,0,0,1,0,6,0,1,0,0,0,8
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,mujeres con 4ta consulta prenatal,2019-01-01,1,0,2,0,13,1,4,0,0,0,21
AZURDUY,consultas prenatales,mujeres con 4ta consulta prenatal,2019-01-01,0,0,2,2,2,2,2,0,0,0,10
BATALLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2019-01-01,0,0,0,0,9,1,4,0,0,0,14
BAURES,consultas prenatales,mujeres con 4ta consulta prenatal,2019-01-01,0,0,6,0,9,0,0,0,0,0,15
BELLA FLOR,consultas prenatales,mujeres con 4ta consulta prenatal,2019-01-01,0,0,2,0,0,0,1,0,0,0,3
BERMEJO,consultas prenatales,mujeres con 4ta consulta prenatal,2019-01-01,0,0,12,0,53,0,10,0,0,0,75
BETANZOS,consultas prenatales,mujeres con 4ta consulta prenatal,2019-01-01,0,0,6,3,13,3,4,2,0,0,31
BOLIVAR,consultas prenatales,mujeres con 4ta consulta prenatal,2019-01-01,0,0,0,0,3,0,0,0,0,0,3
BOLPEBRA,consultas prenatales,mujeres con 4ta consulta prenatal,2019-01-01,0,0,0,0,1,0,0,0,0,0,1
BOYUIBE,consultas prenatales,mujeres con 4ta consulta prenatal,2019-01-01,0,0,0,0,3,0,2,0,0,0,5
BUENA VISTA,consultas prenatales,mujeres con 4ta consulta prenatal,2019-01-01,1,0,4,1,12,1,3,0,0,0,22
CABEZAS,consultas prenatales,mujeres con 4ta consulta prenatal,2019-01-01,1,0,8,0,19,2,1,0,0,0,31
