,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO.1,FEMENINO.1,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-01-01,1,1,0,0,1,1,2
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-01-01,1,0,0,0,1,0,1
COCAPATA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-01-01,1,1,0,0,1,1,2
REYES,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-01-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-02-01,1,0,0,0,1,0,1
IXIAMAS,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-02-01,1,0,0,0,1,0,1
REYES,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-02-01,0,0,1,0,1,0,1
SHINAOTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-02-01,0,0,1,0,1,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-03-01,0,1,0,0,0,1,1
PUNA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-03-01,1,0,0,0,1,0,1
SUCRE,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-03-01,0,0,1,0,1,0,1
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-04-01,0,0,1,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-04-01,3,0,2,0,5,0,5
QUILLACOLLO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-04-01,1,0,0,0,1,0,1
CLIZA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-05-01,0,0,0,1,0,1,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-05-01,2,2,1,0,3,2,5
IXIAMAS,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-05-01,1,0,0,0,1,0,1
QUILLACOLLO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-05-01,0,0,1,0,1,0,1
SUCRE,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-05-01,0,0,1,0,1,0,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-05-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-06-01,0,0,2,1,2,1,3
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-06-01,1,0,0,0,1,0,1
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-06-01,1,0,0,0,1,0,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-06-01,0,0,1,0,1,0,1
ALTO BENI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-07-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-07-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-07-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-07-01,3,0,4,0,7,0,7
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-07-01,1,0,1,0,2,0,2
SAN LORENZO(PND),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-07-01,1,0,1,0,2,0,2
ALTO BENI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-08-01,0,0,1,0,1,0,1
APOLO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-08-01,1,0,0,0,1,0,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-08-01,0,0,1,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-08-01,3,0,1,0,4,0,4
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-08-01,2,0,0,0,2,0,2
IXIAMAS,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-08-01,1,0,0,0,1,0,1
SAN LORENZO(PND),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-08-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-09-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-09-01,2,0,2,0,4,0,4
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-09-01,1,0,0,0,1,0,1
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-09-01,0,0,1,0,1,0,1
IXIAMAS,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2013-09-01,0,0,1,0,1,0,1
