,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2013-01-01,1,1,1,1,2,2,4
COROICO,leishmaniasis,tratamientos de leishmania mucosa,2013-01-01,0,1,0,0,0,1,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2013-01-01,2,0,1,0,3,0,3
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania mucosa,2013-01-01,0,1,0,1,0,2,2
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania mucosa,2013-01-01,1,0,0,0,1,0,1
REYES,leishmaniasis,tratamientos de leishmania mucosa,2013-01-01,1,0,0,0,1,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2013-01-01,2,0,6,2,8,2,10
AZURDUY,leishmaniasis,tratamientos de leishmania mucosa,2013-02-01,0,1,0,0,0,1,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2013-02-01,0,0,1,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2013-02-01,0,0,0,1,0,1,1
COROICO,leishmaniasis,tratamientos de leishmania mucosa,2013-02-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2013-02-01,1,0,1,0,2,0,2
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa,2013-02-01,1,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2013-02-01,0,0,0,1,0,1,1
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania mucosa,2013-02-01,1,0,0,0,1,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2013-02-01,2,4,1,0,3,4,7
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2013-02-01,0,1,0,1,0,2,2
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2013-02-01,1,0,1,0,2,0,2
