,group,variable,month,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
APOLO,leishmaniasis,tratamientos de leishmania cutanea,2013-01-01,1,0,3,0,4,0,4
AYATA,leishmaniasis,tratamientos de leishmania cutanea,2013-01-01,1,0,1,0,2,0,2
AZURDUY,leishmaniasis,tratamientos de leishmania cutanea,2013-01-01,0,0,0,2,0,2,2
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2013-01-01,1,0,1,0,2,0,2
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2013-01-01,3,1,0,0,3,1,4
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2013-01-01,2,0,0,1,2,1,3
CAIROMA,leishmaniasis,tratamientos de leishmania cutanea,2013-01-01,0,1,0,0,0,1,1
CAPINOTA,leishmaniasis,tratamientos de leishmania cutanea,2013-01-01,1,0,1,0,2,0,2
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2013-01-01,5,1,7,2,12,3,15
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2013-01-01,4,2,1,0,5,2,7
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2013-01-01,2,0,0,0,2,0,2
COLOMI,leishmaniasis,tratamientos de leishmania cutanea,2013-01-01,1,1,1,0,2,1,3
CORIPATA,leishmaniasis,tratamientos de leishmania cutanea,2013-01-01,2,0,1,0,3,0,3
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2013-01-01,1,1,1,0,2,1,3
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2013-01-01,5,2,3,1,8,3,11
GUANAY,leishmaniasis,tratamientos de leishmania cutanea,2013-01-01,1,0,1,0,2,0,2
INGAVI (HUMAITA),leishmaniasis,tratamientos de leishmania cutanea,2013-01-01,0,1,0,0,0,1,1
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2013-01-01,2,10,1,2,3,12,15
