municipality,group,variable,month,Anestesias generales y regionales,TOTAL
ACHACACHI,cirugias y anestesias,anestesias generales y regionales,2009-01-01,2,2
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2009-01-01,11,11
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2009-01-01,33,33
AZURDUY,cirugias y anestesias,anestesias generales y regionales,2009-01-01,1,1
BAURES,cirugias y anestesias,anestesias generales y regionales,2009-01-01,2,2
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2009-01-01,77,77
BETANZOS,cirugias y anestesias,anestesias generales y regionales,2009-01-01,5,5
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2009-01-01,4,4
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2009-01-01,78,78
CARACOLLO,cirugias y anestesias,anestesias generales y regionales,2009-01-01,3,3
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2009-01-01,23,23
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2009-01-01,11,11
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2009-01-01,12,12
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,anestesias generales y regionales,2009-01-01,2,2
COBIJA,cirugias y anestesias,anestesias generales y regionales,2009-01-01,73,73
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2009-01-01,3518,3518
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2009-01-01,67,67
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2009-01-01,7,7
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2009-01-01,31,31
COROICO,cirugias y anestesias,anestesias generales y regionales,2009-01-01,22,22
COTAGAITA,cirugias y anestesias,anestesias generales y regionales,2009-01-01,1,1
COTOCA,cirugias y anestesias,anestesias generales y regionales,2009-01-01,7,7
CULPINA,cirugias y anestesias,anestesias generales y regionales,2009-01-01,22,22
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2009-01-01,755,755
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2009-01-01,7,7
ENTRE RIOS,cirugias y anestesias,anestesias generales y regionales,2009-01-01,2,2
EXALTACION,cirugias y anestesias,anestesias generales y regionales,2009-01-01,4,4
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2009-01-01,35,35
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2009-01-01,3125,3125
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2009-01-01,50,50
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2009-01-01,6,6
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2009-01-01,12,12
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2009-01-01,39,39
MONTERO,cirugias y anestesias,anestesias generales y regionales,2009-01-01,151,151
OCURI,cirugias y anestesias,anestesias generales y regionales,2009-01-01,2,2
ORURO,cirugias y anestesias,anestesias generales y regionales,2009-01-01,752,752
PADILLA,cirugias y anestesias,anestesias generales y regionales,2009-01-01,19,19
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2009-01-01,2,2
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2009-01-01,63,63
PORVENIR,cirugias y anestesias,anestesias generales y regionales,2009-01-01,14,14
POTOSI,cirugias y anestesias,anestesias generales y regionales,2009-01-01,814,814
PUERTO ACOSTA,cirugias y anestesias,anestesias generales y regionales,2009-01-01,2,2
PUERTO QUIJARRO,cirugias y anestesias,anestesias generales y regionales,2009-01-01,4,4
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2009-01-01,54,54
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2009-01-01,116,116
