municipality,group,variable,month,Cirugías medianas y mayores,TOTAL
ACHACACHI,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,2,2
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,11,11
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,22,22
AZURDUY,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,1,1
BAURES,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,2,2
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,47,47
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,4,4
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,48,48
CARACOLLO,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,3,3
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,23,23
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,11,11
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,12,12
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,cirugias medianas y mayores,2009-01-01,2,2
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,73,73
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,3246,3246
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,67,67
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,7,7
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,31,31
COROICO,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,17,17
COTAGAITA,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,1,1
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,7,7
CULPINA,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,9,9
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,732,732
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,7,7
EXALTACION,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,4,4
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,29,29
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,2842,2842
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,50,50
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,6,6
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,12,12
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,19,19
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,151,151
OCURI,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,2,2
ORURO,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,715,715
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,19,19
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,2,2
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,63,63
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,366,366
PUERTO ACOSTA,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,2,2
PUERTO QUIJARRO,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,4,4
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,20,20
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,43,43
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,37,37
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,32,32
REYES,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,2,2
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,216,216
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,8,8
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,10,10
SACABA,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,43,43
SAMAIPATA,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,2,2
SAN BORJA,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,26,26
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,11,11
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,18,18
SAN IGNACIO,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,6,6
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,55,55
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2009-01-01,7,7
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,37,37
SAN JUAN DE YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,47,47
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,17,17
SAN MATIAS,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,4,4
SAN RAMON,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,1,1
SAN RAMON,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,2,2
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,19,19
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,4304,4304
SENA,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,1,1
SOPACHUY,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,5,5
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,926,926
TARABUCO,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,7,7
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,459,459
TIRAQUE (CBBA),cirugias y anestesias,cirugias medianas y mayores,2009-01-01,7,7
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,285,285
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,30,30
UNCIA,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,59,59
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,13,13
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,47,47
VIACHA,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,18,18
VILLA MONTES,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,66,66
VILLA TUNARI,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,14,14
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,31,31
VINTO,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,1,1
WARNES,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,19,19
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,82,82
YOTALA,cirugias y anestesias,cirugias medianas y mayores,2009-01-01,1,1
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,5,5
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,29,29
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,cirugias medianas y mayores,2009-02-01,1,1
BAURES,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,4,4
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,23,23
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,8,8
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,70,70
CARACOLLO,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,40,40
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,9,9
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,4,4
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,11,11
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,cirugias medianas y mayores,2009-02-01,2,2
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,109,109
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,2976,2976
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,52,52
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,5,5
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,27,27
COROICO,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,9,9
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,11,11
CULPINA,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,6,6
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,586,586
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,24,24
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,106,106
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,2391,2391
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,41,41
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,13,13
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,11,11
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,15,15
ORURO,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,561,561
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,17,17
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,17,17
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,49,49
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,246,246
PUERTO ACOSTA,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,2,2
PUERTO QUIJARRO,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,4,4
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,29,29
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,20,20
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,33,33
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,32,32
REYES,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,5,5
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,218,218
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,10,10
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,6,6
SACABA,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,55,55
SAN ANDRES,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,1,1
SAN BORJA,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,10,10
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,4,4
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,18,18
SAN IGNACIO,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,4,4
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,39,39
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2009-02-01,14,14
SAN JOAQUIN,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,1,1
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,26,26
SAN JUAN DE YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,47,47
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,2,2
SAN LUCAS,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,2,2
SAN MATIAS,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,12,12
SAN RAMON,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,2,2
SAN RAMON,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,8,8
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,26,26
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,3066,3066
SANTA ROSA,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,3,3
SOPACHUY,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,7,7
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,648,648
TARABUCO,cirugias y anestesias,cirugias medianas y mayores,2009-02-01,6,6
