,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2022-01-01,1,0,0,0,1,0
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2022-01-01,0,0,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2022-01-01,0,1,2,1,2,2
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2022-01-01,3,0,5,0,8,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2022-01-01,2,0,3,0,5,0
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2022-01-01,0,0,1,3,1,3
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2022-01-01,1,0,1,0,2,0
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania mucosa,2022-01-01,1,0,0,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2022-01-01,3,0,0,0,3,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2022-01-01,0,0,1,3,1,3
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2022-01-01,1,0,1,0,2,0
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania mucosa,2022-01-01,0,0,1,0,1,0
VILLA MONTES,leishmaniasis,tratamientos de leishmania mucosa,2022-01-01,0,1,0,0,0,1
APOLO,leishmaniasis,tratamientos de leishmania mucosa,2022-02-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2022-02-01,0,1,0,1,0,2
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2022-02-01,1,1,1,0,2,1
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2022-02-01,0,0,2,0,2,0
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2022-02-01,1,0,0,0,1,0
