,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-01-01,0,1,0,0,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-01-01,0,0,1,0,1,0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-01-01,0,0,1,0,1,0
QUILLACOLLO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-01-01,0,0,1,0,1,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-01-01,0,1,0,0,0,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-02-01,0,0,0,1,0,1
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-02-01,1,0,0,1,1,1
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-02-01,0,1,0,0,0,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-03-01,0,1,0,0,0,1
TRINIDAD,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-03-01,1,0,1,0,2,0
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-04-01,1,0,0,0,1,0
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-04-01,1,0,0,0,1,0
MONTERO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-05-01,0,0,4,0,4,0
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-05-01,0,0,1,0,1,0
GRAL. J.J. PEREZ (CHARAZANI),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2022-06-01,0,1,0,1,0,2
