,group,variable,month,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2022-01-01,1,2,1,3,2,5
APOLO,leishmaniasis,tratamientos de leishmania cutanea,2022-01-01,3,0,2,0,5,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2022-01-01,1,0,0,0,1,0
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2022-01-01,0,0,0,1,0,1
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2022-01-01,4,4,6,6,10,10
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2022-01-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2022-01-01,1,0,4,1,5,1
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2022-01-01,1,0,0,0,1,0
CONCEPCION,leishmaniasis,tratamientos de leishmania cutanea,2022-01-01,2,0,0,0,2,0
CORIPATA,leishmaniasis,tratamientos de leishmania cutanea,2022-01-01,0,0,2,0,2,0
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2022-01-01,1,1,5,0,6,1
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2022-01-01,3,0,1,0,4,0
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2022-01-01,2,0,0,0,2,0
GUANAY,leishmaniasis,tratamientos de leishmania cutanea,2022-01-01,0,1,2,0,2,1
HUACARETA,leishmaniasis,tratamientos de leishmania cutanea,2022-01-01,1,0,1,0,2,0
INGAVI (HUMAITA),leishmaniasis,tratamientos de leishmania cutanea,2022-01-01,1,0,0,0,1,0
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2022-01-01,1,0,1,0,2,0
