municipality,group,variable,month,Nº de visitas familiares realizadas,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,184,184
ACHACACHI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,534,534
ACHOCALLA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,58,58
AIQUILE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,202,202
ALALAY,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,53,53
ALCALA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,203,203
ALTO BENI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,90,90
ANCORAIMES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,121,121
ANDAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,266,266
ANTEQUERA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,76,76
ANZALDO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,432,432
APOLO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,31,31
ARAMPAMPA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,132,132
ARANI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,218,218
ARBIETO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,735,735
ARQUE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,69,69
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,310,310
ATOCHA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,232,232
AUCAPATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,15,15
AYATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,2,2
AYO AYO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,95,95
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,184,184
AZURDUY,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,246,246
BATALLAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,99,99
BAURES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,80,80
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,58,58
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,72,72
BELLA FLOR,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,68,68
BERMEJO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,352,352
BETANZOS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,325,325
BOLIVAR,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,260,260
BOYUIBE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,954,954
BUENA VISTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,245,245
CABEZAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,136,136
CAIROMA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,11,11
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,425,425
CAJUATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,72,72
CALACOTO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,131,131
CALAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,170,170
CAMARGO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,70,70
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,35,35
CAMIRI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,318,318
CAPINOTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,101,101
CAQUIAVIRI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,295,295
CARACOLLO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,387,387
CARANAVI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,154,154
CARAPARI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,106,106
CARIPUYO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,82,82
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,26,26
CATACORA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,42,42
CHACARILLA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,92,92
CHALLAPATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,737,737
CHAQUI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,222,222
CHARAGUA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,92,92
CHAYANTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,112,112
CHIMORE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,560,560
CHIPAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,48,48
CHOQUE COTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,9,9
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,10,10
CHUMA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,341,341
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,95,95
CKOCHAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,161,161
CLIZA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,482,482
COBIJA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,3,3
COCAPATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,40,40
COCHABAMBA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,1215,1215
COLCAPIRHUA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,537,537
"COLCHA ""K""",actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,312,312
COLLANA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,26,26
COLOMI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,144,144
COLQUECHACA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,117,117
COLQUENCHA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,67,67
COLQUIRI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,7,7
COMANCHE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,10,10
COMARAPA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,554,554
COMBAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,46,46
CONCEPCION,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,95,95
CORO CORO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,22,22
COROICO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2020-01-01,137,137
