municipality,group,variable,month,Nº de actividades educativas en Salud,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,5,5
ACHACACHI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,17,17
ACHOCALLA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,32,32
AIQUILE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,4,4
ALALAY,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,8,8
ALCALA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,20,20
ALTO BENI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,3,3
ANCORAIMES,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,1,1
ANDAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,16,16
ANZALDO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,11,11
ARAMPAMPA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,13,13
ARANI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,14,14
ARBIETO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,10,10
ARQUE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,8,8
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,35,35
ATOCHA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,3,3
AYO AYO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,5,5
AZURDUY,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,25,25
BATALLAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,5,5
BAURES,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,21,21
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,15,15
BERMEJO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,4,4
BETANZOS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,37,37
BOLIVAR,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,3,3
BUENA VISTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,10,10
CABEZAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,3,3
CAIROMA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,7,7
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,27,27
CAJUATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,14,14
CALACOTO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,2,2
CALAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,12,12
CAMARGO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,34,34
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,10,10
CAMIRI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,24,24
CAPINOTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,17,17
CAQUIAVIRI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,43,43
CARACOLLO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,32,32
CARANAVI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,20,20
CARAPARI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,4,4
CARIPUYO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,39,39
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,2,2
CATACORA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,5,5
CHACARILLA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,2,2
CHALLAPATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,71,71
CHAQUI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,20,20
CHAYANTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,1,1
CHIMORE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,33,33
CHIPAYA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,19,19
CHOQUE COTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,5,5
CHUMA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,1,1
CKOCHAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,17,17
CLIZA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,13,13
COBIJA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,27,27
COCAPATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,4,4
COCHABAMBA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,176,176
COLCAPIRHUA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,28,28
"COLCHA ""K""",actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2020-01-01,7,7
