municipality,group,variable,month,Nº de familias carpetizadas con seguimiento durante el periódo,TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,678,678
ACHOCALLA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,80,80
AIQUILE,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,158,158
ALALAY,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,53,53
ALTO BENI,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,46,46
ANCORAIMES,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,122,122
ANDAMARCA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,185,185
ANZALDO,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,199,199
APOLO,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,34,34
ARAMPAMPA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,82,82
ARANI,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,76,76
ARBIETO,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,303,303
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,324,324
ATOCHA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,20,20
AUCAPATA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,51,51
AYATA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,101,101
AYO AYO,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,48,48
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,3,3
BATALLAS,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,91,91
BAURES,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,38,38
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,47,47
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,70,70
BELLA FLOR,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,18,18
BERMEJO,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,280,280
BETANZOS,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,292,292
BOLIVAR,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,142,142
BOLPEBRA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,3,3
BOYUIBE,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,3,3
BUENA VISTA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,240,240
CABEZAS,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,118,118
CAIROMA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,16,16
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,190,190
CAJUATA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,62,62
CALACOTO,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,26,26
CALAMARCA,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,86,86
CAMARGO,actividades del establecimiento y con la comunidad,no de familias carpetizadas con seguimiento durante el periodo,2020-01-01,57,57
