municipality,group,variable,month,N°de visitas familiares planificadas,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,5,5
ACHACACHI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,517,517
ACHOCALLA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,72,72
AIQUILE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,326,326
ALALAY,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,23,23
ALCALA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,203,203
ALTO BENI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,75,75
ANCORAIMES,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,117,117
ANDAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,15,15
ANTEQUERA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,100,100
ANZALDO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,144,144
APOLO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,40,40
ARAMPAMPA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,66,66
ARANI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,128,128
ARBIETO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,396,396
ARQUE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,30,30
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,147,147
ATOCHA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,154,154
AYO AYO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,120,120
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,198,198
AZURDUY,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,246,246
BATALLAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,90,90
BAURES,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,87,87
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,77,77
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,45,45
BELLA FLOR,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,70,70
BERMEJO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,299,299
BETANZOS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,362,362
BOLIVAR,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,72,72
BOYUIBE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,2,2
BUENA VISTA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,412,412
CABEZAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,164,164
CAIROMA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,7,7
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,87,87
CAJUATA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,12,12
CALACOTO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,18,18
CALAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,80,80
CAMARGO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,84,84
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,35,35
CAMIRI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,328,328
CAPINOTA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,15,15
CAQUIAVIRI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,262,262
CARACOLLO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,272,272
CARANAVI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,130,130
CARAPARI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,30,30
CARIPUYO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,23,23
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,60,60
CATACORA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,3,3
CHALLAPATA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,548,548
CHAQUI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,52,52
CHARAGUA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,8,8
CHIMORE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,101,101
CHIPAYA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,48,48
CHOQUE COTA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,9,9
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,8,8
CHUMA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,207,207
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,84,84
CKOCHAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,81,81
CLIZA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,226,226
COBIJA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,42,42
COCHABAMBA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,396,396
COLCAPIRHUA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,327,327
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,115,115
COLLANA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,26,26
COLOMI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,40,40
COLQUECHACA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,31,31
COLQUENCHA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,87,87
COLQUIRI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,4,4
COMANCHE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,5,5
COMARAPA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,590,590
COMBAYA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,60,60
CONCEPCION,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,95,95
CORO CORO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,17,17
COROICO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,101,101
CORQUE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,75,75
COTAGAITA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,507,507
COTOCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,196,196
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,150,150
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,5,5
CUEVO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,72,72
CULPINA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,151,151
CURVA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2020-01-01,31,31
