,group,variable,month,ANESTESIAS GENERALES Y REGIONALES CANTIDAD,ANESTESIAS GENERALES Y REGIONALES CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,cirugias y anestesias,anestesias generales y regionales,2012-01-01,0,6,6
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2012-01-01,8,5,13
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2012-01-01,10,19,29
AZURDUY,cirugias y anestesias,anestesias generales y regionales,2012-01-01,0,2,2
BAURES,cirugias y anestesias,anestesias generales y regionales,2012-01-01,0,4,4
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2012-01-01,8,42,50
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2012-01-01,2,10,12
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2012-01-01,22,94,116
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2012-01-01,9,28,37
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2012-01-01,2,10,12
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2012-01-01,0,9,9
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,anestesias generales y regionales,2012-01-01,0,1,1
CLIZA,cirugias y anestesias,anestesias generales y regionales,2012-01-01,0,3,3
COBIJA,cirugias y anestesias,anestesias generales y regionales,2012-01-01,46,122,168
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2012-01-01,1201,2140,3341
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2012-01-01,0,8,8
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2012-01-01,0,14,14
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2012-01-01,2,16,18
COROICO,cirugias y anestesias,anestesias generales y regionales,2012-01-01,13,20,33
CULPINA,cirugias y anestesias,anestesias generales y regionales,2012-01-01,20,18,38
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2012-01-01,316,639,955
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2012-01-01,15,37,52
ENTRE RIOS TRJ,cirugias y anestesias,anestesias generales y regionales,2012-01-01,0,2,2
ESCOMA,cirugias y anestesias,anestesias generales y regionales,2012-01-01,1,0,1
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2012-01-01,17,41,58
HUANUNI,cirugias y anestesias,anestesias generales y regionales,2012-01-01,4,23,27
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2012-01-01,1340,1929,3269
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2012-01-01,15,37,52
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2012-01-01,0,7,7
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2012-01-01,0,14,14
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2012-01-01,17,36,53
MONTERO,cirugias y anestesias,anestesias generales y regionales,2012-01-01,37,128,165
OCURI,cirugias y anestesias,anestesias generales y regionales,2012-01-01,0,3,3
ORURO,cirugias y anestesias,anestesias generales y regionales,2012-01-01,172,574,746
PADILLA,cirugias y anestesias,anestesias generales y regionales,2012-01-01,10,34,44
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2012-01-01,4,10,14
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2012-01-01,25,20,45
POTOSI,cirugias y anestesias,anestesias generales y regionales,2012-01-01,139,259,398
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2012-01-01,20,41,61
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2012-01-01,12,22,34
PUNATA,cirugias y anestesias,anestesias generales y regionales,2012-01-01,5,30,35
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2012-01-01,0,34,34
REYES,cirugias y anestesias,anestesias generales y regionales,2012-01-01,5,16,21
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2012-01-01,72,175,247
ROBORE,cirugias y anestesias,anestesias generales y regionales,2012-01-01,0,5,5
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2012-01-01,2,17,19
SACABA,cirugias y anestesias,anestesias generales y regionales,2012-01-01,16,100,116
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2012-01-01,2,8,10
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2012-01-01,4,42,46
