,group,variable,month,CIRUGÍAS MEDIANAS Y MAYORES CANTIDAD,CIRUGÍAS MEDIANAS Y MAYORES CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,0,6,6
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,8,5,13
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,5,12,17
AZURDUY,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,0,2,2
BAURES,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,0,3,3
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,4,22,26
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,2,10,12
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,16,75,91
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,7,27,34
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,2,10,12
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,0,9,9
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,cirugias medianas y mayores,2012-01-01,0,1,1
CLIZA,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,0,3,3
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,46,122,168
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,1155,2088,3243
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,0,8,8
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,0,10,10
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,2,16,18
COROICO,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,5,13,18
CULPINA,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,1,4,5
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,316,550,866
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,15,37,52
ENTRE RIOS TRJ,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,0,2,2
ESCOMA,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,1,0,1
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,16,41,57
HUANUNI,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,4,23,27
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,1227,1802,3029
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,15,37,52
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,0,7,7
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,0,14,14
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,15,34,49
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,37,128,165
OCURI,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,0,3,3
ORURO,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,172,574,746
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,10,34,44
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,4,10,14
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,25,20,45
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,122,242,364
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,20,38,58
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,12,22,34
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,5,30,35
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,0,34,34
REYES,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,5,16,21
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,72,175,247
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,0,5,5
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,2,17,19
SACABA,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,14,77,91
SAMAIPATA,cirugias y anestesias,cirugias medianas y mayores,2012-01-01,2,8,10
