municipality,group,variable,month,Nº de CAI de establecimiento,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,1,1
ACHACACHI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,7,7
ACHOCALLA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,3,3
ALALAY,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,1,1
ANCORAIMES,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,1,1
ANTEQUERA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,1,1
APOLO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,1,1
ARAMPAMPA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,1,1
ARANI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,2,2
ARQUE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,6,6
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,1,1
AUCAPATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,1,1
AYATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,1,1
AYO AYO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,2,2
BATALLAS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,1,1
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,2,2
BERMEJO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,5,5
BOLIVAR,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,4,4
BOYUIBE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,2,2
BUENA VISTA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,1,1
CAJUATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,1,1
CALAMARCA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,2,2
CAQUIAVIRI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,1,1
CARACOLLO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,2,2
CARANAVI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,2,2
CHALLAPATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,4,4
CHARAGUA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,4,4
CHOQUE COTA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,1,1
CHUMA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,2,2
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,1,1
CLIZA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,2,2
COCHABAMBA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,3,3
COLLANA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,2,2
COLPA BELGICA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,2,2
COLQUENCHA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,4,4
COMARAPA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,1,1
COMBAYA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,1,1
COPACABANA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,1,1
CORIPATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2012-01-01,1,1
