municipality,group,variable,month,N° de autoevaluciones para acreditación del establecimiento,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-01-01,1,1
ACHACACHI,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-01-01,1,1
ATOCHA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-01-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-01-01,4,4
CABEZAS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-01-01,1,1
"CAIZA ""D""",actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-01-01,2,2
CAMARGO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-01-01,6,6
CKOCHAS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-01-01,1,1
CLIZA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-01-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-01-01,4,4
COTAGAITA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-01-01,2,2
EL ALTO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-01-01,4,4
LA PAZ,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-01-01,2,2
MONTERO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-01-01,8,8
PUNA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-01-01,1,1
RAVELO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-01-01,1,1
SABAYA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-01-01,2,2
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-01-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-01-01,3,3
TEOPONTE,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-01-01,2,2
TUPIZA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-01-01,1,1
VACAS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-01-01,3,3
ARQUE,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-02-01,4,4
ATOCHA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-02-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-02-01,1,1
CHIMORE,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-02-01,2,2
CLIZA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-02-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-02-01,7,7
COROICO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-02-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-02-01,2,2
LA PAZ,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-02-01,2,2
LLALLAGUA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-02-01,1,1
MONTERO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-02-01,2,2
POCONA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-02-01,1,1
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-02-01,8,8
SACABA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-02-01,1,1
SAN BENITO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-02-01,1,1
SAN PEDRO,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-02-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-02-01,4,4
SORATA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-02-01,1,1
TRIGAL,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-02-01,1,1
TRINIDAD,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-02-01,7,7
UNCIA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-02-01,1,1
YUNCHARA,actividades del establecimiento y con la comunidad,n de autoevaluciones para acreditacion del establecimiento,2012-02-01,1,1
