municipality,group,variable,month,Nº. De actividades educativas en Salud,TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,31,31
ACHOCALLA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,23,23
ALCALA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,18,18
ALTO BENI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,5,5
ANCORAIMES,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,5,5
ANDAMARCA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,5,5
ANZALDO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,1,1
APOLO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,5,5
ARQUE,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,6,6
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,15,15
ATOCHA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,2,2
AYO AYO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,11,11
AZURDUY,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,28,28
BAURES,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,1,1
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,12,12
BERMEJO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,172,172
BETANZOS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,28,28
BOLIVAR,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,22,22
BOLPEBRA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,2,2
CABEZAS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,6,6
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,12,12
CALACOTO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,3,3
CALAMARCA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,6,6
CAMARGO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,43,43
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,12,12
CAMIRI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,20,20
CAPINOTA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,14,14
CAQUIAVIRI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,2,2
CARACOLLO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,27,27
CARANAVI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,15,15
CARIPUYO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,23,23
CATACORA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,2,2
CHALLAPATA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,18,18
CHAQUI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,3,3
CHIMORE,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,8,8
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,11,11
CHUMA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,4,4
CKOCHAS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,27,27
COCAPATA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,4,4
COCHABAMBA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,145,145
COLCAPIRHUA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,18,18
"COLCHA ""K""",actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,3,3
COLOMI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,7,7
COLQUECHACA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,12,12
COLQUENCHA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,2,2
COMARAPA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,1,1
CONCEPCION,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,3,3
COPACABANA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,4,4
COROICO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,1,1
CORQUE,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,17,17
COTAGAITA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,34,34
COTOCA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,4,4
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2012-01-01,8,8
