municipality,group,variable,month,Nº de comunidades que participaron en el CAI de establecimiento,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2012-01-01,8,8
ACHACACHI,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2012-01-01,5,5
ACHOCALLA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2012-01-01,6,6
ALALAY,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2012-01-01,11,11
ANCORAIMES,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2012-01-01,1,1
ANTEQUERA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2012-01-01,1,1
APOLO,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2012-01-01,1,1
ARANI,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2012-01-01,7,7
ARQUE,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2012-01-01,26,26
AUCAPATA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2012-01-01,1,1
AYATA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2012-01-01,1,1
AYO AYO,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2012-01-01,2,2
BATALLAS,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2012-01-01,1,1
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2012-01-01,6,6
BERMEJO,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2012-01-01,7,7
BOLIVAR,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2012-01-01,21,21
BUENA VISTA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2012-01-01,2,2
CALAMARCA,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2012-01-01,2,2
CAQUIAVIRI,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2012-01-01,1,1
CARACOLLO,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2012-01-01,2,2
CARANAVI,actividades del establecimiento y con la comunidad,no de comunidades que participaron en el cai de establecimiento,2012-01-01,8,8
