municipality,group,variable,month,Nuevas en personas de 60 años o más -Hombre,Nuevas en personas de 60 años o más -Mujer,TOTAL-H,TOTAL-M,TOTAL
ACACIO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,19,33,19,33,52
ACHACACHI,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,133,124,133,124,257
ACHOCALLA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,13,10,13,10,23
AIQUILE,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,68,97,68,97,165
ALALAY,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,1,6,1,6,7
ALCALA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,24,37,24,37,61
ANCORAIMES,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,35,46,35,46,81
ANDAMARCA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,23,25,23,25,48
ANTEQUERA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,7,1,7,1,8
ANZALDO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,25,21,25,21,46
APOLO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,40,32,40,32,72
ARAMPAMPA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,6,13,6,13,19
ARANI,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,8,17,8,17,25
ARBIETO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,14,16,14,16,30
ARQUE,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,10,28,10,28,38
ASCENCION DE GUARAYOS,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,21,45,21,45,66
ATOCHA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,83,101,83,101,184
AUCAPATA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,14,22,14,22,36
AYATA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,17,20,17,20,37
AYO AYO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,13,7,13,7,20
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,37,51,37,51,88
AZURDUY,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,38,49,38,49,87
BATALLAS,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,58,34,58,34,92
BAURES,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,15,16,15,16,31
BELEN DE ANDAMARCA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,10,9,10,9,19
BELEN DE URMIRI,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,25,27,25,27,52
BELLA FLOR,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,20,7,20,7,27
BERMEJO,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,60,54,60,54,114
BETANZOS,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,150,213,150,213,363
BOLIVAR,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,24,15,24,15,39
BOLPEBRA,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,7,5,7,5,12
BOYUIBE,consulta externa,nuevas en personas de 60 anos o mas,2006-01-01,4,17,4,17,21
