municipality,group,variable,month,Repetidas en menores de 5 años -Hombre,Repetidas en menores de 5 años -Mujer,TOTAL-H,TOTAL-M,TOTAL
ACHACACHI,consulta externa,repetidas en menores de 5 anos,2006-01-01,16,6,16,6,22
ACHOCALLA,consulta externa,repetidas en menores de 5 anos,2006-01-01,0,2,0,2,2
AIQUILE,consulta externa,repetidas en menores de 5 anos,2006-01-01,23,21,23,21,44
ANCORAIMES,consulta externa,repetidas en menores de 5 anos,2006-01-01,13,5,13,5,18
ANDAMARCA,consulta externa,repetidas en menores de 5 anos,2006-01-01,0,4,0,4,4
ANTEQUERA,consulta externa,repetidas en menores de 5 anos,2006-01-01,25,15,25,15,40
ANZALDO,consulta externa,repetidas en menores de 5 anos,2006-01-01,4,5,4,5,9
APOLO,consulta externa,repetidas en menores de 5 anos,2006-01-01,4,3,4,3,7
ARANI,consulta externa,repetidas en menores de 5 anos,2006-01-01,49,54,49,54,103
ARBIETO,consulta externa,repetidas en menores de 5 anos,2006-01-01,1,1,1,1,2
ARQUE,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,0,2,0,2
ASCENCION DE GUARAYOS,consulta externa,repetidas en menores de 5 anos,2006-01-01,35,27,35,27,62
ATOCHA,consulta externa,repetidas en menores de 5 anos,2006-01-01,45,44,45,44,89
AUCAPATA,consulta externa,repetidas en menores de 5 anos,2006-01-01,11,8,11,8,19
AYATA,consulta externa,repetidas en menores de 5 anos,2006-01-01,15,16,15,16,31
AYO AYO,consulta externa,repetidas en menores de 5 anos,2006-01-01,4,4,4,4,8
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,repetidas en menores de 5 anos,2006-01-01,24,26,24,26,50
BATALLAS,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,1,2,1,3
BAURES,consulta externa,repetidas en menores de 5 anos,2006-01-01,3,4,3,4,7
BELEN DE ANDAMARCA,consulta externa,repetidas en menores de 5 anos,2006-01-01,1,1,1,1,2
BELEN DE URMIRI,consulta externa,repetidas en menores de 5 anos,2006-01-01,1,0,1,0,1
BELLA FLOR,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,2,2,2,4
BERMEJO,consulta externa,repetidas en menores de 5 anos,2006-01-01,21,33,21,33,54
BETANZOS,consulta externa,repetidas en menores de 5 anos,2006-01-01,12,14,12,14,26
BOLIVAR,consulta externa,repetidas en menores de 5 anos,2006-01-01,38,22,38,22,60
BOYUIBE,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,10,2,10,12
BUENA VISTA,consulta externa,repetidas en menores de 5 anos,2006-01-01,100,94,100,94,194
CABEZAS,consulta externa,repetidas en menores de 5 anos,2006-01-01,3,4,3,4,7
CAIROMA,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,6,2,6,8
"CAIZA ""D""",consulta externa,repetidas en menores de 5 anos,2006-01-01,2,1,2,1,3
CAJUATA,consulta externa,repetidas en menores de 5 anos,2006-01-01,1,1,1,1,2
CALACOTO,consulta externa,repetidas en menores de 5 anos,2006-01-01,1,0,1,0,1
CALAMARCA,consulta externa,repetidas en menores de 5 anos,2006-01-01,18,5,18,5,23
CAMARGO,consulta externa,repetidas en menores de 5 anos,2006-01-01,5,5,5,5,10
CAMIRI,consulta externa,repetidas en menores de 5 anos,2006-01-01,107,132,107,132,239
CAPINOTA,consulta externa,repetidas en menores de 5 anos,2006-01-01,108,76,108,76,184
CARACOLLO,consulta externa,repetidas en menores de 5 anos,2006-01-01,0,3,0,3,3
CARANAVI,consulta externa,repetidas en menores de 5 anos,2006-01-01,12,17,12,17,29
CARIPUYO,consulta externa,repetidas en menores de 5 anos,2006-01-01,62,64,62,64,126
CARMEN RIVERO TORREZ,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,0,2,0,2
CHALLAPATA,consulta externa,repetidas en menores de 5 anos,2006-01-01,10,9,10,9,19
CHARAGUA,consulta externa,repetidas en menores de 5 anos,2006-01-01,49,46,49,46,95
CHARAÑA,consulta externa,repetidas en menores de 5 anos,2006-01-01,1,0,1,0,1
CHAYANTA,consulta externa,repetidas en menores de 5 anos,2006-01-01,2,1,2,1,3
CHIMORE,consulta externa,repetidas en menores de 5 anos,2006-01-01,22,36,22,36,58
CHIPAYA,consulta externa,repetidas en menores de 5 anos,2006-01-01,3,7,3,7,10
CHOQUE COTA,consulta externa,repetidas en menores de 5 anos,2006-01-01,1,4,1,4,5
CHULUMANI (V. DE LA LIBERTAD),consulta externa,repetidas en menores de 5 anos,2006-01-01,11,8,11,8,19
CHUMA,consulta externa,repetidas en menores de 5 anos,2006-01-01,6,0,6,0,6
CLIZA,consulta externa,repetidas en menores de 5 anos,2006-01-01,51,38,51,38,89
