municipality,group,variable,month,Repetidas en personas de 60 años o más -Hombre,Repetidas en personas de 60 años o más -Mujer,TOTAL-H,TOTAL-M,TOTAL
ACACIO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,0,2,0,2
ACHACACHI,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,28,17,28,17,45
AIQUILE,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,38,57,38,57,95
ALALAY,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,0,1,0,1,1
ANCORAIMES,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,3,3,3,3,6
ANDAMARCA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,4,1,4,1,5
ANZALDO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,2,2,2,4
APOLO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,11,3,11,3,14
ARANI,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,7,8,7,8,15
ARBIETO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,3,1,3,1,4
ARQUE,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,0,1,0,1,1
ASCENCION DE GUARAYOS,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,4,1,4,5
ATOCHA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,42,85,42,85,127
AUCAPATA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,0,1,0,1,1
AYATA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,0,1,0,1
AYO AYO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,4,1,4,5
AZURDUY,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,3,2,3,5
BATALLAS,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,3,1,3,1,4
BAURES,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,1,1,1,2
BELEN DE ANDAMARCA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,0,1,0,1
BELEN DE URMIRI,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,0,2,0,2
BERMEJO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,37,22,37,22,59
BETANZOS,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,40,52,40,52,92
BOLIVAR,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,1,2,1,3
BOYUIBE,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,6,2,6,8
BUENA VISTA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,26,17,26,17,43
CABEZAS,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,3,1,3,1,4
CAIROMA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,10,3,10,3,13
"CAIZA ""D""",consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,1,1,1,2
CALACOTO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,2,2,2,4
CAMARGO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,5,18,5,18,23
CAMATAQUI (C. VILLA ABECIA),consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,0,1,0,1,1
CAMIRI,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,53,112,53,112,165
CAPINOTA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,16,26,16,26,42
CAQUIAVIRI,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,3,3,3,3,6
CARACOLLO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,9,9,9,9,18
CARANAVI,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,13,14,13,14,27
CARIPUYO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,3,0,3,0,3
CHACARILLA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,0,1,0,1
CHALLAPATA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,11,16,11,16,27
CHAQUI,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,3,1,3,4
CHARAGUA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,3,6,3,6,9
CHARAÑA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,0,1,0,1
CHAYANTA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,4,16,4,16,20
CHULUMANI (V. DE LA LIBERTAD),consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,9,10,9,10,19
CHUMA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,3,2,3,5
CLIZA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,5,3,5,3,8
COBIJA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,27,161,27,161,188
COCHABAMBA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,5027,5933,5027,5933,10960
COLCAPIRHUA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,30,87,30,87,117
"COLCHA ""K""",consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,4,7,4,7,11
COLLANA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,4,1,4,5
COLPA BELGICA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,32,4,32,4,36
COLQUECHACA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,5,11,5,11,16
COLQUENCHA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,3,1,3,4
COLQUIRI,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,7,4,7,4,11
COMARAPA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,19,18,19,18,37
CONCEPCION,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,0,1,0,1
CORO CORO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,2,3,2,3,5
COROICO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,12,14,12,14,26
CORQUE,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,6,1,6,1,7
COTAGAITA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,22,29,22,29,51
COTOCA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,18,10,18,10,28
CUEVO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,3,1,3,4
CULPINA,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,1,1,1,2
CURAHUARA DE CARANGAS,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,1,4,1,4,5
DESAGUADERO,consulta externa,repetidas en personas de 60 anos o mas,2006-01-01,0,1,0,1,1
