municipality,group,variable,month,Repetidas en personas de 15 a 59 años -Hombre,Repetidas en personas de 15 a 59 años -Mujer,TOTAL-H,TOTAL-M,TOTAL
ACACIO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,2,1,2,3
ACHACACHI,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,24,42,24,42,66
ACHOCALLA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,0,3,0,3,3
AIQUILE,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,88,232,88,232,320
ALALAY,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,0,1,0,1
ANCORAIMES,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,12,18,12,18,30
ANDAMARCA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,1,1,1,2
ANTEQUERA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,2,0,2,0,2
ANZALDO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,3,3,3,3,6
APOLO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,3,10,3,10,13
ARANI,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,12,7,12,7,19
ARBIETO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,2,7,2,7,9
ARQUE,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,3,1,3,4
ASCENCION DE GUARAYOS,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,7,5,7,5,12
ATOCHA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,273,367,273,367,640
AUCAPATA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,7,2,7,2,9
AYATA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,3,3,3,3,6
AYO AYO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,5,6,5,6,11
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,5,8,5,8,13
AZURDUY,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,0,6,0,6,6
BATALLAS,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,10,10,10,10,20
BAURES,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,0,5,0,5,5
BELEN DE ANDAMARCA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,5,2,5,2,7
BELEN DE URMIRI,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,4,9,4,9,13
BELLA FLOR,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,3,5,3,5,8
BERMEJO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,31,127,31,127,158
BETANZOS,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,11,28,11,28,39
BOLIVAR,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,15,11,15,11,26
BOLPEBRA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,2,1,2,3
BOYUIBE,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,7,10,7,10,17
BUENA VISTA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,34,88,34,88,122
CABEZAS,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,14,11,14,11,25
CAIROMA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,21,35,21,35,56
"CAIZA ""D""",consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,3,4,3,4,7
CAJUATA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,1,1,1,2
CALACOTO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,1,1,1,2
CALAMARCA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,20,2,20,2,22
CAMARGO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,7,33,7,33,40
CAMATAQUI (C. VILLA ABECIA),consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,2,5,2,5,7
CAMIRI,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,60,154,60,154,214
CAPINOTA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,38,79,38,79,117
CAQUIAVIRI,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,9,8,9,8,17
CARACOLLO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,3,14,3,14,17
CARANAVI,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,22,16,22,16,38
CARAPARI,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,0,1,0,1,1
CARIPUYO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,15,38,15,38,53
CARMEN RIVERO TORREZ,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,0,1,0,1
CHALLAPATA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,26,50,26,50,76
CHAQUI,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,1,1,1,2
CHARAGUA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,12,30,12,30,42
CHARAÑA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,2,1,2,3
CHAYANTA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,8,9,8,9,17
CHIMORE,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,7,17,7,17,24
CHIPAYA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,0,1,0,1
CHOQUE COTA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,6,1,6,7
CHULUMANI (V. DE LA LIBERTAD),consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,46,29,46,29,75
CHUMA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,2,7,2,7,9
CLIZA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,7,11,7,11,18
COBIJA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,72,432,72,432,504
COCHABAMBA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,9816,20052,9816,20052,29868
COLCAPIRHUA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,140,403,140,403,543
"COLCHA ""K""",consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,6,11,6,11,17
COLLANA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,3,1,3,4
COLOMI,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,5,1,5,1,6
COLPA BELGICA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,67,46,67,46,113
COLQUECHACA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,2,15,2,15,17
COLQUENCHA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,6,1,6,7
COLQUIRI,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,12,25,12,25,37
COMANCHE,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,0,3,0,3,3
COMARAPA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,16,40,16,40,56
COMBAYA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,3,1,3,1,4
COPACABANA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,3,3,3,3,6
CORIPATA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,0,1,0,1,1
CORO CORO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,3,1,3,4
COROICO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,30,37,30,37,67
CORQUE,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,9,1,9,1,10
COTAGAITA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,73,101,73,101,174
COTOCA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,8,12,8,12,20
CUATRO CAÑADAS,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,3,70,3,70,73
CUCHUMUELA (V. G. VILLARROEL),consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,0,1,0,1
CUEVO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,10,10,10,10,20
CULPINA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,0,11,0,11,11
CURAHUARA DE CARANGAS,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,6,1,6,7
EL ALTO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,2415,5690,2415,5690,8105
EL CHORO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,0,5,0,5,5
EL PUENTE(STC),consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,1,1,1,2
EL PUENTE(TJA),consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,4,1,4,5
EL TORNO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,216,331,216,331,547
EL VILLAR,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,2,2,2,2,4
ENTRE RIOS,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,8,9,8,9,17
ENTRE RIOS,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,15,25,15,25,40
EUCALIPTUS,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,3,1,3,4
EUREKA (SANTOS MERCADO),consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,2,3,2,3,5
EXALTACION,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,0,2,0,2,2
FERNANDEZ ALONSO,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,12,37,12,37,49
FILADELFIA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,33,45,33,45,78
GENERAL SAAVEDRA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,13,19,13,19,32
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,3,0,3,0,3
GUANAY,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,3,1,3,4
GUAQUI,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,6,12,6,12,18
GUAYARAMERIN,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,170,194,170,194,364
GUTIERREZ,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,7,9,7,9,16
HUACARETA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,19,52,19,52,71
HUACAYA (VILLA DE HUACAYA),consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,2,3,2,3,5
HUACHACALLA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,3,0,3,0,3
HUANUNI,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,139,147,139,147,286
HUARACAJE,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,0,6,0,6,6
HUAYLLAMARCA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,2,8,2,8,10
ICHOCA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,4,2,4,2,6
ICLA,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,4,5,4,5,9
INCAHUASI,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,2,7,2,7,9
INGAVI (HUMAITA),consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,17,7,17,7,24
INQUISIVI,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,10,8,10,8,18
IRUPANA (VILLA DE LANZA),consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,18,20,18,20,38
IXIAMAS,consulta externa,repetidas en personas de 15 a 59 anos,2006-01-01,1,6,1,6,7
