municipality,group,variable,month,Nuevas en personas de 5 a 14 años -Hombre,Nuevas en personas de 5 a 14 años -Mujer,TOTAL-H,TOTAL-M,TOTAL
ACACIO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,11,12,11,12,23
ACHACACHI,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,96,80,96,80,176
ACHOCALLA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,16,20,16,20,36
AIQUILE,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,102,112,102,112,214
ALALAY,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,1,6,1,6,7
ALCALA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,22,18,22,18,40
ANCORAIMES,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,16,14,16,14,30
ANDAMARCA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,8,12,8,12,20
ANTEQUERA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,3,9,3,9,12
ANZALDO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,10,13,10,13,23
APOLO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,32,60,32,60,92
ARAMPAMPA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,7,12,7,12,19
ARANI,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,9,7,9,7,16
ARBIETO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,12,16,12,16,28
ARQUE,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,12,17,12,17,29
ASCENCION DE GUARAYOS,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,128,109,128,109,237
ATOCHA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,159,200,159,200,359
AUCAPATA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,21,21,21,21,42
AYATA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,19,15,19,15,34
AYO AYO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,13,12,13,12,25
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,69,41,69,41,110
AZURDUY,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,31,41,31,41,72
BATALLAS,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,31,20,31,20,51
BAURES,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,22,23,22,23,45
BELEN DE ANDAMARCA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,7,4,7,4,11
BELEN DE URMIRI,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,10,13,10,13,23
BELLA FLOR,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,67,82,67,82,149
BERMEJO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,224,189,224,189,413
BETANZOS,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,117,120,117,120,237
BOLIVAR,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,17,9,17,9,26
BOLPEBRA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,24,10,24,10,34
BOYUIBE,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,21,18,21,18,39
BUENA VISTA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,122,106,122,106,228
CABEZAS,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,116,92,116,92,208
CAIROMA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,38,30,38,30,68
"CAIZA ""D""",consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,20,15,20,15,35
CAJUATA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,44,56,44,56,100
CALACOTO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,34,22,34,22,56
CALAMARCA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,18,19,18,19,37
CAMARGO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,190,163,190,163,353
CAMATAQUI (C. VILLA ABECIA),consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,19,15,19,15,34
CAMIRI,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,287,386,287,386,673
CAPINOTA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,97,76,97,76,173
CAQUIAVIRI,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,18,20,18,20,38
CARACOLLO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,45,34,45,34,79
CARANAVI,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,177,160,177,160,337
CARANGAS,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,4,2,4,2,6
CARAPARI,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,83,56,83,56,139
CARIPUYO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,7,12,7,12,19
CARMEN RIVERO TORREZ,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,15,8,15,8,23
CATACORA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,5,1,5,1,6
CHALLAPATA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,84,48,84,48,132
CHAQUI,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,11,24,11,24,35
CHARAGUA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,138,115,138,115,253
CHARAÑA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,12,12,12,12,24
CHAYANTA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,29,38,29,38,67
CHIMORE,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,55,45,55,45,100
CHIPAYA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,11,10,11,10,21
CHOQUE COTA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,8,8,8,8,16
CHULUMANI (V. DE LA LIBERTAD),consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,48,49,48,49,97
CHUMA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,40,116,40,116,156
CLIZA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,27,35,27,35,62
COBIJA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,219,229,219,229,448
COCHABAMBA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,3835,4464,3835,4464,8299
COLCAPIRHUA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,215,186,215,186,401
"COLCHA ""K""",consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,51,39,51,39,90
COLLANA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,6,3,6,3,9
COLOMI,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,34,31,34,31,65
COLPA BELGICA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,48,34,48,34,82
COLQUECHACA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,150,149,150,149,299
COLQUENCHA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,9,19,9,19,28
COLQUIRI,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,62,50,62,50,112
COMANCHE,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,6,5,6,5,11
COMARAPA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,116,129,116,129,245
COMBAYA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,12,3,12,3,15
CONCEPCION,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,60,73,60,73,133
COPACABANA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,34,19,34,19,53
CORIPATA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,45,48,45,48,93
CORO CORO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,14,17,14,17,31
COROICO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,73,63,73,63,136
CORQUE,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,23,20,23,20,43
COTAGAITA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,164,187,164,187,351
COTOCA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,92,80,92,80,172
CUATRO CAÑADAS,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,121,127,121,127,248
CUCHUMUELA (V. G. VILLARROEL),consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,2,1,2,1,3
CUEVO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,40,36,40,36,76
CULPINA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,67,44,67,44,111
CURAHUARA DE CARANGAS,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,13,18,13,18,31
CURVA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,3,5,3,5,8
DESAGUADERO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,10,11,10,11,21
EL ALTO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,3558,3668,3558,3668,7226
EL CHORO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,15,16,15,16,31
EL PUENTE(STC),consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,36,37,36,37,73
EL PUENTE(TJA),consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,59,91,59,91,150
EL TORNO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,149,323,149,323,472
EL VILLAR,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,21,24,21,24,45
ENTRE RIOS,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,78,104,78,104,182
ENTRE RIOS,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,83,64,83,64,147
ESCARA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,0,1,0,1,1
ESMERALDA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,1,1,1,1,2
EUCALIPTUS,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,8,22,8,22,30
EUREKA (SANTOS MERCADO),consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,13,20,13,20,33
EXALTACION,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,7,8,7,8,15
FERNANDEZ ALONSO,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,65,57,65,57,122
FILADELFIA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,76,86,76,86,162
GENERAL SAAVEDRA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,91,104,91,104,195
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,16,17,16,17,33
GUANAY,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,70,58,70,58,128
GUAQUI,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,9,9,9,9,18
GUAYARAMERIN,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,311,336,311,336,647
GUTIERREZ,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,132,118,132,118,250
HUACARETA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,90,80,90,80,170
HUACAYA (VILLA DE HUACAYA),consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,33,22,33,22,55
HUACHACALLA,consulta externa,nuevas en personas de 5 a 14 anos,2006-01-01,8,7,8,7,15
