municipality,group,variable,month,Repetidas en personas de 5 a 14 años -Hombre,Repetidas en personas de 5 a 14 años -Mujer,TOTAL-H,TOTAL-M,TOTAL
ACHACACHI,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,14,2,14,2,16
AIQUILE,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,11,11,11,11,22
ANCORAIMES,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,2,1,2,3
ANTEQUERA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,0,1,0,1,1
APOLO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,0,2,0,2,2
ARANI,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,3,1,3,4
ARBIETO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,3,1,3,4
ASCENCION DE GUARAYOS,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,5,7,5,7,12
ATOCHA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,40,51,40,51,91
AUCAPATA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,2,2,2,4
AYATA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,1,2,1,3
AYO AYO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,4,0,4,0,4
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,9,1,9,10
BAURES,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,3,1,3,4
BELEN DE ANDAMARCA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,1,1,1,2
BELLA FLOR,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,0,2,0,2,2
BERMEJO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,5,17,5,17,22
BETANZOS,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,2,0,2,0,2
BOLIVAR,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,8,11,8,11,19
BOYUIBE,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,1,1,1,2
BUENA VISTA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,16,14,16,14,30
CABEZAS,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,7,5,7,5,12
CAIROMA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,7,14,7,14,21
"CAIZA ""D""",consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,0,1,0,1
CALAMARCA,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,1,0,1,0,1
CAMARGO,consulta externa,repetidas en personas de 5 a 14 anos,2006-01-01,4,5,4,5,9
