municipality,group,variable,month,Nuevas en personas de 15 a 59 años -Hombre,Nuevas en personas de 15 a 59 años -Mujer,TOTAL-H,TOTAL-M,TOTAL
ACACIO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,36,97,36,97,133
ACHACACHI,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,361,686,361,686,1047
ACHOCALLA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,21,67,21,67,88
AIQUILE,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,228,458,228,458,686
ALALAY,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,14,41,14,41,55
ALCALA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,85,188,85,188,273
ANCORAIMES,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,82,171,82,171,253
ANDAMARCA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,35,50,35,50,85
ANTEQUERA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,11,36,11,36,47
ANZALDO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,45,66,45,66,111
APOLO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,126,223,126,223,349
ARAMPAMPA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,36,71,36,71,107
ARANI,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,27,44,27,44,71
ARBIETO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,28,75,28,75,103
ARQUE,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,53,182,53,182,235
ASCENCION DE GUARAYOS,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,189,339,189,339,528
ATOCHA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,659,766,659,766,1425
AUCAPATA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,33,94,33,94,127
AYATA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,38,111,38,111,149
AYO AYO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,36,92,36,92,128
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,178,317,178,317,495
AZURDUY,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,134,344,134,344,478
BATALLAS,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,92,166,92,166,258
BAURES,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,21,49,21,49,70
BELEN DE ANDAMARCA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,24,27,24,27,51
BELEN DE URMIRI,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,33,100,33,100,133
BELLA FLOR,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,104,104,104,104,208
BERMEJO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,475,914,475,914,1389
BETANZOS,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,433,781,433,781,1214
BOLIVAR,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,61,85,61,85,146
BOLPEBRA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,38,44,38,44,82
BOYUIBE,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,37,66,37,66,103
BUENA VISTA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,236,342,236,342,578
CABEZAS,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,261,370,261,370,631
CAIROMA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,92,166,92,166,258
"CAIZA ""D""",consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,114,193,114,193,307
CAJUATA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,112,199,112,199,311
CALACOTO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,45,68,45,68,113
CALAMARCA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,63,123,63,123,186
CAMARGO,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,563,989,563,989,1552
CAMATAQUI (C. VILLA ABECIA),consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,45,115,45,115,160
CAMIRI,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,760,1050,760,1050,1810
CAPINOTA,consulta externa,nuevas en personas de 15 a 59 anos,2006-01-01,208,353,208,353,561
