,group,variable,month,ANTIPOLIOMIELÍTICA 5TA. DOSIS DENTRO,ANTIPOLIOMIELÍTICA 5TA. DOSIS DENTRO,ANTIPOLIOMIELÍTICA 5TA. DOSIS FUERA,ANTIPOLIOMIELÍTICA 5TA. DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,2,1,1,2,6
ACHACACHI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,7,11,5,10,33
ACHOCALLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,12,14,3,4,33
AIQUILE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,3,10,3,5,21
ALCALA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,1,1,1,2,5
ALTO BENI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,4,7,0,2,13
ANCORAIMES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,3,1,1,5
ANDAMARCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,1,0,1,2
ANTEQUERA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,1,3,0,0,4
ANZALDO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,0,0,4,4
APOLO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,5,8,4,5,22
ARAMPAMPA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,0,1,0,1
ARANI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,4,1,0,1,6
ARBIETO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,10,9,4,5,28
ARQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,4,7,1,0,12
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,14,7,0,0,21
ATOCHA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,5,6,0,3,14
AUCAPATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,1,2,0,0,3
AYATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,1,2,0,3
AYO AYO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,1,0,1,2
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,7,8,3,8,26
AZURDUY,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,2,5,7,4,18
BATALLAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,1,4,0,1,6
BAURES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,0,2,1,3
BELEN DE URMIRI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,0,1,1,2
BELLA FLOR,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,0,1,0,1
BERMEJO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,20,12,1,0,33
BETANZOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,5,12,4,5,26
BOLIVAR,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,1,2,0,0,3
BOLPEBRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,0,0,0,1,1
BOYUIBE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,5,3,1,0,9
BUENA VISTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,6,4,0,0,10
CABEZAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,7,13,3,3,26
CAIROMA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,3,4,0,0,7
"CAIZA ""D""",vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2023-01-01,2,6,1,2,11
