,group,variable,month,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS FUERA,SRP 1RA. DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,0,0,2,0,2
ACHOCALLA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,0,0,0,1,1
ARANI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,0,1,0,0,1
BUENA VISTA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,0,1,0,0,1
CAJUATA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,1,0,0,0,1
CAPINOTA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,0,1,0,0,1
CARACOLLO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,0,1,0,0,1
CATACORA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,0,0,1,0,1
CHIMORE,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,3,0,0,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,1,0,1,0,2
COBIJA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,2,0,0,0,2
COCHABAMBA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,11,13,1,0,25
COLQUECHACA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,0,1,0,0,1
CONCEPCION,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,3,1,0,0,4
CORIPATA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,0,0,2,1,3
COROICO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,0,1,0,0,1
COTOCA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,1,2,1,1,5
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,0,0,1,1,2
EL ALTO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,17,15,2,6,40
EL PUENTE(TJA),vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,1,0,0,0,1
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,0,1,0,0,1
GUAYARAMERIN,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,1,1,0,0,2
IXIAMAS,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,4,5,0,0,9
LA ASUNTA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,1,0,0,0,1
LA GUARDIA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,2,2,0,0,4
LA PAZ,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,8,10,0,1,19
MAPIRI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,2,1,0,0,3
MONTERO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,2,0,0,0,2
ORURO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,6,6,0,0,12
PAILON,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,0,0,2,1,3
PORTACHUELO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,1,0,0,0,1
POTOSI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,2,4,0,0,6
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,0,1,0,0,1
PUNATA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,0,1,0,0,1
QUILLACOLLO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,1,0,2,3,6
RIBERALTA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,0,1,0,0,1
RURRENABAQUE,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,0,0,1,0,1
SACABA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,1,2,1,1,5
SACABAMBA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,0,0,0,1,1
SAN ANDRES,vacunacion en ninos de 4 anos,srp 1ra. dosis,2023-01-01,1,0,0,0,1
