,group,variable,month,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS FUERA,SRP 2DA. DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,1,1,0,0,2
ACHOCALLA,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,2,1,0,0,3
ANCORAIMES,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,0,1,1,0,2
ANZALDO,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,0,0,0,1,1
ARBIETO,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,0,1,0,0,1
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,1,0,0,0,1
AYATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,0,1,2,0,3
BATALLAS,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,0,1,0,0,1
BERMEJO,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,0,1,0,0,1
BETANZOS,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,2,3,2,1,8
BUENA VISTA,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,4,1,0,0,5
CABEZAS,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,1,0,0,0,1
CAIROMA,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,0,1,0,0,1
"CAIZA ""D""",vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,1,0,0,1,2
CAJUATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,1,0,0,0,1
CALAMARCA,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,2,0,0,0,2
CAMIRI,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,0,2,0,0,2
CARACOLLO,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,1,1,0,0,2
CARANAVI,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,3,2,1,2,8
CARMEN RIVERO TORREZ,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,1,0,0,0,1
CHALLAPATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,1,0,1,1,3
CHARAGUA,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,0,0,0,1,1
CHIMORE,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,1,4,2,1,8
CHULUMANI (V. DE LA LIBERTAD),vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,2,0,1,2,5
CLIZA,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,1,0,0,0,1
COBIJA,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,1,2,1,2,6
COCAPATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,0,1,0,0,1
COCHABAMBA,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,102,95,3,3,203
COLCAPIRHUA,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,9,6,2,2,19
COLQUENCHA,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,0,1,0,0,1
COLQUIRI,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,0,0,2,0,2
COMARAPA,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,1,1,0,0,2
CONCEPCION,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,1,1,0,1,3
COPACABANA,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,0,1,0,4,5
CORIPATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,3,3,0,0,6
COROICO,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,0,1,2,1,4
COTAGAITA,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,0,3,0,0,3
COTOCA,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,10,3,0,1,14
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,0,1,2,0,3
CUEVO,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,0,0,0,1,1
DESAGUADERO,vacunacion en ninos de 4 anos,srp 2da. dosis,2023-01-01,2,0,0,0,2
