,group,variable,month,ANTIAMARILICA DOSIS UNICA DENTRO,ANTIAMARILICA DOSIS UNICA DENTRO,ANTIAMARILICA DOSIS UNICA FUERA,ANTIAMARILICA DOSIS UNICA FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,0,1,2,0,3
ACHOCALLA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,0,0,0,1,1
ARANI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,0,1,0,0,1
CAJUATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,1,0,0,0,1
CAPINOTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,0,1,0,0,1
CARACOLLO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,0,1,0,0,1
CHARAGUA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,0,1,0,0,1
CHIMORE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,3,0,0,0,3
COBIJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,2,0,0,0,2
COCHABAMBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,10,11,1,1,23
COLOMI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,0,1,0,0,1
COLQUECHACA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,0,1,0,0,1
CONCEPCION,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,3,1,0,0,4
CORIPATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,0,0,2,1,3
COTOCA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,1,1,1,1,4
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,0,0,1,1,2
CUEVO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,0,0,0,1,1
EL ALTO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,10,16,1,4,31
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,0,1,0,0,1
GUAYARAMERIN,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,1,0,2,2,5
LA ASUNTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,1,0,0,0,1
LA GUARDIA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,2,2,0,0,4
LA PAZ,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,7,10,0,0,17
MAIRANA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,0,1,0,0,1
MAPIRI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,3,1,0,0,4
MONTERO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,1,0,0,0,1
ORURO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,8,10,0,0,18
PAILON,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,0,0,2,0,2
PORTACHUELO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,2,0,0,0,2
POTOSI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,0,1,0,0,1
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,0,0,0,1,1
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,0,1,0,0,1
PUNATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,0,1,0,0,1
QUILLACOLLO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,1,0,2,3,6
RIBERALTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,0,1,0,0,1
RURRENABAQUE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,1,1,0,0,2
SACABA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,1,2,1,1,5
SACACA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,0,1,0,0,1
SAN ANDRES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2023-01-01,1,0,0,0,1
