municipality,group,variable,month,Sueros,TOTAL
ACACIO,otras actividades de enfermeria,sueros,2018-01-01,21,21
ACHACACHI,otras actividades de enfermeria,sueros,2018-01-01,70,70
ACHOCALLA,otras actividades de enfermeria,sueros,2018-01-01,10,10
AIQUILE,otras actividades de enfermeria,sueros,2018-01-01,166,166
ALALAY,otras actividades de enfermeria,sueros,2018-01-01,5,5
ALCALA,otras actividades de enfermeria,sueros,2018-01-01,15,15
ALTO BENI,otras actividades de enfermeria,sueros,2018-01-01,10,10
ANCORAIMES,otras actividades de enfermeria,sueros,2018-01-01,8,8
ANDAMARCA,otras actividades de enfermeria,sueros,2018-01-01,13,13
ANTEQUERA,otras actividades de enfermeria,sueros,2018-01-01,3,3
ANZALDO,otras actividades de enfermeria,sueros,2018-01-01,59,59
APOLO,otras actividades de enfermeria,sueros,2018-01-01,23,23
ARAMPAMPA,otras actividades de enfermeria,sueros,2018-01-01,7,7
ARANI,otras actividades de enfermeria,sueros,2018-01-01,6,6
ARBIETO,otras actividades de enfermeria,sueros,2018-01-01,9,9
ARQUE,otras actividades de enfermeria,sueros,2018-01-01,16,16
ASCENCION DE GUARAYOS,otras actividades de enfermeria,sueros,2018-01-01,759,759
ATOCHA,otras actividades de enfermeria,sueros,2018-01-01,233,233
AUCAPATA,otras actividades de enfermeria,sueros,2018-01-01,4,4
AYATA,otras actividades de enfermeria,sueros,2018-01-01,8,8
AYO AYO,otras actividades de enfermeria,sueros,2018-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,sueros,2018-01-01,29,29
AZURDUY,otras actividades de enfermeria,sueros,2018-01-01,36,36
BATALLAS,otras actividades de enfermeria,sueros,2018-01-01,12,12
BAURES,otras actividades de enfermeria,sueros,2018-01-01,135,135
BELEN DE ANDAMARCA,otras actividades de enfermeria,sueros,2018-01-01,1,1
BELLA FLOR,otras actividades de enfermeria,sueros,2018-01-01,12,12
BERMEJO,otras actividades de enfermeria,sueros,2018-01-01,1102,1102
BETANZOS,otras actividades de enfermeria,sueros,2018-01-01,87,87
BOLIVAR,otras actividades de enfermeria,sueros,2018-01-01,6,6
BOLPEBRA,otras actividades de enfermeria,sueros,2018-01-01,14,14
BOYUIBE,otras actividades de enfermeria,sueros,2018-01-01,57,57
BUENA VISTA,otras actividades de enfermeria,sueros,2018-01-01,34,34
CABEZAS,otras actividades de enfermeria,sueros,2018-01-01,214,214
CAIROMA,otras actividades de enfermeria,sueros,2018-01-01,14,14
"CAIZA ""D""",otras actividades de enfermeria,sueros,2018-01-01,18,18
CAJUATA,otras actividades de enfermeria,sueros,2018-01-01,19,19
CALACOTO,otras actividades de enfermeria,sueros,2018-01-01,4,4
CALAMARCA,otras actividades de enfermeria,sueros,2018-01-01,2,2
CAMARGO,otras actividades de enfermeria,sueros,2018-01-01,314,314
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,sueros,2018-01-01,31,31
CAMIRI,otras actividades de enfermeria,sueros,2018-01-01,719,719
CAPINOTA,otras actividades de enfermeria,sueros,2018-01-01,116,116
CAQUIAVIRI,otras actividades de enfermeria,sueros,2018-01-01,5,5
CARACOLLO,otras actividades de enfermeria,sueros,2018-01-01,41,41
CARANAVI,otras actividades de enfermeria,sueros,2018-01-01,681,681
CARAPARI,otras actividades de enfermeria,sueros,2018-01-01,95,95
CARIPUYO,otras actividades de enfermeria,sueros,2018-01-01,12,12
CARMEN RIVERO TORREZ,otras actividades de enfermeria,sueros,2018-01-01,33,33
CHACARILLA,otras actividades de enfermeria,sueros,2018-01-01,2,2
CHALLAPATA,otras actividades de enfermeria,sueros,2018-01-01,153,153
CHAQUI,otras actividades de enfermeria,sueros,2018-01-01,16,16
CHARAGUA,otras actividades de enfermeria,sueros,2018-01-01,274,274
CHAYANTA,otras actividades de enfermeria,sueros,2018-01-01,37,37
CHIMORE,otras actividades de enfermeria,sueros,2018-01-01,81,81
CHIPAYA,otras actividades de enfermeria,sueros,2018-01-01,2,2
CHUA COCANI,otras actividades de enfermeria,sueros,2018-01-01,8,8
CHULUMANI (V. DE LA LIBERTAD),otras actividades de enfermeria,sueros,2018-01-01,117,117
CHUMA,otras actividades de enfermeria,sueros,2018-01-01,9,9
CHUQUIHUTA AYLLU JUCUMANI,otras actividades de enfermeria,sueros,2018-01-01,21,21
CKOCHAS,otras actividades de enfermeria,sueros,2018-01-01,13,13
CLIZA,otras actividades de enfermeria,sueros,2018-01-01,20,20
COBIJA,otras actividades de enfermeria,sueros,2018-01-01,1076,1076
COCAPATA,otras actividades de enfermeria,sueros,2018-01-01,16,16
COCHABAMBA,otras actividades de enfermeria,sueros,2018-01-01,22909,22909
COLCAPIRHUA,otras actividades de enfermeria,sueros,2018-01-01,566,566
"COLCHA ""K""",otras actividades de enfermeria,sueros,2018-01-01,27,27
COLLANA,otras actividades de enfermeria,sueros,2018-01-01,4,4
COLOMI,otras actividades de enfermeria,sueros,2018-01-01,48,48
COLPA BELGICA,otras actividades de enfermeria,sueros,2018-01-01,30,30
COLQUECHACA,otras actividades de enfermeria,sueros,2018-01-01,36,36
COLQUENCHA,otras actividades de enfermeria,sueros,2018-01-01,3,3
COLQUIRI,otras actividades de enfermeria,sueros,2018-01-01,15,15
COMANCHE,otras actividades de enfermeria,sueros,2018-01-01,1,1
COMARAPA,otras actividades de enfermeria,sueros,2018-01-01,79,79
COMBAYA,otras actividades de enfermeria,sueros,2018-01-01,1,1
CONCEPCION,otras actividades de enfermeria,sueros,2018-01-01,111,111
COPACABANA,otras actividades de enfermeria,sueros,2018-01-01,21,21
CORIPATA,otras actividades de enfermeria,sueros,2018-01-01,18,18
CORO CORO,otras actividades de enfermeria,sueros,2018-01-01,27,27
COROICO,otras actividades de enfermeria,sueros,2018-01-01,355,355
CORQUE,otras actividades de enfermeria,sueros,2018-01-01,7,7
COTAGAITA,otras actividades de enfermeria,sueros,2018-01-01,177,177
COTOCA,otras actividades de enfermeria,sueros,2018-01-01,391,391
CRUZ DE MACHACAMARCA,otras actividades de enfermeria,sueros,2018-01-01,1,1
CUATRO CAÑADAS,otras actividades de enfermeria,sueros,2018-01-01,52,52
CUCHUMUELA (V. G. VILLARROEL),otras actividades de enfermeria,sueros,2018-01-01,1,1
CULPINA,otras actividades de enfermeria,sueros,2018-01-01,174,174
CURAHUARA DE CARANGAS,otras actividades de enfermeria,sueros,2018-01-01,7,7
DESAGUADERO,otras actividades de enfermeria,sueros,2018-01-01,2,2
EL ALTO,otras actividades de enfermeria,sueros,2018-01-01,40138,40138
EL CHORO,otras actividades de enfermeria,sueros,2018-01-01,2,2
EL PUENTE(STC),otras actividades de enfermeria,sueros,2018-01-01,36,36
EL PUENTE(TJA),otras actividades de enfermeria,sueros,2018-01-01,27,27
EL TORNO,otras actividades de enfermeria,sueros,2018-01-01,1059,1059
EL VILLAR,otras actividades de enfermeria,sueros,2018-01-01,38,38
ENTRE RIOS TRJ,otras actividades de enfermeria,sueros,2018-01-01,109,109
ENTRE RIOS CBBA,otras actividades de enfermeria,sueros,2018-01-01,113,113
ESCOMA,otras actividades de enfermeria,sueros,2018-01-01,4,4
EUCALIPTUS,otras actividades de enfermeria,sueros,2018-01-01,7,7
EUREKA (SANTOS MERCADO),otras actividades de enfermeria,sueros,2018-01-01,6,6
EXALTACION,otras actividades de enfermeria,sueros,2018-01-01,2,2
FERNANDEZ ALONSO,otras actividades de enfermeria,sueros,2018-01-01,284,284
FILADELFIA,otras actividades de enfermeria,sueros,2018-01-01,39,39
GENERAL SAAVEDRA,otras actividades de enfermeria,sueros,2018-01-01,54,54
GRAL. J.J. PEREZ (CHARAZANI),otras actividades de enfermeria,sueros,2018-01-01,7,7
GUANAY,otras actividades de enfermeria,sueros,2018-01-01,15,15
GUAQUI,otras actividades de enfermeria,sueros,2018-01-01,6,6
GUAYARAMERIN,otras actividades de enfermeria,sueros,2018-01-01,2981,2981
GUTIERREZ,otras actividades de enfermeria,sueros,2018-01-01,78,78
HUACARETA,otras actividades de enfermeria,sueros,2018-01-01,62,62
HUACAYA (VILLA DE HUACAYA),otras actividades de enfermeria,sueros,2018-01-01,21,21
HUACHACALLA,otras actividades de enfermeria,sueros,2018-01-01,4,4
HUANUNI,otras actividades de enfermeria,sueros,2018-01-01,2061,2061
HUARACAJE,otras actividades de enfermeria,sueros,2018-01-01,26,26
HUARINA,otras actividades de enfermeria,sueros,2018-01-01,20,20
HUATAJATA,otras actividades de enfermeria,sueros,2018-01-01,2,2
HUAYLLAMARCA,otras actividades de enfermeria,sueros,2018-01-01,1,1
HUMANATA,otras actividades de enfermeria,sueros,2018-01-01,2,2
ICHOCA,otras actividades de enfermeria,sueros,2018-01-01,7,7
ICLA,otras actividades de enfermeria,sueros,2018-01-01,43,43
INCAHUASI,otras actividades de enfermeria,sueros,2018-01-01,72,72
INGAVI (HUMAITA),otras actividades de enfermeria,sueros,2018-01-01,3,3
INQUISIVI,otras actividades de enfermeria,sueros,2018-01-01,10,10
IRUPANA (VILLA DE LANZA),otras actividades de enfermeria,sueros,2018-01-01,24,24
IXIAMAS,otras actividades de enfermeria,sueros,2018-01-01,27,27
JESUS DE MACHACA,otras actividades de enfermeria,sueros,2018-01-01,5,5
LA ASUNTA,otras actividades de enfermeria,sueros,2018-01-01,96,96
LA GUARDIA,otras actividades de enfermeria,sueros,2018-01-01,523,523
LA PAZ,otras actividades de enfermeria,sueros,2018-01-01,54354,54354
LA RIVERA,otras actividades de enfermeria,sueros,2018-01-01,2,2
LAGUNILLAS,otras actividades de enfermeria,sueros,2018-01-01,50,50
LAJA,otras actividades de enfermeria,sueros,2018-01-01,11,11
LAS CARRERAS,otras actividades de enfermeria,sueros,2018-01-01,35,35
LICOMA PAMPA,otras actividades de enfermeria,sueros,2018-01-01,4,4
LLALLAGUA,otras actividades de enfermeria,sueros,2018-01-01,679,679
LLICA,otras actividades de enfermeria,sueros,2018-01-01,3,3
LORETO,otras actividades de enfermeria,sueros,2018-01-01,12,12
LURIBAY,otras actividades de enfermeria,sueros,2018-01-01,17,17
MACHACAMARCA,otras actividades de enfermeria,sueros,2018-01-01,22,22
MACHARETI,otras actividades de enfermeria,sueros,2018-01-01,28,28
MAGDALENA,otras actividades de enfermeria,sueros,2018-01-01,154,154
MAIRANA,otras actividades de enfermeria,sueros,2018-01-01,130,130
MALLA,otras actividades de enfermeria,sueros,2018-01-01,2,2
MAPIRI,otras actividades de enfermeria,sueros,2018-01-01,82,82
MECAPACA,otras actividades de enfermeria,sueros,2018-01-01,1,1
MINEROS,otras actividades de enfermeria,sueros,2018-01-01,41,41
MIZQUE,otras actividades de enfermeria,sueros,2018-01-01,121,121
MOCOMOCO,otras actividades de enfermeria,sueros,2018-01-01,3,3
MOJINETE,otras actividades de enfermeria,sueros,2018-01-01,4,4
MOJOCOYA,otras actividades de enfermeria,sueros,2018-01-01,29,29
MONTEAGUDO,otras actividades de enfermeria,sueros,2018-01-01,2307,2307
MONTERO,otras actividades de enfermeria,sueros,2018-01-01,5167,5167
MORO MORO,otras actividades de enfermeria,sueros,2018-01-01,2,2
MOROCHATA,otras actividades de enfermeria,sueros,2018-01-01,22,22
NACEBE (SANTA ROSA DEL ABUNA),otras actividades de enfermeria,sueros,2018-01-01,38,38
NUEVO MANOA (NUEVA ESPERANZA),otras actividades de enfermeria,sueros,2018-01-01,3,3
OCURI,otras actividades de enfermeria,sueros,2018-01-01,5,5
OKINAWA,otras actividades de enfermeria,sueros,2018-01-01,43,43
OMEREQUE,otras actividades de enfermeria,sueros,2018-01-01,74,74
ORURO,otras actividades de enfermeria,sueros,2018-01-01,15532,15532
PADCAYA,otras actividades de enfermeria,sueros,2018-01-01,78,78
PADILLA,otras actividades de enfermeria,sueros,2018-01-01,477,477
PAILON,otras actividades de enfermeria,sueros,2018-01-01,289,289
PALCA,otras actividades de enfermeria,sueros,2018-01-01,13,13
PALOS BLANCOS,otras actividades de enfermeria,sueros,2018-01-01,46,46
PAMPA AULLAGAS,otras actividades de enfermeria,sueros,2018-01-01,9,9
PAMPA GRANDE,otras actividades de enfermeria,sueros,2018-01-01,42,42
PAPEL PAMPA,otras actividades de enfermeria,sueros,2018-01-01,1,1
PASORAPA,otras actividades de enfermeria,sueros,2018-01-01,15,15
PATACAMAYA,otras actividades de enfermeria,sueros,2018-01-01,4,4
PAZÑA,otras actividades de enfermeria,sueros,2018-01-01,10,10
PELECHUCO,otras actividades de enfermeria,sueros,2018-01-01,7,7
POCOATA,otras actividades de enfermeria,sueros,2018-01-01,10,10
POCONA,otras actividades de enfermeria,sueros,2018-01-01,10,10
POJO (CBBA),otras actividades de enfermeria,sueros,2018-01-01,17,17
POOPO,otras actividades de enfermeria,sueros,2018-01-01,11,11
PORCO,otras actividades de enfermeria,sueros,2018-01-01,44,44
POROMA,otras actividades de enfermeria,sueros,2018-01-01,40,40
PORONGO,otras actividades de enfermeria,sueros,2018-01-01,24,24
PORTACHUELO,otras actividades de enfermeria,sueros,2018-01-01,447,447
PORVENIR,otras actividades de enfermeria,sueros,2018-01-01,44,44
POSTRER VALLE,otras actividades de enfermeria,sueros,2018-01-01,8,8
POTOSI,otras actividades de enfermeria,sueros,2018-01-01,10226,10226
PRESTO,otras actividades de enfermeria,sueros,2018-01-01,27,27
PUCARA,otras actividades de enfermeria,sueros,2018-01-01,12,12
PUCARANI,otras actividades de enfermeria,sueros,2018-01-01,9,9
PUERTO ACOSTA,otras actividades de enfermeria,sueros,2018-01-01,1,1
PUERTO CARABUCO,otras actividades de enfermeria,sueros,2018-01-01,5,5
PUERTO GONZALO MORENO,otras actividades de enfermeria,sueros,2018-01-01,47,47
PUERTO PEREZ,otras actividades de enfermeria,sueros,2018-01-01,1,1
PUERTO QUIJARRO,otras actividades de enfermeria,sueros,2018-01-01,154,154
PUERTO RICO,otras actividades de enfermeria,sueros,2018-01-01,20,20
PUERTO SILES,otras actividades de enfermeria,sueros,2018-01-01,2,2
PUERTO SUAREZ,otras actividades de enfermeria,sueros,2018-01-01,692,692
PUERTO VILLARROEL,otras actividades de enfermeria,sueros,2018-01-01,1934,1934
PUNA,otras actividades de enfermeria,sueros,2018-01-01,14,14
PUNATA,otras actividades de enfermeria,sueros,2018-01-01,760,760
QUIABAYA,otras actividades de enfermeria,sueros,2018-01-01,11,11
QUILLACOLLO,otras actividades de enfermeria,sueros,2018-01-01,1264,1264
QUIME,otras actividades de enfermeria,sueros,2018-01-01,8,8
QUIRUSILLAS,otras actividades de enfermeria,sueros,2018-01-01,11,11
RAQAYPAMPA(ETA),otras actividades de enfermeria,sueros,2018-01-01,4,4
RAVELO,otras actividades de enfermeria,sueros,2018-01-01,35,35
REYES,otras actividades de enfermeria,sueros,2018-01-01,52,52
RIBERALTA,otras actividades de enfermeria,sueros,2018-01-01,2459,2459
ROBORE,otras actividades de enfermeria,sueros,2018-01-01,453,453
RURRENABAQUE,otras actividades de enfermeria,sueros,2018-01-01,230,230
SABAYA,otras actividades de enfermeria,sueros,2018-01-01,25,25
SACABA,otras actividades de enfermeria,sueros,2018-01-01,3200,3200
SACABAMBA,otras actividades de enfermeria,sueros,2018-01-01,14,14
SACACA,otras actividades de enfermeria,sueros,2018-01-01,17,17
SAIPINA,otras actividades de enfermeria,sueros,2018-01-01,33,33
SALINAS DE GARCI MENDOZA,otras actividades de enfermeria,sueros,2018-01-01,23,23
SAMAIPATA,otras actividades de enfermeria,sueros,2018-01-01,68,68
SAN AGUSTIN,otras actividades de enfermeria,sueros,2018-01-01,5,5
SAN ANDRES,otras actividades de enfermeria,sueros,2018-01-01,45,45
SAN ANDRES DE MACHACA,otras actividades de enfermeria,sueros,2018-01-01,3,3
SAN ANTONIO DE LOMERIO,otras actividades de enfermeria,sueros,2018-01-01,15,15
SAN BENITO,otras actividades de enfermeria,sueros,2018-01-01,1,1
SAN BORJA,otras actividades de enfermeria,sueros,2018-01-01,110,110
SAN BUENA VENTURA,otras actividades de enfermeria,sueros,2018-01-01,217,217
SAN CARLOS,otras actividades de enfermeria,sueros,2018-01-01,830,830
SAN IGNACIO,otras actividades de enfermeria,sueros,2018-01-01,231,231
SAN IGNACIO DE VELASCO,otras actividades de enfermeria,sueros,2018-01-01,1404,1404
SAN JAVIER(BNI),otras actividades de enfermeria,sueros,2018-01-01,14,14
SAN JAVIER(STC),otras actividades de enfermeria,sueros,2018-01-01,1,1
SAN JOAQUIN,otras actividades de enfermeria,sueros,2018-01-01,71,71
SAN JOSE DE CHIQUITOS,otras actividades de enfermeria,sueros,2018-01-01,570,570
SAN JUAN DE YAPACANI,otras actividades de enfermeria,sueros,2018-01-01,101,101
SAN JULIAN,otras actividades de enfermeria,sueros,2018-01-01,296,296
SAN LORENZO(PND),otras actividades de enfermeria,sueros,2018-01-01,17,17
SAN LORENZO(TJA),otras actividades de enfermeria,sueros,2018-01-01,53,53
SAN LUCAS,otras actividades de enfermeria,sueros,2018-01-01,185,185
SAN MATIAS,otras actividades de enfermeria,sueros,2018-01-01,198,198
SAN MIGUEL DE VELASCO,otras actividades de enfermeria,sueros,2018-01-01,59,59
SAN PABLO DE LIPEZ,otras actividades de enfermeria,sueros,2018-01-01,7,7
SAN PEDRO,otras actividades de enfermeria,sueros,2018-01-01,73,73
