municipality,group,variable,month,Inyectables,TOTAL
ACACIO,otras actividades de enfermeria,inyectables,2018-01-01,231,231
ACHACACHI,otras actividades de enfermeria,inyectables,2018-01-01,645,645
ACHOCALLA,otras actividades de enfermeria,inyectables,2018-01-01,166,166
AIQUILE,otras actividades de enfermeria,inyectables,2018-01-01,1285,1285
ALALAY,otras actividades de enfermeria,inyectables,2018-01-01,108,108
ALCALA,otras actividades de enfermeria,inyectables,2018-01-01,334,334
ALTO BENI,otras actividades de enfermeria,inyectables,2018-01-01,610,610
ANCORAIMES,otras actividades de enfermeria,inyectables,2018-01-01,241,241
ANDAMARCA,otras actividades de enfermeria,inyectables,2018-01-01,290,290
ANTEQUERA,otras actividades de enfermeria,inyectables,2018-01-01,62,62
ANZALDO,otras actividades de enfermeria,inyectables,2018-01-01,226,226
APOLO,otras actividades de enfermeria,inyectables,2018-01-01,394,394
ARAMPAMPA,otras actividades de enfermeria,inyectables,2018-01-01,146,146
ARANI,otras actividades de enfermeria,inyectables,2018-01-01,221,221
ARBIETO,otras actividades de enfermeria,inyectables,2018-01-01,427,427
ARQUE,otras actividades de enfermeria,inyectables,2018-01-01,244,244
ASCENCION DE GUARAYOS,otras actividades de enfermeria,inyectables,2018-01-01,5459,5459
ATOCHA,otras actividades de enfermeria,inyectables,2018-01-01,3428,3428
AUCAPATA,otras actividades de enfermeria,inyectables,2018-01-01,188,188
AYATA,otras actividades de enfermeria,inyectables,2018-01-01,223,223
AYO AYO,otras actividades de enfermeria,inyectables,2018-01-01,63,63
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,inyectables,2018-01-01,947,947
AZURDUY,otras actividades de enfermeria,inyectables,2018-01-01,545,545
BATALLAS,otras actividades de enfermeria,inyectables,2018-01-01,255,255
BAURES,otras actividades de enfermeria,inyectables,2018-01-01,943,943
BELEN DE ANDAMARCA,otras actividades de enfermeria,inyectables,2018-01-01,57,57
BELEN DE URMIRI,otras actividades de enfermeria,inyectables,2018-01-01,29,29
BELLA FLOR,otras actividades de enfermeria,inyectables,2018-01-01,169,169
BERMEJO,otras actividades de enfermeria,inyectables,2018-01-01,8020,8020
BETANZOS,otras actividades de enfermeria,inyectables,2018-01-01,1432,1432
BOLIVAR,otras actividades de enfermeria,inyectables,2018-01-01,182,182
BOLPEBRA,otras actividades de enfermeria,inyectables,2018-01-01,27,27
BOYUIBE,otras actividades de enfermeria,inyectables,2018-01-01,736,736
