municipality,group,variable,month,Otras actividades,TOTAL
ACACIO,otras actividades de enfermeria,otras actividades,2018-01-01,2,2
ACHACACHI,otras actividades de enfermeria,otras actividades,2018-01-01,56,56
ACHOCALLA,otras actividades de enfermeria,otras actividades,2018-01-01,13,13
AIQUILE,otras actividades de enfermeria,otras actividades,2018-01-01,72,72
ALALAY,otras actividades de enfermeria,otras actividades,2018-01-01,4,4
ALCALA,otras actividades de enfermeria,otras actividades,2018-01-01,23,23
ALTO BENI,otras actividades de enfermeria,otras actividades,2018-01-01,5,5
ANCORAIMES,otras actividades de enfermeria,otras actividades,2018-01-01,17,17
ANDAMARCA,otras actividades de enfermeria,otras actividades,2018-01-01,8,8
ANZALDO,otras actividades de enfermeria,otras actividades,2018-01-01,18,18
APOLO,otras actividades de enfermeria,otras actividades,2018-01-01,223,223
ARAMPAMPA,otras actividades de enfermeria,otras actividades,2018-01-01,2,2
ARANI,otras actividades de enfermeria,otras actividades,2018-01-01,5,5
ARBIETO,otras actividades de enfermeria,otras actividades,2018-01-01,7,7
ARQUE,otras actividades de enfermeria,otras actividades,2018-01-01,4,4
ASCENCION DE GUARAYOS,otras actividades de enfermeria,otras actividades,2018-01-01,542,542
ATOCHA,otras actividades de enfermeria,otras actividades,2018-01-01,1679,1679
AUCAPATA,otras actividades de enfermeria,otras actividades,2018-01-01,3,3
AYATA,otras actividades de enfermeria,otras actividades,2018-01-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,otras actividades,2018-01-01,30,30
AZURDUY,otras actividades de enfermeria,otras actividades,2018-01-01,3,3
BATALLAS,otras actividades de enfermeria,otras actividades,2018-01-01,13,13
BAURES,otras actividades de enfermeria,otras actividades,2018-01-01,115,115
BELEN DE ANDAMARCA,otras actividades de enfermeria,otras actividades,2018-01-01,2,2
BELLA FLOR,otras actividades de enfermeria,otras actividades,2018-01-01,36,36
BERMEJO,otras actividades de enfermeria,otras actividades,2018-01-01,4666,4666
BETANZOS,otras actividades de enfermeria,otras actividades,2018-01-01,70,70
BOLPEBRA,otras actividades de enfermeria,otras actividades,2018-01-01,9,9
BOYUIBE,otras actividades de enfermeria,otras actividades,2018-01-01,24,24
BUENA VISTA,otras actividades de enfermeria,otras actividades,2018-01-01,70,70
CABEZAS,otras actividades de enfermeria,otras actividades,2018-01-01,326,326
