municipality,group,variable,month,Consultas repetidas en menores de 5 años,TOTAL
ACACIO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,2,2
ACHACACHI,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,1,1
ACHOCALLA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,5,5
AIQUILE,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,22,22
ALCALA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,3,3
ANTEQUERA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,8,8
APOLO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,128,128
ARANI,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,24,24
ARBIETO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,1,1
ASCENCION DE GUARAYOS,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,11,11
ATOCHA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,32,32
AYATA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,16,16
AYO AYO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,7,7
AZURDUY,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,3,3
BATALLAS,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,5,5
BAURES,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,7,7
BERMEJO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,22,22
BETANZOS,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,35,35
CABEZAS,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,23,23
CAMARGO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,82,82
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,14,14
CAMIRI,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,147,147
CAPINOTA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,14,14
CARACOLLO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,40,40
CARANAVI,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,101,101
CARAPARI,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,3,3
CHALLAPATA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,76,76
CHARAÑA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,1,1
CHAYANTA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,46,46
CHIMORE,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,4,4
CHUMA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,12,12
CLIZA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,31,31
COBIJA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,31,31
COCHABAMBA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,1197,1197
COLCAPIRHUA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,13,13
COLLANA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,1,1
COLOMI,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,13,13
COLQUECHACA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,2,2
COLQUENCHA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,2,2
COLQUIRI,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,3,3
COMARAPA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,5,5
CONCEPCION,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,9,9
COPACABANA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,1,1
CORO CORO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,1,1
COROICO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,8,8
COTAGAITA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,20,20
COTOCA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,27,27
CUATRO CAÑADAS,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,35,35
CUEVO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,12,12
CULPINA,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,5,5
CURAHUARA DE CARANGAS,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,10,10
EL ALTO,consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,549,549
EL PUENTE(STC),consultas odontologicas,consultas repetidas en menores de 5 anos,2007-01-01,71,71
