municipality,group,variable,month,Pulpotomías,TOTAL
ACACIO,consultas odontologicas,pulpotomias,2007-01-01,10,10
ACHACACHI,consultas odontologicas,pulpotomias,2007-01-01,212,212
ACHOCALLA,consultas odontologicas,pulpotomias,2007-01-01,28,28
AIQUILE,consultas odontologicas,pulpotomias,2007-01-01,46,46
ALALAY,consultas odontologicas,pulpotomias,2007-01-01,3,3
ALCALA,consultas odontologicas,pulpotomias,2007-01-01,40,40
ANCORAIMES,consultas odontologicas,pulpotomias,2007-01-01,70,70
ANDAMARCA,consultas odontologicas,pulpotomias,2007-01-01,14,14
ANTEQUERA,consultas odontologicas,pulpotomias,2007-01-01,11,11
ANZALDO,consultas odontologicas,pulpotomias,2007-01-01,17,17
ARANI,consultas odontologicas,pulpotomias,2007-01-01,36,36
ARBIETO,consultas odontologicas,pulpotomias,2007-01-01,1,1
ARQUE,consultas odontologicas,pulpotomias,2007-01-01,66,66
ASCENCION DE GUARAYOS,consultas odontologicas,pulpotomias,2007-01-01,105,105
ATOCHA,consultas odontologicas,pulpotomias,2007-01-01,182,182
AUCAPATA,consultas odontologicas,pulpotomias,2007-01-01,6,6
AYATA,consultas odontologicas,pulpotomias,2007-01-01,77,77
AYO AYO,consultas odontologicas,pulpotomias,2007-01-01,35,35
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,pulpotomias,2007-01-01,62,62
AZURDUY,consultas odontologicas,pulpotomias,2007-01-01,30,30
BATALLAS,consultas odontologicas,pulpotomias,2007-01-01,83,83
BAURES,consultas odontologicas,pulpotomias,2007-01-01,49,49
BERMEJO,consultas odontologicas,pulpotomias,2007-01-01,159,159
BETANZOS,consultas odontologicas,pulpotomias,2007-01-01,14,14
BOYUIBE,consultas odontologicas,pulpotomias,2007-01-01,25,25
BUENA VISTA,consultas odontologicas,pulpotomias,2007-01-01,59,59
CABEZAS,consultas odontologicas,pulpotomias,2007-01-01,76,76
CAIROMA,consultas odontologicas,pulpotomias,2007-01-01,50,50
"CAIZA ""D""",consultas odontologicas,pulpotomias,2007-01-01,20,20
CAJUATA,consultas odontologicas,pulpotomias,2007-01-01,16,16
CALACOTO,consultas odontologicas,pulpotomias,2007-01-01,7,7
CALAMARCA,consultas odontologicas,pulpotomias,2007-01-01,56,56
CAMARGO,consultas odontologicas,pulpotomias,2007-01-01,75,75
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,pulpotomias,2007-01-01,16,16
CAMIRI,consultas odontologicas,pulpotomias,2007-01-01,166,166
CAPINOTA,consultas odontologicas,pulpotomias,2007-01-01,35,35
CAQUIAVIRI,consultas odontologicas,pulpotomias,2007-01-01,49,49
CARACOLLO,consultas odontologicas,pulpotomias,2007-01-01,186,186
CARANAVI,consultas odontologicas,pulpotomias,2007-01-01,77,77
CARAPARI,consultas odontologicas,pulpotomias,2007-01-01,64,64
CARIPUYO,consultas odontologicas,pulpotomias,2007-01-01,39,39
CATACORA,consultas odontologicas,pulpotomias,2007-01-01,8,8
CHALLAPATA,consultas odontologicas,pulpotomias,2007-01-01,51,51
CHAQUI,consultas odontologicas,pulpotomias,2007-01-01,8,8
CHARAGUA,consultas odontologicas,pulpotomias,2007-01-01,75,75
CHARAÑA,consultas odontologicas,pulpotomias,2007-01-01,28,28
CHAYANTA,consultas odontologicas,pulpotomias,2007-01-01,49,49
CHIMORE,consultas odontologicas,pulpotomias,2007-01-01,28,28
CHOQUE COTA,consultas odontologicas,pulpotomias,2007-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),consultas odontologicas,pulpotomias,2007-01-01,71,71
CHUMA,consultas odontologicas,pulpotomias,2007-01-01,132,132
CLIZA,consultas odontologicas,pulpotomias,2007-01-01,39,39
COBIJA,consultas odontologicas,pulpotomias,2007-01-01,213,213
COCHABAMBA,consultas odontologicas,pulpotomias,2007-01-01,1379,1379
COLCAPIRHUA,consultas odontologicas,pulpotomias,2007-01-01,43,43
"COLCHA ""K""",consultas odontologicas,pulpotomias,2007-01-01,14,14
COLLANA,consultas odontologicas,pulpotomias,2007-01-01,37,37
COLOMI,consultas odontologicas,pulpotomias,2007-01-01,32,32
COLPA BELGICA,consultas odontologicas,pulpotomias,2007-01-01,29,29
COLQUECHACA,consultas odontologicas,pulpotomias,2007-01-01,72,72
COLQUENCHA,consultas odontologicas,pulpotomias,2007-01-01,92,92
COLQUIRI,consultas odontologicas,pulpotomias,2007-01-01,131,131
COMARAPA,consultas odontologicas,pulpotomias,2007-01-01,48,48
CONCEPCION,consultas odontologicas,pulpotomias,2007-01-01,27,27
COPACABANA,consultas odontologicas,pulpotomias,2007-01-01,97,97
CORIPATA,consultas odontologicas,pulpotomias,2007-01-01,47,47
CORO CORO,consultas odontologicas,pulpotomias,2007-01-01,54,54
COROICO,consultas odontologicas,pulpotomias,2007-01-01,152,152
CORQUE,consultas odontologicas,pulpotomias,2007-01-01,50,50
COTAGAITA,consultas odontologicas,pulpotomias,2007-01-01,93,93
COTOCA,consultas odontologicas,pulpotomias,2007-01-01,41,41
CUATRO CAÑADAS,consultas odontologicas,pulpotomias,2007-01-01,72,72
CUCHUMUELA (V. G. VILLARROEL),consultas odontologicas,pulpotomias,2007-01-01,4,4
CUEVO,consultas odontologicas,pulpotomias,2007-01-01,25,25
CULPINA,consultas odontologicas,pulpotomias,2007-01-01,39,39
CURAHUARA DE CARANGAS,consultas odontologicas,pulpotomias,2007-01-01,55,55
CURVA,consultas odontologicas,pulpotomias,2007-01-01,2,2
DESAGUADERO,consultas odontologicas,pulpotomias,2007-01-01,86,86
EL ALTO,consultas odontologicas,pulpotomias,2007-01-01,4673,4673
EL PUENTE(STC),consultas odontologicas,pulpotomias,2007-01-01,38,38
EL PUENTE(TJA),consultas odontologicas,pulpotomias,2007-01-01,110,110
EL TORNO,consultas odontologicas,pulpotomias,2007-01-01,124,124
EL VILLAR,consultas odontologicas,pulpotomias,2007-01-01,9,9
ENTRE RIOS,consultas odontologicas,pulpotomias,2007-01-01,94,94
ENTRE RIOS,consultas odontologicas,pulpotomias,2007-01-01,33,33
EUCALIPTUS,consultas odontologicas,pulpotomias,2007-01-01,30,30
FERNANDEZ ALONSO,consultas odontologicas,pulpotomias,2007-01-01,32,32
GENERAL SAAVEDRA,consultas odontologicas,pulpotomias,2007-01-01,11,11
GRAL. J.J. PEREZ (CHARAZANI),consultas odontologicas,pulpotomias,2007-01-01,69,69
GUANAY,consultas odontologicas,pulpotomias,2007-01-01,63,63
GUAQUI,consultas odontologicas,pulpotomias,2007-01-01,89,89
GUAYARAMERIN,consultas odontologicas,pulpotomias,2007-01-01,203,203
GUTIERREZ,consultas odontologicas,pulpotomias,2007-01-01,90,90
HUACARETA,consultas odontologicas,pulpotomias,2007-01-01,51,51
HUACHACALLA,consultas odontologicas,pulpotomias,2007-01-01,17,17
HUANUNI,consultas odontologicas,pulpotomias,2007-01-01,96,96
HUARACAJE,consultas odontologicas,pulpotomias,2007-01-01,30,30
HUAYLLAMARCA,consultas odontologicas,pulpotomias,2007-01-01,15,15
ICHOCA,consultas odontologicas,pulpotomias,2007-01-01,46,46
ICLA,consultas odontologicas,pulpotomias,2007-01-01,42,42
INCAHUASI,consultas odontologicas,pulpotomias,2007-01-01,58,58
INQUISIVI,consultas odontologicas,pulpotomias,2007-01-01,69,69
IRUPANA (VILLA DE LANZA),consultas odontologicas,pulpotomias,2007-01-01,119,119
IXIAMAS,consultas odontologicas,pulpotomias,2007-01-01,109,109
JESUS DE MACHACA,consultas odontologicas,pulpotomias,2007-01-01,93,93
LA ASUNTA,consultas odontologicas,pulpotomias,2007-01-01,62,62
LA GUARDIA,consultas odontologicas,pulpotomias,2007-01-01,79,79
LA PAZ,consultas odontologicas,pulpotomias,2007-01-01,3632,3632
LAGUNILLAS,consultas odontologicas,pulpotomias,2007-01-01,23,23
LAJA,consultas odontologicas,pulpotomias,2007-01-01,106,106
LLALLAGUA,consultas odontologicas,pulpotomias,2007-01-01,138,138
LLICA,consultas odontologicas,pulpotomias,2007-01-01,19,19
LURIBAY,consultas odontologicas,pulpotomias,2007-01-01,34,34
MACHACAMARCA,consultas odontologicas,pulpotomias,2007-01-01,29,29
MACHARETI,consultas odontologicas,pulpotomias,2007-01-01,35,35
MAGDALENA,consultas odontologicas,pulpotomias,2007-01-01,40,40
MAIRANA,consultas odontologicas,pulpotomias,2007-01-01,26,26
MALLA,consultas odontologicas,pulpotomias,2007-01-01,27,27
MAPIRI,consultas odontologicas,pulpotomias,2007-01-01,73,73
MECAPACA,consultas odontologicas,pulpotomias,2007-01-01,57,57
MINEROS,consultas odontologicas,pulpotomias,2007-01-01,16,16
MIZQUE,consultas odontologicas,pulpotomias,2007-01-01,53,53
MOCOMOCO,consultas odontologicas,pulpotomias,2007-01-01,37,37
MOJOCOYA,consultas odontologicas,pulpotomias,2007-01-01,26,26
MONTEAGUDO,consultas odontologicas,pulpotomias,2007-01-01,34,34
MONTERO,consultas odontologicas,pulpotomias,2007-01-01,405,405
MORO MORO,consultas odontologicas,pulpotomias,2007-01-01,9,9
MOROCHATA,consultas odontologicas,pulpotomias,2007-01-01,30,30
NUEVO MANOA (NUEVA ESPERANZA),consultas odontologicas,pulpotomias,2007-01-01,5,5
OCURI,consultas odontologicas,pulpotomias,2007-01-01,26,26
OKINAWA,consultas odontologicas,pulpotomias,2007-01-01,34,34
OMEREQUE,consultas odontologicas,pulpotomias,2007-01-01,35,35
ORURO,consultas odontologicas,pulpotomias,2007-01-01,2013,2013
PADCAYA,consultas odontologicas,pulpotomias,2007-01-01,89,89
PADILLA,consultas odontologicas,pulpotomias,2007-01-01,37,37
PAILON,consultas odontologicas,pulpotomias,2007-01-01,39,39
PALCA,consultas odontologicas,pulpotomias,2007-01-01,113,113
PALOS BLANCOS,consultas odontologicas,pulpotomias,2007-01-01,128,128
