municipality,group,variable,month,Restauraciones,TOTAL
ACHACACHI,consultas odontologicas,restauraciones,2007-01-01,77,77
ACHOCALLA,consultas odontologicas,restauraciones,2007-01-01,5,5
AIQUILE,consultas odontologicas,restauraciones,2007-01-01,278,278
ALCALA,consultas odontologicas,restauraciones,2007-01-01,60,60
ANCORAIMES,consultas odontologicas,restauraciones,2007-01-01,4,4
ANDAMARCA,consultas odontologicas,restauraciones,2007-01-01,19,19
ANTEQUERA,consultas odontologicas,restauraciones,2007-01-01,16,16
ANZALDO,consultas odontologicas,restauraciones,2007-01-01,41,41
APOLO,consultas odontologicas,restauraciones,2007-01-01,77,77
ARBIETO,consultas odontologicas,restauraciones,2007-01-01,39,39
ARQUE,consultas odontologicas,restauraciones,2007-01-01,63,63
ASCENCION DE GUARAYOS,consultas odontologicas,restauraciones,2007-01-01,13,13
ATOCHA,consultas odontologicas,restauraciones,2007-01-01,284,284
AYATA,consultas odontologicas,restauraciones,2007-01-01,21,21
AYO AYO,consultas odontologicas,restauraciones,2007-01-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,restauraciones,2007-01-01,71,71
AZURDUY,consultas odontologicas,restauraciones,2007-01-01,71,71
BATALLAS,consultas odontologicas,restauraciones,2007-01-01,15,15
BAURES,consultas odontologicas,restauraciones,2007-01-01,62,62
BERMEJO,consultas odontologicas,restauraciones,2007-01-01,259,259
BETANZOS,consultas odontologicas,restauraciones,2007-01-01,47,47
BOYUIBE,consultas odontologicas,restauraciones,2007-01-01,108,108
BUENA VISTA,consultas odontologicas,restauraciones,2007-01-01,101,101
CABEZAS,consultas odontologicas,restauraciones,2007-01-01,69,69
CAIROMA,consultas odontologicas,restauraciones,2007-01-01,6,6
"CAIZA ""D""",consultas odontologicas,restauraciones,2007-01-01,17,17
CALACOTO,consultas odontologicas,restauraciones,2007-01-01,13,13
CALAMARCA,consultas odontologicas,restauraciones,2007-01-01,25,25
CAMARGO,consultas odontologicas,restauraciones,2007-01-01,162,162
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,restauraciones,2007-01-01,36,36
CAMIRI,consultas odontologicas,restauraciones,2007-01-01,285,285
CAPINOTA,consultas odontologicas,restauraciones,2007-01-01,55,55
CAQUIAVIRI,consultas odontologicas,restauraciones,2007-01-01,9,9
CARACOLLO,consultas odontologicas,restauraciones,2007-01-01,167,167
CARANAVI,consultas odontologicas,restauraciones,2007-01-01,101,101
CARAPARI,consultas odontologicas,restauraciones,2007-01-01,140,140
CARIPUYO,consultas odontologicas,restauraciones,2007-01-01,75,75
CHALLAPATA,consultas odontologicas,restauraciones,2007-01-01,67,67
CHAQUI,consultas odontologicas,restauraciones,2007-01-01,24,24
CHARAGUA,consultas odontologicas,restauraciones,2007-01-01,52,52
CHARAÑA,consultas odontologicas,restauraciones,2007-01-01,10,10
CHAYANTA,consultas odontologicas,restauraciones,2007-01-01,92,92
CHIMORE,consultas odontologicas,restauraciones,2007-01-01,68,68
CHOQUE COTA,consultas odontologicas,restauraciones,2007-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),consultas odontologicas,restauraciones,2007-01-01,68,68
CHUMA,consultas odontologicas,restauraciones,2007-01-01,41,41
CLIZA,consultas odontologicas,restauraciones,2007-01-01,233,233
COBIJA,consultas odontologicas,restauraciones,2007-01-01,277,277
COCHABAMBA,consultas odontologicas,restauraciones,2007-01-01,6865,6865
COLCAPIRHUA,consultas odontologicas,restauraciones,2007-01-01,92,92
"COLCHA ""K""",consultas odontologicas,restauraciones,2007-01-01,2,2
COLOMI,consultas odontologicas,restauraciones,2007-01-01,46,46
COLPA BELGICA,consultas odontologicas,restauraciones,2007-01-01,95,95
COLQUECHACA,consultas odontologicas,restauraciones,2007-01-01,18,18
COLQUENCHA,consultas odontologicas,restauraciones,2007-01-01,59,59
COLQUIRI,consultas odontologicas,restauraciones,2007-01-01,196,196
COMARAPA,consultas odontologicas,restauraciones,2007-01-01,545,545
