municipality,group,variable,month,Consultas repetidas en personas de 5 años y más,TOTAL
ACACIO,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,2,2
ACHACACHI,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,3,3
ACHOCALLA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,18,18
AIQUILE,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,74,74
ALCALA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,4,4
ANCORAIMES,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,3,3
ANDAMARCA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,4,4
ANTEQUERA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,38,38
ANZALDO,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,4,4
APOLO,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,27,27
ARANI,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,85,85
ARBIETO,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,3,3
ARQUE,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,26,26
ASCENCION DE GUARAYOS,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,16,16
ATOCHA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,442,442
AYO AYO,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,20,20
AZURDUY,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,55,55
BATALLAS,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,5,5
BAURES,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,120,120
BERMEJO,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,268,268
BETANZOS,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,19,19
BOYUIBE,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,17,17
BUENA VISTA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,28,28
CABEZAS,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,79,79
CAIROMA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,2,2
"CAIZA ""D""",consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,21,21
CAJUATA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,1,1
CAMARGO,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,255,255
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,90,90
CAMIRI,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,407,407
CAPINOTA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,30,30
CAQUIAVIRI,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,7,7
CARACOLLO,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,206,206
CARANAVI,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,52,52
CARAPARI,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,35,35
CARIPUYO,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,3,3
CHALLAPATA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,103,103
CHARAGUA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,13,13
CHAYANTA,consultas odontologicas,consultas repetidas en personas de 5 anos y mas,2007-01-01,49,49
