municipality,group,variable,month,Periodoncias,TOTAL
ACHACACHI,consultas odontologicas,periodoncias,2007-01-01,8,8
ACHOCALLA,consultas odontologicas,periodoncias,2007-01-01,1,1
AIQUILE,consultas odontologicas,periodoncias,2007-01-01,8,8
ALCALA,consultas odontologicas,periodoncias,2007-01-01,140,140
ANCORAIMES,consultas odontologicas,periodoncias,2007-01-01,33,33
ANDAMARCA,consultas odontologicas,periodoncias,2007-01-01,3,3
ARANI,consultas odontologicas,periodoncias,2007-01-01,11,11
ARBIETO,consultas odontologicas,periodoncias,2007-01-01,1,1
ARQUE,consultas odontologicas,periodoncias,2007-01-01,4,4
ATOCHA,consultas odontologicas,periodoncias,2007-01-01,12,12
BAURES,consultas odontologicas,periodoncias,2007-01-01,11,11
BERMEJO,consultas odontologicas,periodoncias,2007-01-01,60,60
BETANZOS,consultas odontologicas,periodoncias,2007-01-01,12,12
BOYUIBE,consultas odontologicas,periodoncias,2007-01-01,4,4
BUENA VISTA,consultas odontologicas,periodoncias,2007-01-01,2,2
CABEZAS,consultas odontologicas,periodoncias,2007-01-01,5,5
CAIROMA,consultas odontologicas,periodoncias,2007-01-01,6,6
"CAIZA ""D""",consultas odontologicas,periodoncias,2007-01-01,4,4
CAJUATA,consultas odontologicas,periodoncias,2007-01-01,3,3
CALAMARCA,consultas odontologicas,periodoncias,2007-01-01,1,1
CAMARGO,consultas odontologicas,periodoncias,2007-01-01,1,1
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,periodoncias,2007-01-01,4,4
CAMIRI,consultas odontologicas,periodoncias,2007-01-01,97,97
CAPINOTA,consultas odontologicas,periodoncias,2007-01-01,1,1
CAQUIAVIRI,consultas odontologicas,periodoncias,2007-01-01,1,1
CARACOLLO,consultas odontologicas,periodoncias,2007-01-01,21,21
CARANAVI,consultas odontologicas,periodoncias,2007-01-01,3,3
CARAPARI,consultas odontologicas,periodoncias,2007-01-01,43,43
CHALLAPATA,consultas odontologicas,periodoncias,2007-01-01,29,29
CHARAGUA,consultas odontologicas,periodoncias,2007-01-01,1,1
CHUMA,consultas odontologicas,periodoncias,2007-01-01,1,1
CLIZA,consultas odontologicas,periodoncias,2007-01-01,21,21
COBIJA,consultas odontologicas,periodoncias,2007-01-01,27,27
COCHABAMBA,consultas odontologicas,periodoncias,2007-01-01,717,717
COLCAPIRHUA,consultas odontologicas,periodoncias,2007-01-01,7,7
COLOMI,consultas odontologicas,periodoncias,2007-01-01,27,27
COLPA BELGICA,consultas odontologicas,periodoncias,2007-01-01,7,7
COLQUENCHA,consultas odontologicas,periodoncias,2007-01-01,2,2
COLQUIRI,consultas odontologicas,periodoncias,2007-01-01,2,2
COMARAPA,consultas odontologicas,periodoncias,2007-01-01,10,10
CONCEPCION,consultas odontologicas,periodoncias,2007-01-01,8,8
CORIPATA,consultas odontologicas,periodoncias,2007-01-01,3,3
COROICO,consultas odontologicas,periodoncias,2007-01-01,18,18
CORQUE,consultas odontologicas,periodoncias,2007-01-01,2,2
COTAGAITA,consultas odontologicas,periodoncias,2007-01-01,17,17
COTOCA,consultas odontologicas,periodoncias,2007-01-01,19,19
EL ALTO,consultas odontologicas,periodoncias,2007-01-01,562,562
EL PUENTE(TJA),consultas odontologicas,periodoncias,2007-01-01,4,4
EL TORNO,consultas odontologicas,periodoncias,2007-01-01,12,12
EL VILLAR,consultas odontologicas,periodoncias,2007-01-01,11,11
ENTRE RIOS,consultas odontologicas,periodoncias,2007-01-01,1,1
ENTRE RIOS,consultas odontologicas,periodoncias,2007-01-01,24,24
FERNANDEZ ALONSO,consultas odontologicas,periodoncias,2007-01-01,11,11
GENERAL SAAVEDRA,consultas odontologicas,periodoncias,2007-01-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),consultas odontologicas,periodoncias,2007-01-01,2,2
GUANAY,consultas odontologicas,periodoncias,2007-01-01,2,2
GUAYARAMERIN,consultas odontologicas,periodoncias,2007-01-01,4,4
GUTIERREZ,consultas odontologicas,periodoncias,2007-01-01,28,28
HUANUNI,consultas odontologicas,periodoncias,2007-01-01,25,25
HUARACAJE,consultas odontologicas,periodoncias,2007-01-01,36,36
INQUISIVI,consultas odontologicas,periodoncias,2007-01-01,1,1
IRUPANA (VILLA DE LANZA),consultas odontologicas,periodoncias,2007-01-01,2,2
IXIAMAS,consultas odontologicas,periodoncias,2007-01-01,4,4
JESUS DE MACHACA,consultas odontologicas,periodoncias,2007-01-01,1,1
LA ASUNTA,consultas odontologicas,periodoncias,2007-01-01,6,6
LA GUARDIA,consultas odontologicas,periodoncias,2007-01-01,55,55
LA PAZ,consultas odontologicas,periodoncias,2007-01-01,1321,1321
LAGUNILLAS,consultas odontologicas,periodoncias,2007-01-01,54,54
LAJA,consultas odontologicas,periodoncias,2007-01-01,2,2
LLALLAGUA,consultas odontologicas,periodoncias,2007-01-01,21,21
LURIBAY,consultas odontologicas,periodoncias,2007-01-01,2,2
MACHACAMARCA,consultas odontologicas,periodoncias,2007-01-01,3,3
MACHARETI,consultas odontologicas,periodoncias,2007-01-01,14,14
MAGDALENA,consultas odontologicas,periodoncias,2007-01-01,3,3
MAIRANA,consultas odontologicas,periodoncias,2007-01-01,27,27
MAPIRI,consultas odontologicas,periodoncias,2007-01-01,14,14
MECAPACA,consultas odontologicas,periodoncias,2007-01-01,1,1
MINEROS,consultas odontologicas,periodoncias,2007-01-01,8,8
MIZQUE,consultas odontologicas,periodoncias,2007-01-01,15,15
MONTERO,consultas odontologicas,periodoncias,2007-01-01,60,60
MORO MORO,consultas odontologicas,periodoncias,2007-01-01,1,1
OCURI,consultas odontologicas,periodoncias,2007-01-01,5,5
OKINAWA,consultas odontologicas,periodoncias,2007-01-01,12,12
OMEREQUE,consultas odontologicas,periodoncias,2007-01-01,1,1
ORURO,consultas odontologicas,periodoncias,2007-01-01,471,471
PADCAYA,consultas odontologicas,periodoncias,2007-01-01,42,42
PADILLA,consultas odontologicas,periodoncias,2007-01-01,3,3
PAILON,consultas odontologicas,periodoncias,2007-01-01,12,12
