municipality,group,variable,month,Consultas nuevas en personas de 5 años y más,TOTAL
ACACIO,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,53,53
ACHACACHI,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,363,363
ACHOCALLA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,27,27
AIQUILE,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,156,156
ALALAY,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,11,11
ALCALA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,206,206
ANCORAIMES,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,96,96
ANDAMARCA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,46,46
ANTEQUERA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,60,60
ANZALDO,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,58,58
APOLO,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,1,1
ARANI,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,208,208
ARBIETO,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,54,54
ARQUE,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,135,135
ASCENCION DE GUARAYOS,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,40,40
ATOCHA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,652,652
AYATA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,94,94
AYO AYO,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,65,65
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,170,170
AZURDUY,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,117,117
BATALLAS,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,107,107
BAURES,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,148,148
BELEN DE ANDAMARCA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,5,5
BERMEJO,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,404,404
BETANZOS,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,28,28
BOYUIBE,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,152,152
BUENA VISTA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,210,210
CABEZAS,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,177,177
CAIROMA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,62,62
"CAIZA ""D""",consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,171,171
CAJUATA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,25,25
CALACOTO,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,19,19
CALAMARCA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,62,62
CAMARGO,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,213,213
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,8,8
CAMIRI,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,903,903
CAPINOTA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,72,72
CAQUIAVIRI,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,61,61
CARACOLLO,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,476,476
CARANAVI,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,283,283
CARAPARI,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,402,402
CARIPUYO,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,67,67
CATACORA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,8,8
CHALLAPATA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,121,121
CHAQUI,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,10,10
CHARAGUA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,198,198
CHARAÑA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,31,31
CHAYANTA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,88,88
CHIMORE,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,101,101
CHOQUE COTA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,85,85
CHULUMANI (V. DE LA LIBERTAD),consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,262,262
CHUMA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,190,190
CLIZA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,51,51
COBIJA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,939,939
COCHABAMBA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,6050,6050
COLCAPIRHUA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,220,220
"COLCHA ""K""",consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,34,34
COLLANA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,75,75
COLOMI,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,87,87
COLPA BELGICA,consultas odontologicas,consultas nuevas en personas de 5 anos y mas,2007-01-01,105,105
