municipality,group,variable,month,Consultas nuevas en menores de 5 años,TOTAL
ACACIO,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,24,24
ACHACACHI,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,111,111
ACHOCALLA,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,12,12
AIQUILE,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,85,85
ALALAY,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,4,4
ALCALA,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,177,177
ANCORAIMES,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,81,81
ANDAMARCA,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,21,21
ANTEQUERA,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,10,10
ANZALDO,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,6,6
ARANI,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,70,70
ARBIETO,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,32,32
ARQUE,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,27,27
ASCENCION DE GUARAYOS,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,25,25
ATOCHA,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,62,62
AUCAPATA,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,1,1
AYATA,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,1,1
AYO AYO,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,18,18
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,47,47
AZURDUY,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,4,4
BATALLAS,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,12,12
BAURES,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,25,25
BERMEJO,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,45,45
BETANZOS,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,47,47
BOYUIBE,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,11,11
BUENA VISTA,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,23,23
CABEZAS,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,60,60
CAIROMA,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,30,30
"CAIZA ""D""",consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,13,13
CAJUATA,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,3,3
CALACOTO,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,23,23
CALAMARCA,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,49,49
CAMARGO,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,136,136
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,1,1
CAMIRI,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,157,157
CAPINOTA,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,25,25
CAQUIAVIRI,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,4,4
CARACOLLO,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,81,81
CARANAVI,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,55,55
CARAPARI,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,32,32
CARIPUYO,consultas odontologicas,consultas nuevas en menores de 5 anos,2007-01-01,197,197
