municipality,group,variable,month,Endodoncias,TOTAL
ACHACACHI,consultas odontologicas,endodoncias,2007-01-01,11,11
ACHOCALLA,consultas odontologicas,endodoncias,2007-01-01,2,2
AIQUILE,consultas odontologicas,endodoncias,2007-01-01,30,30
ANCORAIMES,consultas odontologicas,endodoncias,2007-01-01,7,7
ANDAMARCA,consultas odontologicas,endodoncias,2007-01-01,3,3
ANZALDO,consultas odontologicas,endodoncias,2007-01-01,5,5
ARANI,consultas odontologicas,endodoncias,2007-01-01,6,6
ARQUE,consultas odontologicas,endodoncias,2007-01-01,1,1
ASCENCION DE GUARAYOS,consultas odontologicas,endodoncias,2007-01-01,3,3
ATOCHA,consultas odontologicas,endodoncias,2007-01-01,36,36
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,endodoncias,2007-01-01,4,4
AZURDUY,consultas odontologicas,endodoncias,2007-01-01,14,14
BATALLAS,consultas odontologicas,endodoncias,2007-01-01,9,9
BAURES,consultas odontologicas,endodoncias,2007-01-01,21,21
BERMEJO,consultas odontologicas,endodoncias,2007-01-01,38,38
BETANZOS,consultas odontologicas,endodoncias,2007-01-01,8,8
BOYUIBE,consultas odontologicas,endodoncias,2007-01-01,4,4
BUENA VISTA,consultas odontologicas,endodoncias,2007-01-01,2,2
CABEZAS,consultas odontologicas,endodoncias,2007-01-01,4,4
"CAIZA ""D""",consultas odontologicas,endodoncias,2007-01-01,2,2
CALAMARCA,consultas odontologicas,endodoncias,2007-01-01,3,3
CAMARGO,consultas odontologicas,endodoncias,2007-01-01,17,17
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,endodoncias,2007-01-01,6,6
CAMIRI,consultas odontologicas,endodoncias,2007-01-01,22,22
CAPINOTA,consultas odontologicas,endodoncias,2007-01-01,15,15
CAQUIAVIRI,consultas odontologicas,endodoncias,2007-01-01,1,1
CARACOLLO,consultas odontologicas,endodoncias,2007-01-01,17,17
CARANAVI,consultas odontologicas,endodoncias,2007-01-01,24,24
CARAPARI,consultas odontologicas,endodoncias,2007-01-01,1,1
CHALLAPATA,consultas odontologicas,endodoncias,2007-01-01,48,48
CHARAGUA,consultas odontologicas,endodoncias,2007-01-01,1,1
