municipality,group,variable,month,Primeras consultas,TOTAL
ACACIO,consultas odontologicas,primeras consultas,2007-01-01,31,31
ACHACACHI,consultas odontologicas,primeras consultas,2007-01-01,396,396
AIQUILE,consultas odontologicas,primeras consultas,2007-01-01,105,105
ANCORAIMES,consultas odontologicas,primeras consultas,2007-01-01,6,6
ANDAMARCA,consultas odontologicas,primeras consultas,2007-01-01,36,36
ANTEQUERA,consultas odontologicas,primeras consultas,2007-01-01,4,4
ANZALDO,consultas odontologicas,primeras consultas,2007-01-01,62,62
APOLO,consultas odontologicas,primeras consultas,2007-01-01,20,20
ARANI,consultas odontologicas,primeras consultas,2007-01-01,387,387
ARBIETO,consultas odontologicas,primeras consultas,2007-01-01,16,16
ARQUE,consultas odontologicas,primeras consultas,2007-01-01,144,144
ASCENCION DE GUARAYOS,consultas odontologicas,primeras consultas,2007-01-01,65,65
ATOCHA,consultas odontologicas,primeras consultas,2007-01-01,733,733
AUCAPATA,consultas odontologicas,primeras consultas,2007-01-01,7,7
AYATA,consultas odontologicas,primeras consultas,2007-01-01,89,89
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,primeras consultas,2007-01-01,121,121
AZURDUY,consultas odontologicas,primeras consultas,2007-01-01,86,86
BATALLAS,consultas odontologicas,primeras consultas,2007-01-01,101,101
BAURES,consultas odontologicas,primeras consultas,2007-01-01,4,4
BELEN DE ANDAMARCA,consultas odontologicas,primeras consultas,2007-01-01,5,5
BERMEJO,consultas odontologicas,primeras consultas,2007-01-01,411,411
BETANZOS,consultas odontologicas,primeras consultas,2007-01-01,78,78
BOYUIBE,consultas odontologicas,primeras consultas,2007-01-01,163,163
CABEZAS,consultas odontologicas,primeras consultas,2007-01-01,237,237
CAIROMA,consultas odontologicas,primeras consultas,2007-01-01,92,92
"CAIZA ""D""",consultas odontologicas,primeras consultas,2007-01-01,153,153
CAJUATA,consultas odontologicas,primeras consultas,2007-01-01,28,28
CALACOTO,consultas odontologicas,primeras consultas,2007-01-01,42,42
CALAMARCA,consultas odontologicas,primeras consultas,2007-01-01,113,113
CAMARGO,consultas odontologicas,primeras consultas,2007-01-01,205,205
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,primeras consultas,2007-01-01,32,32
CAMIRI,consultas odontologicas,primeras consultas,2007-01-01,836,836
CAPINOTA,consultas odontologicas,primeras consultas,2007-01-01,31,31
CAQUIAVIRI,consultas odontologicas,primeras consultas,2007-01-01,64,64
CARACOLLO,consultas odontologicas,primeras consultas,2007-01-01,275,275
CARANAVI,consultas odontologicas,primeras consultas,2007-01-01,142,142
CARAPARI,consultas odontologicas,primeras consultas,2007-01-01,368,368
CARIPUYO,consultas odontologicas,primeras consultas,2007-01-01,264,264
CATACORA,consultas odontologicas,primeras consultas,2007-01-01,14,14
CHALLAPATA,consultas odontologicas,primeras consultas,2007-01-01,96,96
CHARAGUA,consultas odontologicas,primeras consultas,2007-01-01,106,106
CHARAÑA,consultas odontologicas,primeras consultas,2007-01-01,76,76
CHAYANTA,consultas odontologicas,primeras consultas,2007-01-01,101,101
CHIMORE,consultas odontologicas,primeras consultas,2007-01-01,91,91
CHULUMANI (V. DE LA LIBERTAD),consultas odontologicas,primeras consultas,2007-01-01,253,253
CHUMA,consultas odontologicas,primeras consultas,2007-01-01,312,312
CLIZA,consultas odontologicas,primeras consultas,2007-01-01,126,126
COBIJA,consultas odontologicas,primeras consultas,2007-01-01,561,561
COCHABAMBA,consultas odontologicas,primeras consultas,2007-01-01,4337,4337
COLCAPIRHUA,consultas odontologicas,primeras consultas,2007-01-01,57,57
COLOMI,consultas odontologicas,primeras consultas,2007-01-01,90,90
COLPA BELGICA,consultas odontologicas,primeras consultas,2007-01-01,298,298
COLQUECHACA,consultas odontologicas,primeras consultas,2007-01-01,199,199
COLQUENCHA,consultas odontologicas,primeras consultas,2007-01-01,159,159
COLQUIRI,consultas odontologicas,primeras consultas,2007-01-01,50,50
COPACABANA,consultas odontologicas,primeras consultas,2007-01-01,118,118
CORIPATA,consultas odontologicas,primeras consultas,2007-01-01,92,92
