municipality,group,variable,month,Cirugia maxilo Faciales,TOTAL
ATOCHA,consultas odontologicas,cirugia maxilo faciales,2007-01-01,1,1
COBIJA,consultas odontologicas,cirugia maxilo faciales,2007-01-01,1,1
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2007-01-01,69,69
COLQUIRI,consultas odontologicas,cirugia maxilo faciales,2007-01-01,4,4
COTAGAITA,consultas odontologicas,cirugia maxilo faciales,2007-01-01,2,2
EL ALTO,consultas odontologicas,cirugia maxilo faciales,2007-01-01,4,4
JESUS DE MACHACA,consultas odontologicas,cirugia maxilo faciales,2007-01-01,1,1
LA PAZ,consultas odontologicas,cirugia maxilo faciales,2007-01-01,41,41
ORURO,consultas odontologicas,cirugia maxilo faciales,2007-01-01,16,16
POTOSI,consultas odontologicas,cirugia maxilo faciales,2007-01-01,2,2
SACABA,consultas odontologicas,cirugia maxilo faciales,2007-01-01,1,1
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2007-01-01,40,40
SUCRE,consultas odontologicas,cirugia maxilo faciales,2007-01-01,22,22
TIAWANACU,consultas odontologicas,cirugia maxilo faciales,2007-01-01,15,15
TOTORA(CBBA),consultas odontologicas,cirugia maxilo faciales,2007-01-01,1,1
UNCIA,consultas odontologicas,cirugia maxilo faciales,2007-01-01,10,10
CHALLAPATA,consultas odontologicas,cirugia maxilo faciales,2007-02-01,1,1
COBIJA,consultas odontologicas,cirugia maxilo faciales,2007-02-01,1,1
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2007-02-01,116,116
COLQUIRI,consultas odontologicas,cirugia maxilo faciales,2007-02-01,2,2
EL ALTO,consultas odontologicas,cirugia maxilo faciales,2007-02-01,1,1
JESUS DE MACHACA,consultas odontologicas,cirugia maxilo faciales,2007-02-01,1,1
LA PAZ,consultas odontologicas,cirugia maxilo faciales,2007-02-01,54,54
LLALLAGUA,consultas odontologicas,cirugia maxilo faciales,2007-02-01,5,5
ORURO,consultas odontologicas,cirugia maxilo faciales,2007-02-01,12,12
POTOSI,consultas odontologicas,cirugia maxilo faciales,2007-02-01,12,12
SAN JULIAN,consultas odontologicas,cirugia maxilo faciales,2007-02-01,2,2
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2007-02-01,29,29
SORATA,consultas odontologicas,cirugia maxilo faciales,2007-02-01,3,3
SUCRE,consultas odontologicas,cirugia maxilo faciales,2007-02-01,19,19
TIAWANACU,consultas odontologicas,cirugia maxilo faciales,2007-02-01,11,11
TOTORA(CBBA),consultas odontologicas,cirugia maxilo faciales,2007-02-01,2,2
UNCIA,consultas odontologicas,cirugia maxilo faciales,2007-02-01,7,7
UYUNI,consultas odontologicas,cirugia maxilo faciales,2007-02-01,1,1
VILLA TUNARI,consultas odontologicas,cirugia maxilo faciales,2007-02-01,1,1
CAPINOTA,consultas odontologicas,cirugia maxilo faciales,2007-03-01,2,2
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2007-03-01,127,127
EL ALTO,consultas odontologicas,cirugia maxilo faciales,2007-03-01,3,3
JESUS DE MACHACA,consultas odontologicas,cirugia maxilo faciales,2007-03-01,2,2
LA PAZ,consultas odontologicas,cirugia maxilo faciales,2007-03-01,55,55
ORURO,consultas odontologicas,cirugia maxilo faciales,2007-03-01,13,13
POTOSI,consultas odontologicas,cirugia maxilo faciales,2007-03-01,15,15
SAN JULIAN,consultas odontologicas,cirugia maxilo faciales,2007-03-01,3,3
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2007-03-01,27,27
SUCRE,consultas odontologicas,cirugia maxilo faciales,2007-03-01,19,19
TARIJA,consultas odontologicas,cirugia maxilo faciales,2007-03-01,1,1
TIAWANACU,consultas odontologicas,cirugia maxilo faciales,2007-03-01,15,15
UNCIA,consultas odontologicas,cirugia maxilo faciales,2007-03-01,10,10
UYUNI,consultas odontologicas,cirugia maxilo faciales,2007-03-01,1,1
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2007-04-01,101,101
COLQUIRI,consultas odontologicas,cirugia maxilo faciales,2007-04-01,3,3
EL ALTO,consultas odontologicas,cirugia maxilo faciales,2007-04-01,4,4
LA PAZ,consultas odontologicas,cirugia maxilo faciales,2007-04-01,30,30
MECAPACA,consultas odontologicas,cirugia maxilo faciales,2007-04-01,1,1
ORURO,consultas odontologicas,cirugia maxilo faciales,2007-04-01,24,24
POTOSI,consultas odontologicas,cirugia maxilo faciales,2007-04-01,1,1
SAN JULIAN,consultas odontologicas,cirugia maxilo faciales,2007-04-01,6,6
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2007-04-01,28,28
SUCRE,consultas odontologicas,cirugia maxilo faciales,2007-04-01,18,18
TARACO,consultas odontologicas,cirugia maxilo faciales,2007-04-01,3,3
TARIJA,consultas odontologicas,cirugia maxilo faciales,2007-04-01,1,1
TIAWANACU,consultas odontologicas,cirugia maxilo faciales,2007-04-01,8,8
TUPIZA,consultas odontologicas,cirugia maxilo faciales,2007-04-01,2,2
UNCIA,consultas odontologicas,cirugia maxilo faciales,2007-04-01,1,1
CAPINOTA,consultas odontologicas,cirugia maxilo faciales,2007-05-01,4,4
