municipality,group,variable,month,Acciones preventivas,TOTAL
ACACIO,consultas odontologicas,acciones preventivas,2007-01-01,1,1
ACHACACHI,consultas odontologicas,acciones preventivas,2007-01-01,128,128
ACHOCALLA,consultas odontologicas,acciones preventivas,2007-01-01,9,9
AIQUILE,consultas odontologicas,acciones preventivas,2007-01-01,46,46
ALCALA,consultas odontologicas,acciones preventivas,2007-01-01,274,274
ANCORAIMES,consultas odontologicas,acciones preventivas,2007-01-01,44,44
ANDAMARCA,consultas odontologicas,acciones preventivas,2007-01-01,4,4
ANTEQUERA,consultas odontologicas,acciones preventivas,2007-01-01,8,8
APOLO,consultas odontologicas,acciones preventivas,2007-01-01,6,6
ARANI,consultas odontologicas,acciones preventivas,2007-01-01,57,57
ARBIETO,consultas odontologicas,acciones preventivas,2007-01-01,17,17
ARQUE,consultas odontologicas,acciones preventivas,2007-01-01,24,24
ASCENCION DE GUARAYOS,consultas odontologicas,acciones preventivas,2007-01-01,3,3
ATOCHA,consultas odontologicas,acciones preventivas,2007-01-01,57,57
AYO AYO,consultas odontologicas,acciones preventivas,2007-01-01,17,17
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,acciones preventivas,2007-01-01,18,18
AZURDUY,consultas odontologicas,acciones preventivas,2007-01-01,17,17
BATALLAS,consultas odontologicas,acciones preventivas,2007-01-01,3,3
BERMEJO,consultas odontologicas,acciones preventivas,2007-01-01,164,164
BOYUIBE,consultas odontologicas,acciones preventivas,2007-01-01,163,163
BUENA VISTA,consultas odontologicas,acciones preventivas,2007-01-01,44,44
CABEZAS,consultas odontologicas,acciones preventivas,2007-01-01,55,55
CAIROMA,consultas odontologicas,acciones preventivas,2007-01-01,22,22
"CAIZA ""D""",consultas odontologicas,acciones preventivas,2007-01-01,3,3
CALACOTO,consultas odontologicas,acciones preventivas,2007-01-01,30,30
CALAMARCA,consultas odontologicas,acciones preventivas,2007-01-01,70,70
CAMARGO,consultas odontologicas,acciones preventivas,2007-01-01,87,87
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,acciones preventivas,2007-01-01,21,21
CAMIRI,consultas odontologicas,acciones preventivas,2007-01-01,389,389
CAPINOTA,consultas odontologicas,acciones preventivas,2007-01-01,14,14
CAQUIAVIRI,consultas odontologicas,acciones preventivas,2007-01-01,1,1
CARACOLLO,consultas odontologicas,acciones preventivas,2007-01-01,76,76
CARANAVI,consultas odontologicas,acciones preventivas,2007-01-01,125,125
CARAPARI,consultas odontologicas,acciones preventivas,2007-01-01,33,33
CARIPUYO,consultas odontologicas,acciones preventivas,2007-01-01,116,116
CATACORA,consultas odontologicas,acciones preventivas,2007-01-01,10,10
CHALLAPATA,consultas odontologicas,acciones preventivas,2007-01-01,113,113
CHAQUI,consultas odontologicas,acciones preventivas,2007-01-01,4,4
CHARAGUA,consultas odontologicas,acciones preventivas,2007-01-01,16,16
CHARAÑA,consultas odontologicas,acciones preventivas,2007-01-01,17,17
CHAYANTA,consultas odontologicas,acciones preventivas,2007-01-01,53,53
CHIMORE,consultas odontologicas,acciones preventivas,2007-01-01,29,29
CHOQUE COTA,consultas odontologicas,acciones preventivas,2007-01-01,17,17
CHULUMANI (V. DE LA LIBERTAD),consultas odontologicas,acciones preventivas,2007-01-01,206,206
CHUMA,consultas odontologicas,acciones preventivas,2007-01-01,77,77
CLIZA,consultas odontologicas,acciones preventivas,2007-01-01,28,28
COBIJA,consultas odontologicas,acciones preventivas,2007-01-01,348,348
COCHABAMBA,consultas odontologicas,acciones preventivas,2007-01-01,7243,7243
COLCAPIRHUA,consultas odontologicas,acciones preventivas,2007-01-01,40,40
COLOMI,consultas odontologicas,acciones preventivas,2007-01-01,22,22
COLPA BELGICA,consultas odontologicas,acciones preventivas,2007-01-01,225,225
COLQUECHACA,consultas odontologicas,acciones preventivas,2007-01-01,14,14
COLQUENCHA,consultas odontologicas,acciones preventivas,2007-01-01,5,5
COLQUIRI,consultas odontologicas,acciones preventivas,2007-01-01,322,322
COMARAPA,consultas odontologicas,acciones preventivas,2007-01-01,34,34
CONCEPCION,consultas odontologicas,acciones preventivas,2007-01-01,25,25
COPACABANA,consultas odontologicas,acciones preventivas,2007-01-01,55,55
CORIPATA,consultas odontologicas,acciones preventivas,2007-01-01,3,3
CORO CORO,consultas odontologicas,acciones preventivas,2007-01-01,4,4
COROICO,consultas odontologicas,acciones preventivas,2007-01-01,45,45
CORQUE,consultas odontologicas,acciones preventivas,2007-01-01,27,27
COTAGAITA,consultas odontologicas,acciones preventivas,2007-01-01,58,58
COTOCA,consultas odontologicas,acciones preventivas,2007-01-01,57,57
CUCHUMUELA (V. G. VILLARROEL),consultas odontologicas,acciones preventivas,2007-01-01,3,3
CULPINA,consultas odontologicas,acciones preventivas,2007-01-01,19,19
CURAHUARA DE CARANGAS,consultas odontologicas,acciones preventivas,2007-01-01,10,10
CURVA,consultas odontologicas,acciones preventivas,2007-01-01,12,12
DESAGUADERO,consultas odontologicas,acciones preventivas,2007-01-01,3,3
EL ALTO,consultas odontologicas,acciones preventivas,2007-01-01,4580,4580
EL PUENTE(STC),consultas odontologicas,acciones preventivas,2007-01-01,5,5
EL PUENTE(TJA),consultas odontologicas,acciones preventivas,2007-01-01,93,93
EL TORNO,consultas odontologicas,acciones preventivas,2007-01-01,15,15
EL VILLAR,consultas odontologicas,acciones preventivas,2007-01-01,15,15
ENTRE RIOS,consultas odontologicas,acciones preventivas,2007-01-01,69,69
ENTRE RIOS,consultas odontologicas,acciones preventivas,2007-01-01,125,125
GENERAL SAAVEDRA,consultas odontologicas,acciones preventivas,2007-01-01,13,13
GRAL. J.J. PEREZ (CHARAZANI),consultas odontologicas,acciones preventivas,2007-01-01,159,159
GUANAY,consultas odontologicas,acciones preventivas,2007-01-01,5,5
GUAQUI,consultas odontologicas,acciones preventivas,2007-01-01,10,10
GUAYARAMERIN,consultas odontologicas,acciones preventivas,2007-01-01,85,85
GUTIERREZ,consultas odontologicas,acciones preventivas,2007-01-01,30,30
