municipality,group,variable,month,Adultos(as) mayores de 60 años que reciben Complemento Nutricional,TOTAL
ACACIO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,432,432
ACHACACHI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,82,82
ACHOCALLA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,571,571
AIQUILE,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,1008,1008
ALALAY,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,195,195
ALCALA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,151,151
ALTO BENI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,302,302
ANCORAIMES,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,505,505
ANDAMARCA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,323,323
ANTEQUERA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,80,80
ANZALDO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,601,601
ARAMPAMPA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,154,154
ARANI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,366,366
ARBIETO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,449,449
ASCENCION DE GUARAYOS,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,168,168
ATOCHA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,86,86
AUCAPATA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,111,111
AYATA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,304,304
AYO AYO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,387,387
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,1584,1584
BATALLAS,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,295,295
BAURES,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,30,30
BELEN DE ANDAMARCA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,137,137
BELEN DE URMIRI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,122,122
BELLA FLOR,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,51,51
BERMEJO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,67,67
BETANZOS,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,1270,1270
BOLIVAR,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,216,216
BOYUIBE,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,166,166
CABEZAS,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,219,219
CAIROMA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,329,329
"CAIZA ""D""",micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,704,704
CAJUATA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,162,162
CALACOTO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,456,456
CALAMARCA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,267,267
CAMATAQUI (C. VILLA ABECIA),micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,209,209
CAMIRI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,346,346
CAPINOTA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,593,593
CAQUIAVIRI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,635,635
CARACOLLO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,470,470
CARANAVI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,833,833
CARANGAS,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,21,21
CARAPARI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,424,424
CARIPUYO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,481,481
CARMEN RIVERO TORREZ,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,109,109
CATACORA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,87,87
CHACARILLA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,144,144
CHALLAPATA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,882,882
CHAQUI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,885,885
CHARAGUA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,397,397
CHARAÑA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,98,98
CHAYANTA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,899,899
CHIMORE,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,384,384
CHIPAYA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,41,41
CHOQUE COTA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,63,63
CHUA COCANI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,27,27
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,123,123
CHUMA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,667,667
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,22,22
CKOCHAS,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,944,944
CLIZA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,478,478
COBIJA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,405,405
COCAPATA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,865,865
COCHABAMBA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,4505,4505
COIPASA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,42,42
COLCAPIRHUA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,497,497
"COLCHA ""K""",micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,449,449
COLLANA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,79,79
COLOMI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,492,492
COLPA BELGICA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,121,121
COLQUECHACA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,525,525
COLQUENCHA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,174,174
COLQUIRI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,405,405
COMANCHE,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2022-01-01,111,111
