,group,variable,month,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS FUERA,PENTAVALENTE 1RA DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
AIQUILE,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-01-01,1,0,0,0,1
BELLA FLOR,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-01-01,1,0,0,0,1
BERMEJO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-01-01,1,0,0,0,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-01-01,0,0,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-01-01,2,0,0,0,2
COLOMI,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-01-01,0,1,0,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-01-01,0,2,0,0,2
EL ALTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-01-01,4,2,0,1,7
EL TORNO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-01-01,0,1,0,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-01-01,1,0,0,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-01-01,1,0,0,0,1
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-01-01,0,1,0,0,1
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-01-01,0,0,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-01-01,1,1,2,0,4
MAPIRI,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-01-01,1,0,0,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-01-01,1,3,1,0,5
POTOSI,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-01-01,1,1,0,0,2
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-01-01,3,1,1,0,5
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-01-01,1,0,0,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-01-01,0,0,4,1,5
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-01-01,9,8,0,0,17
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-01-01,0,0,1,0,1
TARIJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-01-01,0,1,0,0,1
TEOPONTE,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-01-01,1,1,0,0,2
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-01-01,1,0,0,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-01-01,0,1,0,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-01-01,1,1,0,0,2
UYUNI,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-01-01,0,0,1,1,2
VILLA CHARCAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-01-01,1,0,0,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-01-01,1,0,0,0,1
WARNES,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-01-01,0,1,0,0,1
YACUIBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-01-01,0,0,1,0,1
YAPACANI,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-01-01,0,0,1,0,1
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-02-01,1,0,0,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2022-02-01,0,1,0,0,1
