,group,variable,month,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS FUERA,SRP 2DA. DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,0,0,0,1,1
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,0,1,0,1,2
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,3,1,0,0,4
ANDAMARCA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,0,0,2,1,3
APOLO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,0,0,2,0,2
ARAMPAMPA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,0,0,0,1,1
ARANI,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,1,1,1,1,4
ARBIETO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,1,0,0,0,1
ARQUE,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,0,1,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,3,4,0,0,7
ATOCHA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,1,0,0,0,1
BATALLAS,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,1,1,0,0,2
BAURES,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,0,0,2,1,3
BERMEJO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,1,3,0,0,4
BETANZOS,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,2,1,0,0,3
BOLPEBRA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,0,0,0,1,1
BOYUIBE,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,0,1,0,0,1
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,0,1,0,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,15,14,35,30,94
CAIROMA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,1,0,0,0,1
CAJUATA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,2,0,0,0,2
CAMIRI,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,4,6,2,3,15
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,1,1,0,0,2
CARAPARI,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,0,2,0,0,2
CATACORA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,0,1,0,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,0,2,2,1,5
CHAQUI,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,0,1,0,0,1
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,2,1,1,1,5
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,1,0,0,1,2
CHIMORE,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,4,1,2,4,11
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,4,1,1,0,6
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,0,1,0,0,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,4,7,3,3,17
COCAPATA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,1,0,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,80,84,6,4,174
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,4,6,1,4,15
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2022-01-01,0,0,1,1,2
