,group,variable,month,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS FUERA,SRP 1RA. DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,0,0,0,1,1
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,0,0,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,0,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,4,4,0,0,8
BERMEJO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,2,0,0,3
CABEZAS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,0,0,2,3
CAMIRI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,0,0,0,1
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,0,1,0,0,1
CARANAVI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,2,0,0,0,2
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,0,1,0,0,1
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,2,0,1,2,5
COBIJA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,0,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,22,19,0,0,41
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,0,1,0,1,2
COMARAPA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,1,0,1,3
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,2,2,3,8
CORIPATA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,1,0,0,2
COTOCA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,2,3,0,0,5
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,0,1,1,3
EL ALTO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,23,23,4,2,52
EL PUENTE(TJA),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,0,1,0,0,1
EL TORNO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,2,0,0,3
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,0,0,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,0,0,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,0,1,0,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,0,1,0,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,2,1,0,0,3
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,0,0,0,1,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,1,0,1,3
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,2,1,0,0,3
LA PAZ,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,11,26,0,1,38
MAPIRI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,2,0,0,3
MONTERO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,6,2,0,1,9
OCURI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,2,2,0,0,4
OKINAWA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,1,0,0,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2022-01-01,10,6,0,3,19
