,group,variable,month,ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2022-01-01,1,0,0,0,1
AIQUILE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2022-01-01,0,0,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2022-01-01,0,1,0,0,1
BAURES,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2022-01-01,0,0,1,1,2
CABEZAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2022-01-01,0,0,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2022-01-01,0,0,1,2,3
CKOCHAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2022-01-01,1,0,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2022-01-01,1,2,0,1,4
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2022-01-01,0,0,0,2,2
CORIPATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2022-01-01,1,0,0,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2022-01-01,3,0,0,0,3
EL ALTO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2022-01-01,3,4,1,0,8
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2022-01-01,0,1,0,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2022-01-01,1,0,0,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2022-01-01,0,1,0,0,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2022-01-01,0,2,0,0,2
LAJA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2022-01-01,0,1,0,0,1
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2022-01-01,0,0,1,0,1
LORETO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2022-01-01,0,0,4,6,10
ORURO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2022-01-01,1,1,0,0,2
PAILON,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2022-01-01,0,0,1,0,1
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2022-01-01,0,1,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2022-01-01,1,1,0,0,2
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2022-01-01,0,0,1,0,1
PUNATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2022-01-01,0,1,0,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2022-01-01,0,0,0,1,1
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2022-01-01,1,0,1,1,3
SACABA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2022-01-01,0,1,1,2,4
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2022-01-01,2,2,0,0,4
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2022-01-01,0,0,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2022-01-01,0,1,2,1,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2022-01-01,10,7,0,0,17
SENA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 2da dosis,2022-01-01,0,0,0,1,1
