,group,variable,month,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA FUERA,ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,1,0,3,0,4
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,1,0,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,4,5,0,0,9
BERMEJO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,3,0,0,0,3
CABEZAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,1,1,0,2,4
CAMIRI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,2,2,0,0,4
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,0,1,0,0,1
CARANAVI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,1,0,0,0,1
CARAPARI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,0,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,0,1,0,0,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,1,0,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,14,19,0,0,33
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,0,1,0,1,2
COMARAPA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,0,0,0,1,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,1,2,2,3,8
CORIPATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,1,1,0,0,2
COTOCA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,3,3,0,0,6
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,1,0,1,1,3
EL ALTO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,24,34,3,1,62
EL TORNO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,5,0,0,0,5
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,1,0,0,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,0,1,0,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,1,1,2,0,4
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,1,1,0,1,3
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,2,1,0,0,3
LA PAZ,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,12,21,3,5,41
LORETO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,0,0,4,6,10
MAPIRI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,0,2,0,0,2
MONTERO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,6,2,0,1,9
OKINAWA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,1,0,0,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,6,9,0,0,15
PAILON,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,0,0,1,1,2
PALCA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,1,1,0,0,2
PATACAMAYA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,0,1,0,0,1
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2022-01-01,1,1,0,0,2
