,group,variable,month,ANTIPOLIOMIELÍTICA 3RA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 3RA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 3RA DOSIS FUERA,ANTIPOLIOMIELÍTICA 3RA DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2022-01-01,0,2,0,0,2
APOLO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2022-01-01,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2022-01-01,2,1,0,0,3
BATALLAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2022-01-01,1,0,0,0,1
BERMEJO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2022-01-01,1,0,0,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2022-01-01,0,0,0,1,1
CARANAVI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2022-01-01,1,0,0,0,1
CHIMORE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2022-01-01,2,0,0,0,2
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2022-01-01,5,6,1,1,13
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2022-01-01,0,1,0,0,1
COMARAPA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2022-01-01,0,0,0,1,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2022-01-01,2,1,0,1,4
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2022-01-01,0,0,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2022-01-01,12,9,1,3,25
EL TORNO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2022-01-01,0,1,0,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2022-01-01,1,0,1,0,2
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2022-01-01,0,1,0,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2022-01-01,0,1,0,1,2
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2022-01-01,2,0,0,0,2
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2022-01-01,0,1,0,0,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2022-01-01,5,11,2,0,18
MONTERO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2022-01-01,0,1,0,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2022-01-01,0,1,0,2,3
PAILON,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2022-01-01,0,0,0,1,1
POOPO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2022-01-01,0,0,1,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2022-01-01,1,1,0,0,2
POTOSI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2022-01-01,2,1,0,1,4
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2022-01-01,0,2,0,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2022-01-01,0,1,0,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2022-01-01,1,1,1,1,4
REYES,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2022-01-01,0,1,0,0,1
ROBORE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2022-01-01,0,1,0,0,1
SACABA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 3ra dosis,2022-01-01,1,4,2,1,8
