,group,variable,month,ANTIPOLIOMIELÍTICA 4TA. DOSIS DENTRO,ANTIPOLIOMIELÍTICA 4TA. DOSIS DENTRO,ANTIPOLIOMIELÍTICA 4TA. DOSIS FUERA,ANTIPOLIOMIELÍTICA 4TA. DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis,2022-01-01,2,1,0,0,3
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis,2022-01-01,3,2,0,0,5
ANCORAIMES,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis,2022-01-01,0,0,0,1,1
ANDAMARCA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis,2022-01-01,1,0,1,1,3
ANZALDO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis,2022-01-01,0,0,0,1,1
APOLO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis,2022-01-01,0,0,2,1,3
ARANI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis,2022-01-01,0,0,0,1,1
ARBIETO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis,2022-01-01,1,0,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis,2022-01-01,1,5,0,0,6
ATOCHA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis,2022-01-01,1,1,0,0,2
BATALLAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis,2022-01-01,0,3,0,0,3
BAURES,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis,2022-01-01,0,0,2,1,3
BELLA FLOR,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis,2022-01-01,1,0,0,0,1
BERMEJO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis,2022-01-01,1,3,0,0,4
BETANZOS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis,2022-01-01,2,1,0,0,3
BOLPEBRA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis,2022-01-01,0,0,0,1,1
BOYUIBE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis,2022-01-01,0,1,0,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis,2022-01-01,3,3,0,0,6
CAIROMA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis,2022-01-01,1,0,0,0,1
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis,2022-01-01,0,0,1,0,1
CAJUATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis,2022-01-01,2,1,0,0,3
CALAMARCA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis,2022-01-01,0,1,0,0,1
CAMARGO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis,2022-01-01,1,0,0,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis,2022-01-01,2,2,0,0,4
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis,2022-01-01,1,0,0,0,1
CARANAVI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis,2022-01-01,2,1,3,0,6
CARAPARI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis,2022-01-01,0,1,0,0,1
CARIPUYO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis,2022-01-01,0,0,2,0,2
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis,2022-01-01,1,0,0,0,1
CATACORA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis,2022-01-01,0,1,0,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis,2022-01-01,0,2,0,2,4
CHAQUI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis,2022-01-01,0,1,0,0,1
